event_index,phase,working_set_bytes,working_set_mb,private_bytes,private_mb,peak_working_set_bytes,peak_working_set_mb,allocator_live_bytes,allocator_live_mb,allocator_high_water_bytes,allocator_high_water_mb,named_owner_bytes,clean_mmap_file_backed_estimate_bytes,conclusion
0,"m47:phase:baseline_process_start",4718592,4.5,794624,0.8,4718592,4.5,4157,0,9233,0,,,""
1,"m47:phase:after_temp_schema_copy",5906432,5.6,1011712,1,5906432,5.6,5713,0,9360,0,,,""
2,"m47:phase:after_setup",6103040,5.8,1011712,1,6103040,5.8,7249,0,9360,0,,,""
3,"m47:phase:after_initialize",6111232,5.8,1011712,1,6111232,5.8,7327,0,9360,0,,,""
4,"m47:phase:after_deploy_skipped",6111232,5.8,1011712,1,6111232,5.8,7414,0,9360,0,,,""
5,"m47:translator:table_translator@custom_phrase:dictionary:<none>:before_dictionary_load",13611008,13,6254592,6,13611008,13,2215881,2.1,2608715,2.5,,,""
6,"m47:translator:script_translator@translator:dictionary:luna_pinyin:before_dictionary_load",14082048,13.4,6262784,6,14082048,13.4,2705909,2.6,2821229,2.7,,,""
7,"m47:compiled_dictionary:luna_pinyin:after_table_byte_source_open:table_bytes=13013460",15077376,14.4,7258112,6.9,15077376,14.4,3668968,3.5,3669173,3.5,,,""
8,"m47:compiled_dictionary:luna_pinyin:after_prism_byte_source_open:prism_bytes=31728",15081472,14.4,7258112,6.9,15081472,14.4,3669172,3.5,3669190,3.5,,,""
9,"m47:compiled_dictionary:luna_pinyin:after_reverse_bytes_read:reverse_bytes=252756",15204352,14.5,7258112,6.9,15204352,14.5,3922712,3.7,3922760,3.7,,,""
10,"m47:compiled_dictionary:luna_pinyin:after_reverse_dictionary_parse:lookup_texts=0:lookup_records=0",15360000,14.6,7258112,6.9,15360000,14.6,3922882,3.7,3922882,3.7,,,""
11,"m47:compiled_dictionary:luna_pinyin:after_reverse_advanced_merge_drop",15433728,14.7,7258112,6.9,15433728,14.7,3670242,3.5,3922882,3.7,,,""
12,"m47:compiled_dictionary:luna_pinyin:after_table_advanced_payload_parse:lookup_texts=0:lookup_records=0",28504064,27.2,7258112,6.9,28504064,27.2,3670420,3.5,3922882,3.7,,,""
13,"m47:compiled_dictionary:luna_pinyin:after_compact_table_store_parse",30035968,28.6,8278016,7.9,30035968,28.6,5278868,5,5280452,5,,,""
14,"m47:translator:script_translator@translator:dictionary:luna_pinyin:after_dictionary_load",29077504,27.7,7319552,7,30035968,28.6,4316297,4.1,5280452,5,,,""
15,"m47:compact_table:after_storage_backed_normal_codes:index=compact_table_has_code",29089792,27.7,7319552,7,30035968,28.6,4316377,4.1,5280452,5,,,""
16,"m47:translator:script_translator@translator:dictionary:luna_pinyin:after_translator_index_build",177651712,169.4,188841984,180.1,193585152,184.6,147933266,141.1,156592423,149.3,,,""
17,"m47:phase:after_create_session",178171904,169.9,188846080,180.1,193585152,184.6,146731878,139.9,156592423,149.3,,,""
18,"m47:phase:after_select_schema",178180096,169.9,188846080,180.1,193585152,184.6,146731999,139.9,156592423,149.3,,,""
19,"m47:phase:after_typing_sequence",178417664,170.2,188846080,180.1,193585152,184.6,146766255,140,156592423,149.3,,,""
20,"m47:phase:steady_after_esc",178417664,170.2,188846080,180.1,193585152,184.6,146766086,140,156592423,149.3,,,""
