round,input_tag,engine,allocator_mode,input,input_chars,iterations,median_us_per_key,p95_us_per_key,mean_us_per_key
3,37,librime,nano-off,ceshiyixiachangjushuruxingnengzenyang,37,80,166.400351,168.722973,166.365005
3,59,yune,nano-on,zhegeyinqingqishiyinggaizhichichaochangjuzishurucainengyong,59,80,961.135949,965.418780,961.042285
3,59,librime,nano-on,zhegeyinqingqishiyinggaizhichichaochangjuzishurucainengyong,59,80,320.423729,349.576271,324.218414
3,59,yune,default,zhegeyinqingqishiyinggaizhichichaochangjuzishurucainengyong,59,80,968.470331,1047.351000,990.733721
3,59,librime,default,zhegeyinqingqishiyinggaizhichichaochangjuzishurucainengyong,59,80,317.263415,344.116525,318.902525
3,59,yune,nano-off,zhegeyinqingqishiyinggaizhichichaochangjuzishurucainengyong,59,80,969.448093,975.942797,970.305350
3,59,librime,nano-off,zhegeyinqingqishiyinggaizhichichaochangjuzishurucainengyong,59,80,393.239763,398.406780,393.610205
4,59,librime,default,zhegeyinqingqishiyinggaizhichichaochangjuzishurucainengyong,59,80,318.974924,322.819203,319.357856
4,59,yune,default,zhegeyinqingqishiyinggaizhichichaochangjuzishurucainengyong,59,80,962.991525,968.322034,963.142206
4,59,librime,nano-off,zhegeyinqingqishiyinggaizhichichaochangjuzishurucainengyong,59,80,392.120771,395.812136,392.983130
4,59,yune,nano-off,zhegeyinqingqishiyinggaizhichichaochangjuzishurucainengyong,59,80,969.449500,990.800153,972.402913
4,59,librime,nano-on,zhegeyinqingqishiyinggaizhichichaochangjuzishurucainengyong,59,80,313.549085,326.766237,316.234154
4,59,yune,nano-on,zhegeyinqingqishiyinggaizhichichaochangjuzishurucainengyong,59,80,960.254593,971.782492,961.502172
4,37,librime,default,ceshiyixiachangjushuruxingnengzenyang,37,80,134.806311,140.679054,135.331560
4,37,yune,default,ceshiyixiachangjushuruxingnengzenyang,37,80,561.176243,574.324324,562.280069
4,37,librime,nano-off,ceshiyixiachangjushuruxingnengzenyang,37,80,178.560811,284.077703,201.679928
4,37,yune,nano-off,ceshiyixiachangjushuruxingnengzenyang,37,80,554.130068,561.550676,556.054899
4,37,librime,nano-on,ceshiyixiachangjushuruxingnengzenyang,37,80,137.384568,153.177946,141.319974
4,37,yune,nano-on,ceshiyixiachangjushuruxingnengzenyang,37,80,553.557432,560.208351,554.057617
5,37,yune,nano-off,ceshiyixiachangjushuruxingnengzenyang,37,80,555.322635,562.926811,556.046480
5,37,librime,nano-off,ceshiyixiachangjushuruxingnengzenyang,37,80,165.240986,168.110351,164.286444
5,37,yune,nano-on,ceshiyixiachangjushuruxingnengzenyang,37,80,550.766892,560.166649,552.452097
5,37,librime,nano-on,ceshiyixiachangjushuruxingnengzenyang,37,80,136.090662,142.837838,137.178462
5,37,yune,default,ceshiyixiachangjushuruxingnengzenyang,37,80,567.019149,607.210595,575.075183
5,37,librime,default,ceshiyixiachangjushuruxingnengzenyang,37,80,137.927378,143.695946,138.438458
5,59,yune,nano-off,zhegeyinqingqishiyinggaizhichichaochangjuzishurucainengyong,59,80,969.538492,1015.433610,973.759816
5,59,librime,nano-off,zhegeyinqingqishiyinggaizhichichaochangjuzishurucainengyong,59,80,384.165966,386.519780,383.342347
5,59,yune,nano-on,zhegeyinqingqishiyinggaizhichichaochangjuzishurucainengyong,59,80,958.003525,965.601695,958.418617
5,59,librime,nano-on,zhegeyinqingqishiyinggaizhichichaochangjuzishurucainengyong,59,80,313.685034,318.572034,313.600167
5,59,yune,default,zhegeyinqingqishiyinggaizhichichaochangjuzishurucainengyong,59,80,967.737288,998.978814,971.272882
5,59,librime,default,zhegeyinqingqishiyinggaizhichichaochangjuzishurucainengyong,59,80,315.493644,339.355237,319.981180
