input_chars,total_samples,rime_process_key_inclusive_samples,script_evaluate_inclusive_samples,make_sentence_inclusive_samples,prepare_sentence_inclusive_samples,dictionary_lookup_inclusive_samples,prepare_share_of_total_pct,dictionary_lookup_share_of_total_pct
37,3856,3765,2913,2862,2412,2137,62.6,55.4
59,3867,3800,2772,2731,2359,2133,61.0,55.2
