input,special_row,newly_signed,run1_ratio,run2_ratio,run3_ratio,run4_ratio,run5_ratio,mac_median_ratio,mac_pooled_worst_ratio,mac_spread_pct,windows_signed_median_ratio,windows_signed_ceiling,mac_vs_windows_median_diff_pct,classification,windows_ceiling_diagnostic,mac_median_vs_ceiling_pct
n,n,false,2.818,4.600,2.712,2.665,2.455,2.712,4.600,87.4,2.820,3.006,-3.8,close,at_or_below,-9.8
ni,ni,false,2.336,4.489,2.443,2.287,2.306,2.336,4.489,96.3,2.599,2.666,-10.1,notable,at_or_below,-12.4
hao,hao,false,1.772,2.826,1.751,1.776,1.788,1.776,2.826,61.4,1.720,1.844,+3.3,close,at_or_below,-3.7
zhongguo,standing,false,0.465,0.473,0.438,0.432,0.443,0.443,0.473,9.5,0.293,0.323,+51.2,material,above,+37.2
ceshiyixiachangjushuruxingnengzenyang,37-character,false,3.567,3.450,3.449,3.432,3.383,3.449,3.567,5.4,2.132,2.339,+61.8,material,above,+47.5
zhegeyinqingqishiyinggaizhichichaochangjuzishurucainengyong,59-character,false,2.566,2.563,2.555,2.547,2.501,2.555,2.566,2.6,1.681,1.748,+52.0,material,above,+46.2
cszysmsrsd,standing,false,0.503,0.502,0.488,0.484,0.501,0.501,0.503,3.9,0.396,0.474,+26.5,material,above,+5.7
zybfshmsru,standing,false,1.129,0.754,0.735,0.725,0.758,0.754,1.129,55.7,0.569,0.695,+32.5,material,above,+8.5
zh,newly-signed,true,1.569,1.554,1.562,1.493,1.573,1.562,1.573,5.4,0.986,1.047,+58.4,material,above,+49.2
j,newly-signed,true,5.136,5.841,5.681,5.124,5.342,5.342,5.841,14.0,4.000,4.372,+33.5,material,above,+22.2
yi,newly-signed,true,7.021,7.352,6.857,6.889,7.481,7.021,7.481,9.1,5.777,6.098,+21.5,notable,above,+15.1
che,newly-signed,true,1.651,1.399,1.398,1.410,1.470,1.410,1.651,18.1,1.081,1.160,+30.4,material,above,+21.6
chuang,newly-signed,true,1.763,1.791,1.826,1.696,1.763,1.763,1.826,7.7,1.266,1.357,+39.3,material,above,+29.9
b,newly-signed,true,6.057,4.145,4.165,4.186,4.309,4.186,6.057,46.1,3.439,3.775,+21.7,notable,above,+10.9
ceshi,newly-signed,true,1.279,1.106,1.130,1.070,1.129,1.129,1.279,19.5,0.895,0.966,+26.1,material,above,+16.9
zhongdengchangdu,newly-signed,true,0.499,0.470,0.472,0.471,0.471,0.471,0.499,6.2,0.322,0.342,+46.3,material,above,+37.7
dazisudu,newly-signed,true,1.830,1.506,1.596,1.493,1.529,1.529,1.830,22.6,1.034,1.098,+47.9,material,above,+39.3
