order,input,label,mac_587_median_yune_librime_ratio,windows_587_median_yune_librime_ratio
1,n,n,0.111,0.208
2,ni,ni,0.155,0.246
3,hao,hao,0.188,0.284
4,zhongguo,zhongguo,0.040,0.038
5,ceshiyixiachangjushuruxingnengzenyang,37-character,0.029,0.022
6,zhegeyinqingqishiyinggaizhichichaochangjuzishurucainengyong,59-character,0.012,0.010
7,cszysmsrsd,cszysmsrsd,0.006,0.005
8,zybfshmsru,zybfshmsru,0.008,0.008
9,zh,zh,0.100,0.099
10,j,j,0.419,0.399
11,yi,yi,0.471,0.434
12,che,che,0.119,0.134
13,chuang,chuang,0.171,0.174
14,b,b,0.337,0.380
15,ceshi,ceshi,0.131,0.143
16,zhongdengchangdu,zhongdengchangdu,0.022,0.019
17,dazisudu,dazisudu,0.160,0.144
