sequence,case,engine,allocator,input_label,scope,owner_tag,observed_samples,denominator_samples,share_pct,overlap_note
2,02-librime-default-n,librime,default,n,RimeProcessKey,yune_sentence_model,0,40,0.0,inclusive stack tags may overlap; do not sum shares
2,02-librime-default-n,librime,default,n,RimeProcessKey,yune_abbreviation_sentence,0,40,0.0,inclusive stack tags may overlap; do not sum shares
2,02-librime-default-n,librime,default,n,RimeProcessKey,yune_sentence_word_graph,0,40,0.0,inclusive stack tags may overlap; do not sum shares
2,02-librime-default-n,librime,default,n,RimeProcessKey,yune_leading_single_syllable_prefix,0,40,0.0,inclusive stack tags may overlap; do not sum shares
2,02-librime-default-n,librime,default,n,RimeProcessKey,yune_filter_sort_hash,0,40,0.0,inclusive stack tags may overlap; do not sum shares
2,02-librime-default-n,librime,default,n,RimeProcessKey,librime_dictionary_table_query,13,40,32.5,inclusive stack tags may overlap; do not sum shares
2,02-librime-default-n,librime,default,n,RimeProcessKey,librime_table_query_access,0,40,0.0,inclusive stack tags may overlap; do not sum shares
2,02-librime-default-n,librime,default,n,RimeProcessKey,librime_syllabifier_prism,8,40,20.0,inclusive stack tags may overlap; do not sum shares
2,02-librime-default-n,librime,default,n,RimeProcessKey,librime_script_translation,36,40,90.0,inclusive stack tags may overlap; do not sum shares
2,02-librime-default-n,librime,default,n,RimeProcessKey,allocator_leaf,9,40,22.5,inclusive stack tags may overlap; do not sum shares
2,02-librime-default-n,librime,default,n,RimeProcessKey,system_compare_copy_leaf,3,40,7.5,inclusive stack tags may overlap; do not sum shares
2,02-librime-default-n,librime,default,n,RimeProcessKey,allocator_leaf_under_primary_owner,5,40,12.5,inclusive stack tags may overlap; do not sum shares
3,03-yune-default-zh,yune,default,zh,whole_process,yune_marisa_lookup,2024,3901,51.884,inclusive stack tags may overlap; do not sum shares
3,03-yune-default-zh,yune,default,zh,whole_process,yune_sentence_model,2377,3901,60.933,inclusive stack tags may overlap; do not sum shares
3,03-yune-default-zh,yune,default,zh,whole_process,yune_abbreviation_sentence,1414,3901,36.247,inclusive stack tags may overlap; do not sum shares
3,03-yune-default-zh,yune,default,zh,whole_process,yune_sentence_word_graph,1097,3901,28.121,inclusive stack tags may overlap; do not sum shares
3,03-yune-default-zh,yune,default,zh,whole_process,yune_leading_single_syllable_prefix,0,3901,0.0,inclusive stack tags may overlap; do not sum shares
3,03-yune-default-zh,yune,default,zh,whole_process,yune_filter_sort_hash,591,3901,15.15,inclusive stack tags may overlap; do not sum shares
3,03-yune-default-zh,yune,default,zh,whole_process,librime_dictionary_table_query,0,3901,0.0,inclusive stack tags may overlap; do not sum shares
3,03-yune-default-zh,yune,default,zh,whole_process,librime_table_query_access,0,3901,0.0,inclusive stack tags may overlap; do not sum shares
3,03-yune-default-zh,yune,default,zh,whole_process,librime_syllabifier_prism,0,3901,0.0,inclusive stack tags may overlap; do not sum shares
3,03-yune-default-zh,yune,default,zh,whole_process,librime_script_translation,0,3901,0.0,inclusive stack tags may overlap; do not sum shares
3,03-yune-default-zh,yune,default,zh,whole_process,allocator_leaf,607,3901,15.56,inclusive stack tags may overlap; do not sum shares
3,03-yune-default-zh,yune,default,zh,whole_process,system_compare_copy_leaf,1189,3901,30.479,inclusive stack tags may overlap; do not sum shares
3,03-yune-default-zh,yune,default,zh,whole_process,allocator_leaf_under_primary_owner,462,3901,11.843,inclusive stack tags may overlap; do not sum shares
3,03-yune-default-zh,yune,default,zh,RimeProcessKey,yune_marisa_lookup,1176,2931,40.123,inclusive stack tags may overlap; do not sum shares
3,03-yune-default-zh,yune,default,zh,RimeProcessKey,yune_sentence_model,1434,2931,48.925,inclusive stack tags may overlap; do not sum shares
3,03-yune-default-zh,yune,default,zh,RimeProcessKey,yune_abbreviation_sentence,1414,2931,48.243,inclusive stack tags may overlap; do not sum shares
3,03-yune-default-zh,yune,default,zh,RimeProcessKey,yune_sentence_word_graph,1097,2931,37.427,inclusive stack tags may overlap; do not sum shares
3,03-yune-default-zh,yune,default,zh,RimeProcessKey,yune_leading_single_syllable_prefix,0,2931,0.0,inclusive stack tags may overlap; do not sum shares
3,03-yune-default-zh,yune,default,zh,RimeProcessKey,yune_filter_sort_hash,550,2931,18.765,inclusive stack tags may overlap; do not sum shares
3,03-yune-default-zh,yune,default,zh,RimeProcessKey,librime_dictionary_table_query,0,2931,0.0,inclusive stack tags may overlap; do not sum shares
3,03-yune-default-zh,yune,default,zh,RimeProcessKey,librime_table_query_access,0,2931,0.0,inclusive stack tags may overlap; do not sum shares
3,03-yune-default-zh,yune,default,zh,RimeProcessKey,librime_syllabifier_prism,0,2931,0.0,inclusive stack tags may overlap; do not sum shares
