event_index,phase,working_set_bytes,working_set_mb,private_bytes,private_mb,peak_working_set_bytes,peak_working_set_mb,allocator_live_bytes,allocator_live_mb,allocator_high_water_bytes,allocator_high_water_mb,named_owner_bytes,clean_mmap_file_backed_estimate_bytes,conclusion
0,"m47:phase:baseline_process_start",5271552,5,786432,0.8,5271552,5,4163,0,9233,0,,,""
1,"m47:phase:after_temp_schema_copy",6529024,6.2,1040384,1,6529024,6.2,5749,0,26489,0,,,""
2,"m47:phase:after_setup",6721536,6.4,1040384,1,6721536,6.4,7327,0,26489,0,,,""
3,"m47:phase:after_initialize",6729728,6.4,1040384,1,6729728,6.4,7405,0,26489,0,,,""
4,"m47:deploy_workspace:start",6733824,6.4,1040384,1,6733824,6.4,7458,0,26489,0,,,""
5,"m47:deploy_workspace:after_installation_update",7208960,6.9,1011712,1,7241728,6.9,8142,0,61467,0.1,,,""
6,"m47:deploy:workspace_update:start",7217152,6.9,1011712,1,7241728,6.9,8175,0,61467,0.1,,,""
7,"m47:deploy:workspace_update:after_default_config",7815168,7.5,1159168,1.1,7958528,7.6,8223,0,391724,0.4,,,""
8,"m47:deploy:workspace_update:after_prebuilt_link_sync",7843840,7.5,1163264,1.1,7958528,7.6,8275,0,391724,0.4,,,""
9,"m47:deploy:workspace_update:after_schema_list:schema_count=1",8069120,7.7,1302528,1.2,8155136,7.8,112541,0.1,391724,0.4,,,""
10,"m47:deploy:luna_pinyin:after_staging_metadata:table=false:prism=false:reverse=false",10670080,10.2,3764224,3.6,10670080,10.2,1750259,1.7,1786523,1.7,,,""
11,"m47:deploy:luna_pinyin:after_prebuilt_metadata:table_bytes=4640486:prism_bytes=1642925:reverse_bytes=1263091",10739712,10.2,3764224,3.6,10739712,10.2,1750411,1.7,1786523,1.7,,,""
12,"m47:deploy:luna_pinyin:after_rebuild_plan:table=ReusedFresh:prism=ReusedFresh:reverse=ReusedFresh",10883072,10.4,4247552,4.1,11186176,10.7,1750517,1.7,2336885,2.2,,,""
13,"m47:deploy:luna_pinyin_yune_reverse:after_staging_metadata:table=false:prism=false:reverse=false",9375744,8.9,2129920,2,11186176,10.7,243558,0.2,2336885,2.2,,,""
14,"m47:deploy:luna_pinyin_yune_reverse:after_prebuilt_metadata:table_bytes=4640555:prism_bytes=1497453:reverse_bytes=1263091",9375744,8.9,2129920,2,11186176,10.7,243710,0.2,2336885,2.2,,,""
15,"m47:deploy:luna_pinyin_yune_reverse:after_rebuild_plan:table=ReusedFresh:prism=ReusedFresh:reverse=ReusedFresh",9433088,9,2297856,2.2,11186176,10.7,243922,0.2,2336885,2.2,,,""
16,"m47:deploy:jyut6ping3:after_staging_metadata:table=false:prism=false:reverse=false",12902400,12.3,5775360,5.5,12902400,12.3,3710879,3.5,3711011,3.5,,,""
17,"m47:deploy:jyut6ping3:after_prebuilt_metadata:table_bytes=15248382:prism_bytes=19354757:reverse_bytes=3592525",12902400,12.3,5775360,5.5,12902400,12.3,3712695,3.5,3712863,3.5,,,""
18,"m47:deploy:jyut6ping3:after_rebuild_plan:table=ReusedFresh:prism=ReusedFresh:reverse=ReusedFresh",12931072,12.3,5738496,5.5,13000704,12.4,3712801,3.5,3893099,3.7,,,""
19,"m47:deploy:workspace_update:after_schema:jyut6ping3_mobile",9191424,8.8,1933312,1.8,13000704,12.4,115967,0.1,3893099,3.7,,,""
20,"m47:deploy_workspace:after_workspace_maintenance",9150464,8.7,1871872,1.8,13000704,12.4,12555,0,3893099,3.7,,,""
21,"m47:phase:after_deploy",9216000,8.8,1916928,1.8,13000704,12.4,12607,0,3893099,3.7,,,""
22,"m47:translator:script_translator@translator:dictionary:jyut6ping3:before_dictionary_load",11608064,11.1,2695168,2.6,13000704,12.4,412620,0.4,3893099,3.7,,,""
23,"m47:compiled_dictionary:jyut6ping3:after_table_byte_source_open:table_bytes=15248382",15097856,14.4,6201344,5.9,15097856,14.4,3880517,3.7,3893099,3.7,,,""
24,"m47:compiled_dictionary:jyut6ping3:after_prism_byte_source_open:prism_bytes=19354757",15097856,14.4,6238208,5.9,15097856,14.4,3880721,3.7,3893099,3.7,,,""
25,"m47:compiled_dictionary:jyut6ping3:after_reverse_bytes_read:reverse_bytes=3592525",18694144,17.8,9842688,9.4,18694144,17.8,7473194,7.1,7473246,7.1,,,""
26,"m47:compiled_dictionary:jyut6ping3:after_reverse_dictionary_parse:lookup_texts=0:lookup_records=0",43642880,41.6,24129536,23,43642880,41.6,17214555,16.4,17214555,16.4,,,""
27,"m47:compact_table:after_lookup_record_payload_skip:lookup_texts=125487:lookup_records=127144",55173120,52.6,24129536,23,55173120,52.6,17214715,16.4,17214715,16.4,,,""
