input,characters,old_commit,current_commit,old_yune_librime_ratio,current_yune_librime_ratio,ratio_change_pct,old_process_key_us_per_key,current_process_key_us_per_key,process_key_change_pct,old_translator_us_per_key,current_translator_us_per_key,translator_change_pct,old_model_us_per_key,current_model_us_per_key,model_change_pct,old_graph_us_per_key,current_graph_us_per_key,graph_change_pct
ceshiyixiachangjushuruxingnengzenyang,37,89875ee2f812d070b43d12e6700407dccbb78435,afb7079b71f7f9353845114ff3e310c0a38b9b87,2.428,0.399,-83.6,403.648,65.954,-83.7,400.608,63.051,-84.3,361.276,6.631,-98.2,358.63,4.605,-98.7
zhegeyinqingqishiyinggaizhichichaochangjuzishurucainengyong,59,89875ee2f812d070b43d12e6700407dccbb78435,afb7079b71f7f9353845114ff3e310c0a38b9b87,1.809,0.205,-88.7,701.133,79.219,-88.7,697.928,76.291,-89.1,648.559,7.173,-98.9,646.191,5.328,-99.2
