engine,track,schema_id,input,iterations,table_path,prism_path,selected_storage,table_mapping_mode,prism_mapping_mode,raw_prism_median_us,raw_prism_code_count,raw_table_median_us,raw_table_lookup_codes,raw_table_candidate_count,translator_median_us,real_prism_lookup_median_us,candidate_materialization_median_us,candidate_sort_median_us,filter_pipeline_median_us,ranker_pipeline_median_us,context_export_median_us,abi_c_string_allocation_median_us,free_context_median_us,rsmarisa_exact_lookup_calls_per_op,rsmarisa_prefix_lookup_calls_per_op,owned_candidates_per_op,context_page_candidates_per_op,abi_c_string_allocations_per_op,abi_c_string_bytes_per_op
yune,track-a-comparison,luna_pinyin,n,80,/Users/laufei/Documents/GitHub/yune/target/macos-performance-verification/native-inprocess/full-pass-1/track-a-yune/user/build/luna_pinyin.table.bin,/Users/laufei/Documents/GitHub/yune/target/macos-performance-verification/native-inprocess/full-pass-1/track-a-yune/user/build/luna_pinyin.prism.bin,rsmarisa_byte_backed,mmap,mmap,0.250,26,202.417,n|na|nai|nan|nang|nao|ne|nei|nen|neng|ni|nia|nian|niang|niao|nie|nin|ning|niu|nong|nou|nu|nuan|nun|nuo|nv|nve,1260,61.666,0.209,0.125,0.000,0.375,0.000,0.917,0.125,0.083,1.000,1.000,7.000,5.000,12.000,41.000
yune,track-a-comparison,luna_pinyin,ni,80,/Users/laufei/Documents/GitHub/yune/target/macos-performance-verification/native-inprocess/full-pass-1/track-a-yune/user/build/luna_pinyin.table.bin,/Users/laufei/Documents/GitHub/yune/target/macos-performance-verification/native-inprocess/full-pass-1/track-a-yune/user/build/luna_pinyin.prism.bin,rsmarisa_byte_backed,mmap,mmap,0.041,1,20.250,ni,182,43.291,0.145,0.126,0.021,0.375,0.000,0.938,0.230,0.104,1.000,0.500,7.000,5.000,12.000,41.500
yune,track-a-comparison,luna_pinyin,hao,80,/Users/laufei/Documents/GitHub/yune/target/macos-performance-verification/native-inprocess/full-pass-1/track-a-yune/user/build/luna_pinyin.table.bin,/Users/laufei/Documents/GitHub/yune/target/macos-performance-verification/native-inprocess/full-pass-1/track-a-yune/user/build/luna_pinyin.prism.bin,rsmarisa_byte_backed,mmap,mmap,0.041,1,15.625,hao,139,23.250,0.125,0.125,0.014,0.361,0.014,0.917,0.195,0.097,1.000,0.333,7.000,5.000,12.000,43.667
yune,track-a-comparison,luna_pinyin,zhongguo,80,/Users/laufei/Documents/GitHub/yune/target/macos-performance-verification/native-inprocess/full-pass-1/track-a-yune/user/build/luna_pinyin.table.bin,/Users/laufei/Documents/GitHub/yune/target/macos-performance-verification/native-inprocess/full-pass-1/track-a-yune/user/build/luna_pinyin.prism.bin,rsmarisa_byte_backed,mmap,mmap,0.000,0,3.291,zhongguo,4,39.370,0.109,0.401,0.016,1.021,0.016,0.932,0.198,0.099,1.000,0.875,20.000,5.000,12.000,75.625
yune,track-a-comparison,luna_pinyin,ceshiyixiachangjushuruxingnengzenyang,80,/Users/laufei/Documents/GitHub/yune/target/macos-performance-verification/native-inprocess/full-pass-1/track-a-yune/user/build/luna_pinyin.table.bin,/Users/laufei/Documents/GitHub/yune/target/macos-performance-verification/native-inprocess/full-pass-1/track-a-yune/user/build/luna_pinyin.prism.bin,rsmarisa_byte_backed,mmap,mmap,0.041,0,48.500,ceshiyixiachangjushuruxingnengzenyang,0,509.460,0.052,0.060,0.017,0.490,0.015,0.806,0.193,0.079,1.000,0.973,3.108,4.622,7.595,149.595
yune,track-a-comparison,luna_pinyin,zhegeyinqingqishiyinggaizhichichaochangjuzishurucainengyong,80,/Users/laufei/Documents/GitHub/yune/target/macos-performance-verification/native-inprocess/full-pass-1/track-a-yune/user/build/luna_pinyin.table.bin,/Users/laufei/Documents/GitHub/yune/target/macos-performance-verification/native-inprocess/full-pass-1/track-a-yune/user/build/luna_pinyin.prism.bin,rsmarisa_byte_backed,mmap,mmap,0.041,0,62.209,zhegeyinqingqishiyinggaizhichichaochangjuzishurucainengyong,0,939.837,0.074,0.040,0.019,0.561,0.015,0.942,0.218,0.089,1.000,0.983,1.949,4.932,7.458,218.458
yune,track-a-comparison,luna_pinyin,cszysmsrsd,80,/Users/laufei/Documents/GitHub/yune/target/macos-performance-verification/native-inprocess/full-pass-1/track-a-yune/user/build/luna_pinyin.table.bin,/Users/laufei/Documents/GitHub/yune/target/macos-performance-verification/native-inprocess/full-pass-1/track-a-yune/user/build/luna_pinyin.prism.bin,rsmarisa_byte_backed,mmap,mmap,0.000,0,1.208,cszysmsrsd,0,415.950,1.500,0.042,0.021,0.496,0.013,0.971,0.212,0.092,1.000,1.000,2.000,5.000,7.500,88.100
yune,track-a-comparison,luna_pinyin,zybfshmsru,80,/Users/laufei/Documents/GitHub/yune/target/macos-performance-verification/native-inprocess/full-pass-1/track-a-yune/user/build/luna_pinyin.table.bin,/Users/laufei/Documents/GitHub/yune/target/macos-performance-verification/native-inprocess/full-pass-1/track-a-yune/user/build/luna_pinyin.prism.bin,rsmarisa_byte_backed,mmap,mmap,0.000,0,1.208,zybfshmsru,0,456.867,1.550,0.046,0.025,0.567,0.017,1.063,0.229,0.108,1.000,1.000,2.000,5.000,7.500,83.300
