scope,path,exists,bytes,header
shared,jyut6ping3.table.bin,true,4306860,Rime::Table/4.0\0\0\0\0\0\0\0\0\0\0\0\0\0\0\0\0\0
shared,jyut6ping3.reverse.bin,true,70012,Rime::Reverse/3.1\0\0\0\0\0\0\0\0\0\0\0\0\0\0\0
shared,jyut6ping3_mobile.prism.bin,true,242728,Rime::Prism/3.0\0\0\0\0\0\0\0\0\0\0\0\0\0\0\0\0\0
shared,jyut6ping3_scolar.table.bin,true,6115656,Rime::Table/4.0\0\0\0\0\0\0\0\0\0\0\0\0\0\0\0\0\0
shared,jyut6ping3_scolar.reverse.bin,true,3568716,Rime::Reverse/3.1\0\0\0\0\0\0\0\0\0\0\0\0\0\0\0
shared,jyut6ping3_scolar.prism.bin,true,2343228,Rime::Prism/3.0\0\0\0\0\0\0\0\0\0\0\0\0\0\0\0\0\0
shared,luna_pinyin.table.bin,true,13013460,Rime::Table/4.0\0\0\0\0\0\0\0\0\0\0\0\0\0\0\0\0\0
shared,luna_pinyin.reverse.bin,true,252756,Rime::Reverse/3.1\0\0\0\0\0\0\0\0\0\0\0\0\0\0\0
shared,luna_pinyin.prism.bin,true,31728,Rime::Prism/4.0\0\0\0\0\0\0\0\0\0\0\0\0\0\0\0\0\0
user_build,jyut6ping3.table.bin,false,0,
user_build,jyut6ping3.reverse.bin,false,0,
user_build,jyut6ping3_mobile.prism.bin,false,0,
user_build,jyut6ping3_scolar.table.bin,false,0,
user_build,jyut6ping3_scolar.reverse.bin,false,0,
user_build,jyut6ping3_scolar.prism.bin,false,0,
user_build,luna_pinyin.table.bin,false,0,
user_build,luna_pinyin.reverse.bin,false,0,
user_build,luna_pinyin.prism.bin,false,0,
