translator_index,translator,owner,selected_storage,mapping_mode,is_marisa_backed,byte_source_len,stored_entry_count
1,static_table_translator,translator.entries_by_code,owned_heap,owned_heap,false,0,1139357
2,static_table_translator,translator.entries_by_code,owned_heap,owned_heap,false,0,70805
