"engine","track","schema_id","workload","input","samples","operations","median_us","p95_us","p99_us","max_us","median_working_set_bytes","max_peak_working_set_bytes"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","hao","20","60","12.000","25.667","25.667","25.667","12034048","14151680"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","ni","20","40","14.800","15.400","15.400","15.400","11915264","14053376"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","zhongguo","20","160","181.150","184.325","184.325","184.325","13000704","14151680"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","10","10","27396.600","29836.800","29836.800","29836.800","10895360","14053376"
"librime-1.17.0","track-a-comparison","luna_pinyin","startup_warm_shared_assets_runtime_ready","","5","5","25654.600","48401.000","48401.000","48401.000","11489280","13991936"
"yune","track-a-comparison","luna_pinyin","key_sequence_process_with_context","hao","20","60","32.267","34.067","34.067","34.067","160751616","172834816"
"yune","track-a-comparison","luna_pinyin","key_sequence_process_with_context","ni","20","40","27.550","29.100","29.100","29.100","160686080","172834816"
"yune","track-a-comparison","luna_pinyin","key_sequence_process_with_context","zhongguo","20","160","32.350","34.925","34.925","34.925","160870400","172834816"
"yune","track-a-comparison","luna_pinyin","session_create_select_destroy","","10","10","28212.900","28757.700","28757.700","28757.700","160546816","172834816"
"yune","track-a-comparison","luna_pinyin","startup_warm_shared_assets_runtime_ready","","5","5","27754.600","750437.700","750437.700","750437.700","160468992","172834816"
"yune","track-b-product","jyut6ping3_mobile","key_sequence_process_with_context","hai","20","60","6626.000","7025.067","7025.067","7025.067","851963904","1048879104"
"yune","track-b-product","jyut6ping3_mobile","key_sequence_process_with_context","jigaajiusihaa","20","260","18169.792","20866.723","20866.723","20866.723","854237184","1048879104"
"yune","track-b-product","jyut6ping3_mobile","key_sequence_process_with_context","loengjathau","20","220","7480.736","8588.355","8588.355","8588.355","854794240","1048879104"
"yune","track-b-product","jyut6ping3_mobile","key_sequence_process_with_context","ngohaig","20","140","6079.871","6706.000","6706.000","6706.000","852369408","1048879104"
"yune","track-b-product","jyut6ping3_mobile","session_create_select_destroy","","10","10","169859.800","194331.800","194331.800","194331.800","837947392","1048879104"
"yune","track-b-product","jyut6ping3_mobile","startup_warm_shared_assets_runtime_ready","","5","5","147465.300","5455447.400","5455447.400","5455447.400","850644992","1048879104"
