engine,track,schema_id,input,candidate_index,candidate_count,page_size,page_no,is_last_page,highlighted_index,composition_preedit,text,comment
yune,track-a-comparison,luna_pinyin,n,0,5,5,0,0,0,n,你,
yune,track-a-comparison,luna_pinyin,n,1,5,5,0,0,0,n,那,na
yune,track-a-comparison,luna_pinyin,n,2,5,5,0,0,0,n,拿,na
yune,track-a-comparison,luna_pinyin,n,3,5,5,0,0,0,n,哪,na
yune,track-a-comparison,luna_pinyin,n,4,5,5,0,0,0,n,納,na
yune,track-a-comparison,luna_pinyin,ni,0,5,5,0,0,0,ni,你,ni
yune,track-a-comparison,luna_pinyin,ni,1,5,5,0,0,0,ni,擬,ni
yune,track-a-comparison,luna_pinyin,ni,2,5,5,0,0,0,ni,尼,ni
yune,track-a-comparison,luna_pinyin,ni,3,5,5,0,0,0,ni,泥,ni
yune,track-a-comparison,luna_pinyin,ni,4,5,5,0,0,0,ni,呢,ni
yune,track-a-comparison,luna_pinyin,hao,0,5,5,0,0,0,hao,好,hao
yune,track-a-comparison,luna_pinyin,hao,1,5,5,0,0,0,hao,號,hao
yune,track-a-comparison,luna_pinyin,hao,2,5,5,0,0,0,hao,浩,hao
yune,track-a-comparison,luna_pinyin,hao,3,5,5,0,0,0,hao,豪,hao
yune,track-a-comparison,luna_pinyin,hao,4,5,5,0,0,0,hao,耗,hao
yune,track-a-comparison,luna_pinyin,zhongguo,0,5,5,0,0,0,zhongguo,中國,zhongguo
yune,track-a-comparison,luna_pinyin,zhongguo,1,5,5,0,0,0,zhongguo,種過,zhongguo
yune,track-a-comparison,luna_pinyin,zhongguo,2,5,5,0,0,0,zhongguo,中國白酒,zhongguobaijiu
yune,track-a-comparison,luna_pinyin,zhongguo,3,5,5,0,0,0,zhongguo,中國版,zhongguoban
yune,track-a-comparison,luna_pinyin,zhongguo,4,5,5,0,0,0,zhongguo,中國北方,zhongguobeifang
yune,track-a-comparison,luna_pinyin,ceshiyixiachangjushuruxingnengzenyang,0,5,5,0,0,0,ceshiyixiachangjushuruxingnengzenyang,測試一下長句輸入性能怎樣,
yune,track-a-comparison,luna_pinyin,ceshiyixiachangjushuruxingnengzenyang,1,5,5,0,0,0,ceshiyixiachangjushuruxingnengzenyang,測試一下,
yune,track-a-comparison,luna_pinyin,ceshiyixiachangjushuruxingnengzenyang,2,5,5,0,0,0,ceshiyixiachangjushuruxingnengzenyang,測試儀,
yune,track-a-comparison,luna_pinyin,ceshiyixiachangjushuruxingnengzenyang,3,5,5,0,0,0,ceshiyixiachangjushuruxingnengzenyang,測試,
yune,track-a-comparison,luna_pinyin,ceshiyixiachangjushuruxingnengzenyang,4,5,5,0,0,0,ceshiyixiachangjushuruxingnengzenyang,側室,
yune,track-a-comparison,luna_pinyin,zhegeyinqingqishiyinggaizhichichaochangjuzishurucainengyong,0,5,5,0,0,0,zhegeyinqingqishiyinggaizhichichaochangjuzishurucainengyong,這個引擎其實應該支持超長句子輸入才能用,
yune,track-a-comparison,luna_pinyin,zhegeyinqingqishiyinggaizhichichaochangjuzishurucainengyong,1,5,5,0,0,0,zhegeyinqingqishiyinggaizhichichaochangjuzishurucainengyong,這個,
yune,track-a-comparison,luna_pinyin,zhegeyinqingqishiyinggaizhichichaochangjuzishurucainengyong,2,5,5,0,0,0,zhegeyinqingqishiyinggaizhichichaochangjuzishurucainengyong,這歌,
yune,track-a-comparison,luna_pinyin,zhegeyinqingqishiyinggaizhichichaochangjuzishurucainengyong,3,5,5,0,0,0,zhegeyinqingqishiyinggaizhichichaochangjuzishurucainengyong,這格,
yune,track-a-comparison,luna_pinyin,zhegeyinqingqishiyinggaizhichichaochangjuzishurucainengyong,4,5,5,0,0,0,zhegeyinqingqishiyinggaizhichichaochangjuzishurucainengyong,這,
yune,track-a-comparison,luna_pinyin,cszysmsrsd,0,5,5,0,0,0,c s z y s m s r s d,重商主義什麼是認識到,
yune,track-a-comparison,luna_pinyin,cszysmsrsd,1,5,5,0,0,0,c s z y s m s r s d,重商主義,
yune,track-a-comparison,luna_pinyin,cszysmsrsd,2,5,5,0,0,0,c s z y s m s r s d,催生作用,
yune,track-a-comparison,luna_pinyin,cszysmsrsd,3,5,5,0,0,0,c s z y s m s r s d,產生爭議,
yune,track-a-comparison,luna_pinyin,cszysmsrsd,4,5,5,0,0,0,c s z y s m s r s d,測試資源,
yune,track-a-comparison,luna_pinyin,zybfshmsru,0,5,5,0,0,0,z y b f sh m s ru,自有辦法什麼收入,
yune,track-a-comparison,luna_pinyin,zybfshmsru,1,5,5,0,0,0,z y b f sh m s ru,自有辦法,
yune,track-a-comparison,luna_pinyin,zybfshmsru,2,5,5,0,0,0,z y b f sh m s ru,重要部分,
yune,track-a-comparison,luna_pinyin,zybfshmsru,3,5,5,0,0,0,z y b f sh m s ru,晝夜不分,
yune,track-a-comparison,luna_pinyin,zybfshmsru,4,5,5,0,0,0,z y b f sh m s ru,主要部分,
yune,track-a-comparison,luna_pinyin,zh,0,5,5,0,0,0,zh,之後,
yune,track-a-comparison,luna_pinyin,zh,1,5,5,0,0,0,zh,炸,zha
yune,track-a-comparison,luna_pinyin,zh,2,5,5,0,0,0,zh,渣,zha
yune,track-a-comparison,luna_pinyin,zh,3,5,5,0,0,0,zh,扎,zha
yune,track-a-comparison,luna_pinyin,zh,4,5,5,0,0,0,zh,紮,zha
yune,track-a-comparison,luna_pinyin,j,0,5,5,0,0,0,j,就,
