order,input,label,mac_median_yune_librime_ratio,mac_pooled_worst_yune_librime_ratio
1,n,n,0.140,0.183
2,ni,ni,0.175,0.216
3,hao,hao,0.215,0.287
4,zhongguo,zhongguo,0.030,0.034
5,ceshiyixiachangjushuruxingnengzenyang,37-character,0.019,0.022
6,zhegeyinqingqishiyinggaizhichichaochangjuzishurucainengyong,59-character,0.008,0.009
7,cszysmsrsd,cszysmsrsd,0.004,0.004
8,zybfshmsru,zybfshmsru,0.006,0.008
9,zh,zh,0.101,0.133
10,j,j,0.423,0.553
11,yi,yi,0.425,0.576
12,che,che,0.110,0.146
13,chuang,chuang,0.130,0.184
14,b,b,0.349,0.495
15,ceshi,ceshi,0.103,0.144
16,zhongdengchangdu,zhongdengchangdu,0.015,0.018
17,dazisudu,dazisudu,0.117,0.150
