order,input,label,windows_median_yune_librime_ratio,windows_worst_yune_librime_ratio
1,n,n,0.212,0.215
2,ni,ni,0.254,0.256
3,hao,hao,0.289,0.294
4,zhongguo,zhongguo,0.038,0.039
5,ceshiyixiachangjushuruxingnengzenyang,37-character,0.022,0.023
6,zhegeyinqingqishiyinggaizhichichaochangjuzishurucainengyong,59-character,0.010,0.010
7,cszysmsrsd,cszysmsrsd,0.005,0.005
8,zybfshmsru,zybfshmsru,0.008,0.008
9,zh,zh,0.097,0.098
10,j,j,0.406,0.411
11,yi,yi,0.433,0.441
12,che,che,0.132,0.134
13,chuang,chuang,0.172,0.173
14,b,b,0.375,0.385
15,ceshi,ceshi,0.142,0.143
16,zhongdengchangdu,zhongdengchangdu,0.018,0.019
17,dazisudu,dazisudu,0.141,0.144
