"kind","workload","input","metric","unit","run1_observed","run2_observed","run3_observed","run4_observed","run5_observed","median_observed","worst_observed","spread_pct","ceiling","verdict"
"latency_ratio","key_sequence_process_with_context","n","yune_librime_median_ratio","x","2.82","2.888","2.874","2.796","2.802","2.82","2.888","3.3","3.006","pass"
"latency_ratio","key_sequence_process_with_context","ni","yune_librime_median_ratio","x","2.599","2.63","2.647","2.562","2.581","2.599","2.647","3.3","2.666","pass"
"latency_ratio","key_sequence_process_with_context","hao","yune_librime_median_ratio","x","1.72","1.771","1.724","1.718","1.716","1.72","1.771","3.2","1.844","pass"
"latency_ratio","key_sequence_process_with_context","ceshiyixiachangjushuruxingnengzenyang","yune_librime_median_ratio","x","2.159","2.119","2.107","2.134","2.132","2.132","2.159","2.5","2.339","pass"
"latency_ratio","key_sequence_process_with_context","zhegeyinqingqishiyinggaizhichichaochangjuzishurucainengyong","yune_librime_median_ratio","x","1.684","1.598","1.624","1.697","1.681","1.681","1.697","6.2","1.748","pass"
"memory_peak","","","track_a_peak_working_set_bytes","bytes","192614400","192364544","191934464","191893504","191934464","191934464","192614400","0.4","195028378","pass"
"latency_ratio","key_sequence_process_with_context","zhongguo","yune_librime_median_ratio","x","0.293","0.296","0.297","0.293","0.285","0.293","0.297","4.2","0.323","pass"
"latency_ratio","key_sequence_process_with_context","cszysmsrsd","yune_librime_median_ratio","x","0.393","0.4","0.396","0.4","0.391","0.396","0.4","2.3","0.474","pass"
"latency_ratio","key_sequence_process_with_context","zybfshmsru","yune_librime_median_ratio","x","0.556","0.557","0.581","0.569","0.569","0.569","0.581","4.5","0.695","pass"
"latency_ratio","startup_warm_shared_assets_runtime_ready","","yune_librime_median_ratio","x","0.909","0.157","0.919","0.943","0.89","0.909","0.943","500.6","1.091","pass"
"latency_absolute_us","session_create_select_destroy","","median_us","us","22761.4","22519","23085.8","22717.2","22475.9","22717.2","23085.8","2.7","25470.28","pass"
"latency_absolute_us","track-b-product/key_sequence_process_with_context","neigojangingkeisatjinggoiziwunciucoenggeoizisyujapsinhojijung","median_us","us","319.592","315.646","327.71","312.116","315.602","315.646","327.71","5","347.975","pass"
"memory_absolute_bytes","track-b-product/key_sequence_process_with_context","neigojangingkeisatjinggoiziwunciucoenggeoizisyujapsinhojijung","median_working_set_bytes","bytes","81108992","81747968","81739776","81776640","81350656","81739776","81776640","0.8","88012390","pass"
"memory_absolute_bytes","track-b-product/key_sequence_process_with_context","neigojangingkeisatjinggoiziwunciucoenggeoizisyujapsinhojijung","max_peak_working_set_bytes","bytes","511123456","511447040","512331776","512249856","511688704","511688704","512331776","0.2","562033050","pass"
"memory_absolute_bytes","track-b-product/key_sequence_process_with_context","neigojangingkeisatjinggoiziwunciucoenggeoizisyujapsinhojijung","median_private_bytes","bytes","35565568","34881536","34267136","35966976","33443840","34881536","35966976","7.5","39460045","pass"
"latency_absolute_us","track-b-product/session_create_select_destroy","","median_us","us","35664","35868.8","36402.2","35667.6","35620.4","35667.6","36402.2","2.2","39289.8","pass"
"memory_absolute_bytes","track-b-product/session_create_select_destroy","","median_working_set_bytes","bytes","62435328","62799872","63127552","63217664","62672896","62799872","63217664","1.3","66872115","pass"
"memory_absolute_bytes","track-b-product/session_create_select_destroy","","max_peak_working_set_bytes","bytes","511123456","511447040","512331776","512249856","511688704","511688704","512331776","0.2","562033050","pass"
"memory_absolute_bytes","track-b-product/session_create_select_destroy","","median_private_bytes","bytes","29638656","29188096","28393472","30101504","27418624","29188096","30101504","9.8","32084378","pass"
"latency_absolute_us","track-b-product/startup_warm_shared_assets_runtime_ready","","median_us","us","35246.3","34994.7","35784.4","34819.5","34731.6","34994.7","35784.4","3","38825.05","pass"
"memory_absolute_bytes","track-b-product/startup_warm_shared_assets_runtime_ready","","median_working_set_bytes","bytes","79278080","79704064","79994880","80015360","79740928","79740928","80015360","0.9","86196634","pass"
"memory_absolute_bytes","track-b-product/startup_warm_shared_assets_runtime_ready","","max_peak_working_set_bytes","bytes","511123456","511447040","512331776","512249856","511688704","511688704","512331776","0.2","562033050","pass"
"memory_absolute_bytes","track-b-product/startup_warm_shared_assets_runtime_ready","","median_private_bytes","bytes","33128448","33742848","32813056","34557952","33693696","33693696","34557952","5.3","37865062","pass"
