kind,row,metric,runs,median,worst,spread_pct,ceiling,verdict,note
latency_absolute_us,neigojangingkeisatjinggoiziwunciucoenggeoizisyujapsinhojijun,median_us,6,307.7,322.7,7.7,348,PASS,
latency_absolute_us,session_create_select_destroy,median_us,6,22470.0,23132.4,4.9,25470,PASS,
latency_absolute_us,track-b-product/session_create_select_destroy,median_us,6,36716.1,38079.2,6.3,39290,PASS,
latency_absolute_us,track-b-product/startup_warm_shared_assets_runtime_ready,median_us,6,35775.9,37407.9,7.0,38825,PASS,
latency_ratio,ceshiyixiachangjushuruxingnengzenyang,yune_librime_median_ratio,6,2.129,2.228,5.3,2.339,PASS,owner-signed injection-on ceiling
latency_ratio,cszysmsrsd,yune_librime_median_ratio,6,0.392,0.402,5.5,0.474,PASS,
latency_ratio,hao,yune_librime_median_ratio,6,1.744,1.756,2.6,1.844,PASS,owner-signed injection-on ceiling
latency_ratio,n,yune_librime_median_ratio,6,2.801,2.863,6.1,3.006,PASS,owner-signed injection-on ceiling
latency_ratio,ni,yune_librime_median_ratio,6,2.629,2.648,3.3,2.666,PASS,
latency_ratio,startup_warm_shared_assets_runtime_ready,yune_librime_median_ratio,6,0.887,0.940,19.0,1.091,PASS,
latency_ratio,zhegeyinqingqishiyinggaizhichichaochangjuzishurucainengyong,yune_librime_median_ratio,6,1.634,1.665,3.8,1.748,PASS,owner-signed injection-on ceiling
latency_ratio,zhongguo,yune_librime_median_ratio,6,0.291,0.296,5.7,0.323,PASS,
latency_ratio,zybfshmsru,yune_librime_median_ratio,6,0.568,0.585,6.9,0.695,PASS,
memory_absolute_bytes,neigojangingkeisatjinggoiziwunciucoenggeoizisyujapsinhojijun,max_peak_working_set_bytes,6,511121408.0,512081920.0,0.3,562033050,PASS,
memory_absolute_bytes,neigojangingkeisatjinggoiziwunciucoenggeoizisyujapsinhojijun,median_private_bytes,6,35647488.0,35852288.0,1.1,39460045,PASS,
memory_absolute_bytes,neigojangingkeisatjinggoiziwunciucoenggeoizisyujapsinhojijun,median_working_set_bytes,6,79806464.0,80072704.0,0.5,88012390,PASS,
memory_absolute_bytes,track-b-product/session_create_select_destroy,max_peak_working_set_bytes,6,511121408.0,512081920.0,0.3,562033050,PASS,
memory_absolute_bytes,track-b-product/session_create_select_destroy,median_private_bytes,6,29224960.0,29638656.0,4.4,32084378,PASS,
memory_absolute_bytes,track-b-product/session_create_select_destroy,median_working_set_bytes,6,60811264.0,61194240.0,1.8,66872115,PASS,
memory_absolute_bytes,track-b-product/startup_warm_shared_assets_runtime_ready,max_peak_working_set_bytes,6,511121408.0,512081920.0,0.3,562033050,PASS,
memory_absolute_bytes,track-b-product/startup_warm_shared_assets_runtime_ready,median_private_bytes,6,34013184.0,34426880.0,1.6,37865062,PASS,
memory_absolute_bytes,track-b-product/startup_warm_shared_assets_runtime_ready,median_working_set_bytes,6,78039040.0,78372864.0,0.7,86196634,PASS,
memory_peak,,track_a_peak_working_set_bytes,6,191858688.0,192163840.0,0.4,195028378,PASS,
