kind,workload,input,metric,unit,run1_observed,run2_observed,run3_observed,run4_observed,run5_observed,median_observed,worst_observed,spread_pct,ceiling,individual_failures,verdict
latency_ratio,key_sequence_process_with_context,n,yune_librime_median_ratio,x,2.689,2.913,2.832,2.946,2.706,2.832,2.946,9.6,3.006,0,pass
latency_ratio,key_sequence_process_with_context,ni,yune_librime_median_ratio,x,1.906,1.958,1.977,2.059,1.959,1.959,2.059,8,2.666,0,pass
latency_ratio,key_sequence_process_with_context,hao,yune_librime_median_ratio,x,1.225,1.282,1.285,1.337,1.283,1.283,1.337,9.1,1.844,0,pass
latency_ratio,key_sequence_process_with_context,ceshiyixiachangjushuruxingnengzenyang,yune_librime_median_ratio,x,1.976,1.964,1.945,2.005,1.956,1.964,2.005,3.1,2.339,0,pass
latency_ratio,key_sequence_process_with_context,zhegeyinqingqishiyinggaizhichichaochangjuzishurucainengyong,yune_librime_median_ratio,x,1.574,1.535,1.527,1.628,1.565,1.565,1.628,6.6,1.748,0,pass
memory_peak,,,track_a_peak_working_set_bytes,bytes,191606784,191737856,191848448,191889408,192204800,191848448,192204800,0.3,195028378,0,pass
latency_ratio,key_sequence_process_with_context,zhongguo,yune_librime_median_ratio,x,0.266,0.268,0.272,0.279,0.273,0.272,0.279,4.9,0.323,0,pass
latency_ratio,key_sequence_process_with_context,cszysmsrsd,yune_librime_median_ratio,x,0.397,0.402,0.402,0.399,0.409,0.402,0.409,3,0.474,0,pass
latency_ratio,key_sequence_process_with_context,zybfshmsru,yune_librime_median_ratio,x,0.6,0.598,0.593,0.609,0.603,0.6,0.609,2.7,0.695,0,pass
latency_ratio,startup_warm_shared_assets_runtime_ready,,yune_librime_median_ratio,x,0.832,0.946,0.943,0.912,0.945,0.943,0.946,13.7,1.091,0,pass
latency_absolute_us,session_create_select_destroy,,median_us,us,23567.6,22745.2,23031.7,22795.5,23155.4,23031.7,23567.6,3.6,25470.280,0,pass
latency_absolute_us,track-b-product/key_sequence_process_with_context,neigojangingkeisatjinggoiziwunciucoenggeoizisyujapsinhojijung,median_us,us,327.107,324.969,328.675,324.528,338.472,327.107,338.472,4.3,347.975,0,pass
memory_absolute_bytes,track-b-product/key_sequence_process_with_context,neigojangingkeisatjinggoiziwunciucoenggeoizisyujapsinhojijung,median_working_set_bytes,bytes,86540288,86237184,86368256,86507520,86417408,86417408,86540288,0.4,88012390,0,pass
memory_absolute_bytes,track-b-product/key_sequence_process_with_context,neigojangingkeisatjinggoiziwunciucoenggeoizisyujapsinhojijung,max_peak_working_set_bytes,bytes,271515648,271671296,271634432,271659008,271335424,271634432,271671296,0.1,562033050,0,pass
memory_absolute_bytes,track-b-product/key_sequence_process_with_context,neigojangingkeisatjinggoiziwunciucoenggeoizisyujapsinhojijung,median_private_bytes,bytes,34025472,33910784,33906688,34078720,34070528,34025472,34078720,0.5,39460045,0,pass
latency_absolute_us,track-b-product/session_create_select_destroy,,median_us,us,37526.5,36808.8,37390.4,36706.1,37476.2,37390.4,37526.5,2.2,39289.800,0,pass
memory_absolute_bytes,track-b-product/session_create_select_destroy,,median_working_set_bytes,bytes,67158016,66969600,67182592,67006464,66924544,67006464,67182592,0.4,66872115,5,fail
memory_absolute_bytes,track-b-product/session_create_select_destroy,,max_peak_working_set_bytes,bytes,271515648,271671296,271634432,271659008,271335424,271634432,271671296,0.1,562033050,0,pass
memory_absolute_bytes,track-b-product/session_create_select_destroy,,median_private_bytes,bytes,27742208,27983872,28147712,27152384,27279360,27742208,28147712,3.7,32084378,0,pass
latency_absolute_us,track-b-product/startup_warm_shared_assets_runtime_ready,,median_us,us,36143.4,35939,36690.4,36240.8,36167.3,36167.3,36690.4,2.1,38825.050,0,pass
memory_absolute_bytes,track-b-product/startup_warm_shared_assets_runtime_ready,,median_working_set_bytes,bytes,83980288,83750912,84090880,83820544,84119552,83980288,84119552,0.4,86196634,0,pass
memory_absolute_bytes,track-b-product/startup_warm_shared_assets_runtime_ready,,max_peak_working_set_bytes,bytes,271515648,271671296,271634432,271659008,271335424,271634432,271671296,0.1,562033050,0,pass
memory_absolute_bytes,track-b-product/startup_warm_shared_assets_runtime_ready,,median_private_bytes,bytes,32190464,32374784,32731136,31444992,31817728,32190464,32731136,4.1,37865062,0,pass
latency_ratio,key_sequence_process_with_context,zh,yune_librime_median_ratio,x,0.982,1.002,0.98,0.976,0.964,0.98,1.002,3.9,1.047,0,pass
latency_ratio,key_sequence_process_with_context,j,yune_librime_median_ratio,x,3.865,3.898,3.866,3.974,3.801,3.866,3.974,4.6,4.372,0,pass
latency_ratio,key_sequence_process_with_context,yi,yune_librime_median_ratio,x,2.377,2.465,2.416,2.425,2.411,2.416,2.465,3.7,6.098,0,pass
latency_ratio,key_sequence_process_with_context,che,yune_librime_median_ratio,x,1.011,1.011,1,1.005,0.988,1.005,1.011,2.3,1.160,0,pass
latency_ratio,key_sequence_process_with_context,chuang,yune_librime_median_ratio,x,1.013,1.042,1.01,1.056,0.988,1.013,1.056,6.9,1.357,0,pass
latency_ratio,key_sequence_process_with_context,b,yune_librime_median_ratio,x,3.335,3.398,3.386,3.341,3.295,3.341,3.398,3.1,3.775,0,pass
latency_ratio,key_sequence_process_with_context,ceshi,yune_librime_median_ratio,x,0.829,0.826,0.822,0.821,0.814,0.822,0.829,1.8,0.966,0,pass
