tool_version,tool_sha256,oracle_sha256,actual_sha256,exception_sha256,effective_invocation,input,policy,oracle_count,actual_count,oracle_captured_all_pages,actual_captured_all_pages,oracle_menu_present,actual_menu_present,oracle_termination_reason,actual_termination_reason,raw_first_mismatch_index,missing_count,extra_count,failure_classes,accepted_exceptions,verdict
5,d20eccc78822dd612eefd39966586a5c87cd5bbe8be4386634a20c52c139f612,24408c3b2b83db516ae1382d2ba743b41ead50c7c026aee2837a01137c7ecbcf,82fe38e0ef24bea76b3e65400cb9605fb2579ad9ea7d8caf5ca8c5bfbe216971,,python scripts/compare-candidate-order.py --oracle target/m59-increment1-cangjie-final/cangjie-oracle.json --actual target/m59-increment1-cangjie-final/cangjie-yune.json --policy exact --output-json target/m59-increment1-cangjie-final/cangjie-diff.json --output-csv target/m59-increment1-cangjie-final/cangjie-diff.csv,hwmvsqtt,exact,7,3,True,True,True,True,last_page,last_page,0,5,1,under-admission;over-admission;order,,fail
5,d20eccc78822dd612eefd39966586a5c87cd5bbe8be4386634a20c52c139f612,24408c3b2b83db516ae1382d2ba743b41ead50c7c026aee2837a01137c7ecbcf,82fe38e0ef24bea76b3e65400cb9605fb2579ad9ea7d8caf5ca8c5bfbe216971,,python scripts/compare-candidate-order.py --oracle target/m59-increment1-cangjie-final/cangjie-oracle.json --actual target/m59-increment1-cangjie-final/cangjie-yune.json --policy exact --output-json target/m59-increment1-cangjie-final/cangjie-diff.json --output-csv target/m59-increment1-cangjie-final/cangjie-diff.csv,ebcnyripm,exact,5,2,True,True,True,True,last_page,last_page,0,4,1,under-admission;over-admission;order,,fail
5,d20eccc78822dd612eefd39966586a5c87cd5bbe8be4386634a20c52c139f612,24408c3b2b83db516ae1382d2ba743b41ead50c7c026aee2837a01137c7ecbcf,82fe38e0ef24bea76b3e65400cb9605fb2579ad9ea7d8caf5ca8c5bfbe216971,,python scripts/compare-candidate-order.py --oracle target/m59-increment1-cangjie-final/cangjie-oracle.json --actual target/m59-increment1-cangjie-final/cangjie-yune.json --policy exact --output-json target/m59-increment1-cangjie-final/cangjie-diff.json --output-csv target/m59-increment1-cangjie-final/cangjie-diff.csv,takohaeosk,exact,4,2,True,True,True,True,last_page,last_page,0,3,1,under-admission;over-admission;order,,fail
5,d20eccc78822dd612eefd39966586a5c87cd5bbe8be4386634a20c52c139f612,24408c3b2b83db516ae1382d2ba743b41ead50c7c026aee2837a01137c7ecbcf,82fe38e0ef24bea76b3e65400cb9605fb2579ad9ea7d8caf5ca8c5bfbe216971,,python scripts/compare-candidate-order.py --oracle target/m59-increment1-cangjie-final/cangjie-oracle.json --actual target/m59-increment1-cangjie-final/cangjie-yune.json --policy exact --output-json target/m59-increment1-cangjie-final/cangjie-diff.json --output-csv target/m59-increment1-cangjie-final/cangjie-diff.csv,hwmvs,exact,2,2,True,True,True,True,last_page,last_page,,0,0,,,pass
5,d20eccc78822dd612eefd39966586a5c87cd5bbe8be4386634a20c52c139f612,24408c3b2b83db516ae1382d2ba743b41ead50c7c026aee2837a01137c7ecbcf,82fe38e0ef24bea76b3e65400cb9605fb2579ad9ea7d8caf5ca8c5bfbe216971,,python scripts/compare-candidate-order.py --oracle target/m59-increment1-cangjie-final/cangjie-oracle.json --actual target/m59-increment1-cangjie-final/cangjie-yune.json --policy exact --output-json target/m59-increment1-cangjie-final/cangjie-diff.json --output-csv target/m59-increment1-cangjie-final/cangjie-diff.csv,qtt,exact,27,27,True,True,True,True,last_page,last_page,1,0,0,order,,fail
5,d20eccc78822dd612eefd39966586a5c87cd5bbe8be4386634a20c52c139f612,24408c3b2b83db516ae1382d2ba743b41ead50c7c026aee2837a01137c7ecbcf,82fe38e0ef24bea76b3e65400cb9605fb2579ad9ea7d8caf5ca8c5bfbe216971,,python scripts/compare-candidate-order.py --oracle target/m59-increment1-cangjie-final/cangjie-oracle.json --actual target/m59-increment1-cangjie-final/cangjie-yune.json --policy exact --output-json target/m59-increment1-cangjie-final/cangjie-diff.json --output-csv target/m59-increment1-cangjie-final/cangjie-diff.csv,ebcn,exact,1,1,True,True,True,True,last_page,last_page,,0,0,,,pass
5,d20eccc78822dd612eefd39966586a5c87cd5bbe8be4386634a20c52c139f612,24408c3b2b83db516ae1382d2ba743b41ead50c7c026aee2837a01137c7ecbcf,82fe38e0ef24bea76b3e65400cb9605fb2579ad9ea7d8caf5ca8c5bfbe216971,,python scripts/compare-candidate-order.py --oracle target/m59-increment1-cangjie-final/cangjie-oracle.json --actual target/m59-increment1-cangjie-final/cangjie-yune.json --policy exact --output-json target/m59-increment1-cangjie-final/cangjie-diff.json --output-csv target/m59-increment1-cangjie-final/cangjie-diff.csv,yripm,exact,1,1,True,True,True,True,last_page,last_page,,0,0,,,pass
5,d20eccc78822dd612eefd39966586a5c87cd5bbe8be4386634a20c52c139f612,24408c3b2b83db516ae1382d2ba743b41ead50c7c026aee2837a01137c7ecbcf,82fe38e0ef24bea76b3e65400cb9605fb2579ad9ea7d8caf5ca8c5bfbe216971,,python scripts/compare-candidate-order.py --oracle target/m59-increment1-cangjie-final/cangjie-oracle.json --actual target/m59-increment1-cangjie-final/cangjie-yune.json --policy exact --output-json target/m59-increment1-cangjie-final/cangjie-diff.json --output-csv target/m59-increment1-cangjie-final/cangjie-diff.csv,tak,exact,30,17,True,True,True,True,last_page,last_page,1,13,0,under-admission;order,,fail
5,d20eccc78822dd612eefd39966586a5c87cd5bbe8be4386634a20c52c139f612,24408c3b2b83db516ae1382d2ba743b41ead50c7c026aee2837a01137c7ecbcf,82fe38e0ef24bea76b3e65400cb9605fb2579ad9ea7d8caf5ca8c5bfbe216971,,python scripts/compare-candidate-order.py --oracle target/m59-increment1-cangjie-final/cangjie-oracle.json --actual target/m59-increment1-cangjie-final/cangjie-yune.json --policy exact --output-json target/m59-increment1-cangjie-final/cangjie-diff.json --output-csv target/m59-increment1-cangjie-final/cangjie-diff.csv,oha,exact,11,11,True,True,True,True,last_page,last_page,1,0,0,order,,fail
5,d20eccc78822dd612eefd39966586a5c87cd5bbe8be4386634a20c52c139f612,24408c3b2b83db516ae1382d2ba743b41ead50c7c026aee2837a01137c7ecbcf,82fe38e0ef24bea76b3e65400cb9605fb2579ad9ea7d8caf5ca8c5bfbe216971,,python scripts/compare-candidate-order.py --oracle target/m59-increment1-cangjie-final/cangjie-oracle.json --actual target/m59-increment1-cangjie-final/cangjie-yune.json --policy exact --output-json target/m59-increment1-cangjie-final/cangjie-diff.json --output-csv target/m59-increment1-cangjie-final/cangjie-diff.csv,eosk,exact,1,1,True,True,True,True,last_page,last_page,,0,0,,,pass
5,d20eccc78822dd612eefd39966586a5c87cd5bbe8be4386634a20c52c139f612,24408c3b2b83db516ae1382d2ba743b41ead50c7c026aee2837a01137c7ecbcf,82fe38e0ef24bea76b3e65400cb9605fb2579ad9ea7d8caf5ca8c5bfbe216971,,python scripts/compare-candidate-order.py --oracle target/m59-increment1-cangjie-final/cangjie-oracle.json --actual target/m59-increment1-cangjie-final/cangjie-yune.json --policy exact --output-json target/m59-increment1-cangjie-final/cangjie-diff.json --output-csv target/m59-increment1-cangjie-final/cangjie-diff.csv,hdaetcu,exact,6,2,True,True,True,True,last_page,last_page,0,5,1,under-admission;over-admission;order,,fail
5,d20eccc78822dd612eefd39966586a5c87cd5bbe8be4386634a20c52c139f612,24408c3b2b83db516ae1382d2ba743b41ead50c7c026aee2837a01137c7ecbcf,82fe38e0ef24bea76b3e65400cb9605fb2579ad9ea7d8caf5ca8c5bfbe216971,,python scripts/compare-candidate-order.py --oracle target/m59-increment1-cangjie-final/cangjie-oracle.json --actual target/m59-increment1-cangjie-final/cangjie-yune.json --policy exact --output-json target/m59-increment1-cangjie-final/cangjie-diff.json --output-csv target/m59-increment1-cangjie-final/cangjie-diff.csv,lyk,exact,19,19,True,True,True,True,last_page,last_page,2,0,0,order,,fail
