"engine","track","schema_id","workload","input","samples","operations","median_us","p95_us","p99_us","max_us","median_working_set_bytes","max_peak_working_set_bytes"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","hao","1","3","11.600","11.600","11.600","11.600","11956224","14102528"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","ni","1","2","15.050","15.050","15.050","15.050","11808768","13885440"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","zhongguo","1","8","187.912","187.912","187.912","187.912","12951552","14127104"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","1","1","26839.500","26839.500","26839.500","26839.500","10752000","13885440"
"librime-1.17.0","track-a-comparison","luna_pinyin","startup_warm_shared_assets_runtime_ready","","1","1","43845.100","43845.100","43845.100","43845.100","11104256","12189696"
"yune","track-a-comparison","luna_pinyin","key_sequence_process_with_context","hao","1","3","4420.433","4420.433","4420.433","4420.433","160681984","171847680"
"yune","track-a-comparison","luna_pinyin","key_sequence_process_with_context","ni","1","2","3044.350","3044.350","3044.350","3044.350","160501760","171847680"
"yune","track-a-comparison","luna_pinyin","key_sequence_process_with_context","zhongguo","1","8","4528.087","4528.087","4528.087","4528.087","160849920","171847680"
"yune","track-a-comparison","luna_pinyin","session_create_select_destroy","","1","1","47506.100","47506.100","47506.100","47506.100","159522816","171847680"
"yune","track-a-comparison","luna_pinyin","startup_warm_shared_assets_runtime_ready","","1","1","815790.200","815790.200","815790.200","815790.200","159461376","171847680"
"yune","track-b-product","jyut6ping3_mobile","key_sequence_process_with_context","hai","1","3","15301.000","15301.000","15301.000","15301.000","777592832","928190464"
"yune","track-b-product","jyut6ping3_mobile","key_sequence_process_with_context","jigaajiusihaa","1","13","5201.446","5201.446","5201.446","5201.446","777601024","928190464"
"yune","track-b-product","jyut6ping3_mobile","key_sequence_process_with_context","loengjathau","1","11","4063.673","4063.673","4063.673","4063.673","777601024","928190464"
"yune","track-b-product","jyut6ping3_mobile","key_sequence_process_with_context","ngohaig","1","7","3916.629","3916.629","3916.629","3916.629","777601024","928190464"
"yune","track-b-product","jyut6ping3_mobile","session_create_select_destroy","","1","1","229358.400","229358.400","229358.400","229358.400","762527744","928190464"
"yune","track-b-product","jyut6ping3_mobile","startup_warm_shared_assets_runtime_ready","","1","1","25305460.900","25305460.900","25305460.900","25305460.900","772595712","928190464"
