workload,m57_full_pass_1_median_us,m57_full_pass_2_median_us,m57_two_pass_center_us,current_run_1_median_us,current_run_2_median_us,current_run_3_median_us,current_run_4_median_us,current_run_5_median_us,current_median_of_run_medians_us,current_worst_run_median_us,current_pooled_worst_sample_us,current_median_spread_pct,current_vs_m57_full_pass_1_pct,current_vs_m57_two_pass_center_pct,interpretation
key_sequence_process_with_context,286.514,291.258,288.886,265.696,264.941,263.880,268.620,263.914,264.941,268.620,642.907,1.8,-7.5,-8.3,same-host historical observation; source commits differ
session_create_select_destroy,28561.833,29242.958,28902.395,29208.083,29271.791,29234.292,29290.417,29135.750,29234.292,29290.417,30550.708,0.5,+2.4,+1.1,same-host historical observation; source commits differ
startup_warm_shared_assets_runtime_ready,28608.292,37937.375,33272.834,29484.250,29320.125,29470.833,29385.500,29247.709,29385.500,29484.250,143423.250,0.8,+2.7,-11.7,same-host historical observation; source commits differ
