dictionary_id,field,m57_full_pass_1,m57_full_pass_2,m57_passes_consistent,current_run_1,current_run_2,current_run_3,current_run_4,current_run_5,current_runs_consistent,status,note
jyut6ping3_scolar,prism_id,jyut6ping3_scolar,jyut6ping3_scolar,yes,jyut6ping3_scolar,jyut6ping3_scolar,jyut6ping3_scolar,jyut6ping3_scolar,jyut6ping3_scolar,yes,unchanged,
jyut6ping3_scolar,source_checksum,0x822bccba,0x822bccba,yes,0x822bccba,0x822bccba,0x822bccba,0x822bccba,0x822bccba,yes,unchanged,model/checksum identity
jyut6ping3_scolar,table_checksum,0x822bccba,0x822bccba,yes,0x822bccba,0x822bccba,0x822bccba,0x822bccba,0x822bccba,yes,unchanged,model/checksum identity
jyut6ping3_scolar,checksum_status,fresh,fresh,yes,fresh,fresh,fresh,fresh,fresh,yes,unchanged,model/checksum identity
jyut6ping3_scolar,table_parse,ok,ok,yes,ok,ok,ok,ok,ok,yes,unchanged,
jyut6ping3_scolar,prism_parse,ok,ok,yes,ok,ok,ok,ok,ok,yes,unchanged,
jyut6ping3_scolar,reverse_parse,ok,ok,yes,ok,ok,ok,ok,ok,yes,unchanged,
jyut6ping3_scolar,compiled_ready,true,true,yes,true,true,true,true,true,yes,unchanged,
jyut6ping3_scolar,selected_storage,byte_backed,byte_backed,yes,byte_backed,byte_backed,byte_backed,byte_backed,byte_backed,yes,unchanged,storage-owner shape
jyut6ping3_scolar,table_format,yune_no_marisa_compact,yune_no_marisa_compact,yes,yune_no_marisa_compact,yune_no_marisa_compact,yune_no_marisa_compact,yune_no_marisa_compact,yune_no_marisa_compact,yes,unchanged,
jyut6ping3_scolar,table_mapping_mode,mmap,mmap,yes,mmap,mmap,mmap,mmap,mmap,yes,unchanged,storage-owner shape
jyut6ping3_scolar,prism_mapping_mode,mmap,mmap,yes,mmap,mmap,mmap,mmap,mmap,yes,unchanged,storage-owner shape
jyut6ping3_scolar,source_fallback,false,false,yes,false,false,false,false,false,yes,unchanged,
jyut6ping3_scolar,byte_source_len,12478842,12478842,yes,12478870,12478870,12478870,12478870,12478870,yes,changed_since_m57,compiled byte length changed; checksums/entry counts decide model identity
jyut6ping3_scolar,stored_entries,0,0,yes,0,0,0,0,0,yes,unchanged,
jyut6ping3_scolar,compact_all_codes_count,0,0,yes,0,0,0,0,0,yes,unchanged,
jyut6ping3_scolar,compact_expanded_table_entries,0,0,yes,0,0,0,0,0,yes,unchanged,
jyut6ping3_scolar,compact_expansion_status,ok,ok,yes,ok,ok,ok,ok,ok,yes,unchanged,
jyut6ping3_scolar,table_heap_mirror_bytes,0,0,yes,0,0,0,0,0,yes,unchanged,
jyut6ping3_scolar,prism_heap_mirror_bytes,0,0,yes,0,0,0,0,0,yes,unchanged,
jyut6ping3_scolar,rsmarisa_status,missing_string_table,missing_string_table,yes,missing_string_table,missing_string_table,missing_string_table,missing_string_table,missing_string_table,yes,unchanged,
jyut6ping3_scolar,rsmarisa_mapping_mode,unavailable,unavailable,yes,unavailable,unavailable,unavailable,unavailable,unavailable,yes,unchanged,
