event_index,phase,working_set_bytes,working_set_mb,private_bytes,private_mb,peak_working_set_bytes,peak_working_set_mb,allocator_live_bytes,allocator_live_mb,allocator_high_water_bytes,allocator_high_water_mb,named_owner_bytes,clean_mmap_file_backed_estimate_bytes,conclusion
0,"m47:phase:baseline_process_start",5275648,5,786432,0.8,5275648,5,4163,0,9233,0,,,""
1,"m47:phase:after_temp_schema_copy",6430720,6.1,1040384,1,6430720,6.1,5749,0,26489,0,,,""
2,"m47:phase:after_setup",6635520,6.3,1040384,1,6635520,6.3,7327,0,26489,0,,,""
3,"m47:phase:after_initialize",6643712,6.3,1040384,1,6643712,6.3,7405,0,26489,0,,,""
4,"m47:deploy_workspace:start",6647808,6.3,1040384,1,6647808,6.3,7458,0,26489,0,,,""
5,"m47:deploy_workspace:after_installation_update",7155712,6.8,1077248,1,7155712,6.8,8142,0,61467,0.1,,,""
6,"m47:deploy:workspace_update:start",7163904,6.8,1077248,1,7163904,6.8,8175,0,61467,0.1,,,""
7,"m47:deploy:workspace_update:after_default_config",7741440,7.4,1146880,1.1,7868416,7.5,8223,0,391724,0.4,,,""
8,"m47:deploy:workspace_update:after_prebuilt_link_sync",7774208,7.4,1155072,1.1,7868416,7.5,8275,0,391724,0.4,,,""
9,"m47:deploy:workspace_update:after_schema_list:schema_count=1",7991296,7.6,1306624,1.2,8085504,7.7,112541,0.1,391724,0.4,,,""
10,"m47:deploy:luna_pinyin:after_staging_metadata:table=false:prism=false:reverse=false",11571200,11,4685824,4.5,11571200,11,1750240,1.7,1786504,1.7,,,""
11,"m47:deploy:luna_pinyin:after_prebuilt_metadata:table_bytes=4640486:prism_bytes=1642925:reverse_bytes=1263091",11632640,11.1,4685824,4.5,11632640,11.1,1750392,1.7,1786504,1.7,,,""
12,"m47:deploy:luna_pinyin:after_rebuild_plan:table=ReusedFresh:prism=ReusedFresh:reverse=ReusedFresh",10768384,10.3,4448256,4.2,11730944,11.2,1750498,1.7,2336866,2.2,,,""
13,"m47:deploy:jyut6ping3_scolar:after_staging_metadata:table=false:prism=false:reverse=false",16388096,15.6,9318400,8.9,16388096,15.6,7371017,7,7371153,7,,,""
14,"m47:deploy:jyut6ping3_scolar:after_prebuilt_metadata:table_bytes=12478842:prism_bytes=325:reverse_bytes=89",16453632,15.7,9318400,8.9,16453632,15.7,7371169,7,7371662,7,,,""
15,"m47:deploy:jyut6ping3_scolar:after_rebuild_plan:table=ReusedFresh:prism=Rebuilt:reverse=ReusedFresh",16539648,15.8,9420800,9,16580608,15.8,7371275,7,7551573,7.2,,,""
16,"m47:deploy:jyut6ping3_scolar:after_rebuild_execute",83812352,79.9,76967936,73.4,83812352,79.9,59903053,57.1,62835399,59.9,,,""
17,"m47:deploy:luna_pinyin_yune_reverse:after_staging_metadata:table=false:prism=false:reverse=false",11771904,11.2,3088384,2.9,83828736,79.9,245675,0.2,62835399,59.9,,,""
