input,special_rows,newly_signed,mac_run1_ratio,mac_run2_ratio,mac_run3_ratio,mac_run4_ratio,mac_run5_ratio,mac_median_ratio,mac_pooled_worst_ratio,mac_spread_pct,mac_spread_pct_rounded_1dp,source_matched_final_windows_median_ratio,mac_vs_source_matched_final_windows_pct,mac_vs_source_matched_final_windows_class,historical_signed_i0_windows_median_ratio,historical_signed_windows_ceiling,mac_vs_historical_signed_i0_windows_pct,mac_vs_historical_signed_i0_windows_class,mac_median_vs_signed_ceiling_pct,mac_median_signed_ceiling_diagnostic,mac_pooled_worst_vs_signed_ceiling_pct,mac_pooled_worst_signed_ceiling_diagnostic,comparison_boundary
n,short-explicit,false,0.161,0.11,0.107,0.111,0.153,0.111,0.161,50.467289719626168224299065420560747663551401869159,50.5,0.208,-46.634615384615384615384615384615384615384615384615,material,2.82,3.006,-96.063829787234042553191489361702127659574468085106,material,-96.307385229540918163672654690618762475049900199601,at-or-below,-94.644045242847638057218895542248835662009314703926,at-or-below,diagnostic-only; Windows ceiling is not a macOS acceptance threshold
ni,short-explicit,false,0.183,0.155,0.139,0.129,0.212,0.155,0.212,64.341085271317829457364341085271317829457364341085,64.3,0.246,-36.991869918699186991869918699186991869918699186992,material,2.599,2.666,-94.036167756829549826856483262793382070026933435937,material,-94.186046511627906976744186046511627906976744186046,at-or-below,-92.048012003000750187546886721680420105026256564141,at-or-below,diagnostic-only; Windows ceiling is not a macOS acceptance threshold
hao,short-explicit,false,0.189,0.188,0.173,0.166,0.231,0.188,0.231,39.156626506024096385542168674698795180722891566265,39.2,0.284,-33.802816901408450704225352112676056338028169014085,material,1.72,1.844,-89.069767441860465116279069767441860465116279069767,material,-89.804772234273318872017353579175704989154013015184,at-or-below,-87.472885032537960954446854663774403470715835140998,at-or-below,diagnostic-only; Windows ceiling is not a macOS acceptance threshold
zhongguo,,false,0.04,0.04,0.035,0.04,0.051,0.04,0.051,45.714285714285714285714285714285714285714285714286,45.7,0.038,5.26315789473684210526315789473684210526315789474,close,0.293,0.323,-86.348122866894197952218430034129692832764505119454,material,-87.616099071207430340557275541795665634674922600619,at-or-below,-84.210526315789473684210526315789473684210526315789,at-or-below,diagnostic-only; Windows ceiling is not a macOS acceptance threshold
ceshiyixiachangjushuruxingnengzenyang,37-character,false,0.029,0.029,0.026,0.029,0.029,0.029,0.029,11.538461538461538461538461538461538461538461538462,11.5,0.022,31.81818181818181818181818181818181818181818181818,material,2.132,2.339,-98.639774859287054409005628517823639774859287054409,material,-98.76015391192817443351859769132107738349722103463,at-or-below,-98.76015391192817443351859769132107738349722103463,at-or-below,diagnostic-only; Windows ceiling is not a macOS acceptance threshold
zhegeyinqingqishiyinggaizhichichaochangjuzishurucainengyong,59-character,false,0.013,0.012,0.012,0.012,0.015,0.012,0.015,25,25,0.01,20,notable,1.681,1.748,-99.286139202855443188578227245687091017251635930993,material,-99.313501144164759725400457665903890160183066361556,at-or-below,-99.141876430205949656750572082379862700228832951945,at-or-below,diagnostic-only; Windows ceiling is not a macOS acceptance threshold
cszysmsrsd,,false,0.006,0.006,0.005,0.006,0.007,0.006,0.007,40,40,0.005,20,notable,0.396,0.474,-98.484848484848484848484848484848484848484848484848,material,-98.734177215189873417721518987341772151898734177215,at-or-below,-98.523206751054852320675105485232067510548523206751,at-or-below,diagnostic-only; Windows ceiling is not a macOS acceptance threshold
zybfshmsru,,false,0.009,0.008,0.007,0.008,0.008,0.008,0.009,28.571428571428571428571428571428571428571428571429,28.6,0.008,0,close,0.569,0.695,-98.594024604569420035149384885764499121265377855888,material,-98.848920863309352517985611510791366906474820143885,at-or-below,-98.70503597122302158273381294964028776978417266187,at-or-below,diagnostic-only; Windows ceiling is not a macOS acceptance threshold
zh,newly-signed,true,0.107,0.1,0.077,0.1,0.108,0.1,0.108,40.25974025974025974025974025974025974025974025974,40.3,0.099,1.0101010101010101010101010101010101010101010101,close,0.986,1.047,-89.858012170385395537525354969574036511156186612576,material,-90.448901623686723973256924546322827125119388729704,at-or-below,-89.68481375358166189111747851002865329512893982808,at-or-below,diagnostic-only; Windows ceiling is not a macOS acceptance threshold
j,newly-signed,true,0.419,0.41,0.371,0.421,0.426,0.419,0.426,14.824797843665768194070080862533692722371967654987,14.8,0.399,5.01253132832080200501253132832080200501253132832,close,4,4.372,-89.525,material,-90.416285452881976212259835315645013723696248856359,at-or-below,-90.25617566331198536139066788655077767612076852699,at-or-below,diagnostic-only; Windows ceiling is not a macOS acceptance threshold
