role,path,sha256,note
mac_rounds,accepted/run-{1..5},see artifact-hash-audit.csv,exact final-M59 source; preserved external after each run; transient output-location deviation disclosed
source_matched_final_windows,docs/reports/evidence/m59-canonical-jyutping-reachability-parity/increment-4e-lane-b-exact-order/performance-ratchet/gate-verdict.csv,b3c68da83ac08914a48fed346fcbb7d3176a04a14f3e530283dddc3189fda7cf,provenance binds 5879405c7b0f76af4dca7382f00b3e0605386f2c
source_matched_final_windows_provenance,docs/reports/evidence/m59-canonical-jyutping-reachability-parity/increment-4e-lane-b-exact-order/performance-ratchet/gate-verdict.provenance.json,0f1c776e8386ac88cdf7517bb3584bcc566eb2febc48fbd72ca24f528a0a0242,same inputs and iteration counts
historical_signed_i0_windows,docs/reports/evidence/m59-closeout-baseline/gate-verdict.csv,55ca3e1781fea2bc90ba1802d151e2843d6aea0b5bf5b2396670fa1c58ba6959,historical source 45775182; diagnostic context
historical_signed_i0_windows_provenance,docs/reports/evidence/m59-closeout-baseline/gate-verdict.provenance.json,ff2c03ac8c09e979fb88a2e04ef60d1b368f2e8cc57428f0f5e7332e647d26cb,provenance binds 457751824b8944676dc44912b9ce31ff29d78403
signed_windows_thresholds,docs/reports/evidence/m55-native-match-or-beat/thresholds/m55-thresholds.csv,e74e77b4dd5b253e0c2b5f4b12cc1e0279784d3c3fbf02006b5f8f18fccacdba,diagnostic only; unchanged
nine_row_ceiling_derivation,docs/reports/evidence/m59-closeout-baseline/expanded-ceiling-derivation.csv,0dd23c260f3f79142582b92cb3084391e17cd6be6f3fcb1b63efde9e581bd287,nine newly signed rows
mac_candidate_run1,accepted/run-1/candidate_snapshots.csv,bbad1dbb61f2ead3bd56a5b4888d5269737315a5a5c45fc10de5ce2da3d63408,all five Mac candidate files are verified equal by hash and parsed rows
mac_memory_owner_run1,accepted/run-1/memory-owner-profile.csv,c1c44dcb4b218f747210b7beb7e9de4489dbd771fff96d21f8b3a60fe4b2e42e,normalized logical-owner comparison; absolute process counters excluded
mac_product_status_run1,accepted/run-1/product_path_status.csv,17bc0e1b5c75185cc0019e612e9f0b4738b70de5154beb5dc1fc62adb3742680,checksum and storage-shape comparison source
final_windows_summary_run1,docs/reports/evidence/m59-canonical-jyutping-reachability-parity/increment-4e-lane-b-exact-order/performance-ratchet/run1/summary.csv,c472e604f6bf5f5ba3ea18185aa84e659be196383ede7e8250523efcb35bba8e,source-matched absolute component and Track B observation source
final_windows_candidate_run1,docs/reports/evidence/m59-canonical-jyutping-reachability-parity/increment-4e-lane-b-exact-order/performance-ratchet/run1/candidate_snapshots.csv,1535defeeff99f4fd55ed62dc8ae47ab9bd34ca4ed02aff4440e31caf633548d,all five final-Windows candidate files are verified equal by the report builder
final_windows_memory_owner_run1,docs/reports/evidence/m59-canonical-jyutping-reachability-parity/increment-4e-lane-b-exact-order/performance-ratchet/run1/memory-owner-profile.csv,5acf79f61dba00ca2e095e8898b0da71724528aadf0e07b10de74fba91d7c94e,normalized logical-owner comparison source
final_windows_product_status_run1,docs/reports/evidence/m59-canonical-jyutping-reachability-parity/increment-4e-lane-b-exact-order/performance-ratchet/run1/product_path_status.csv,42adc17fc9205a396f44d369c00bf66e86ebf1115f266881bc54a40dbe2734b0,checksum and storage-shape comparison source
mac_candidate_run2,accepted/run-2/candidate_snapshots.csv,bbad1dbb61f2ead3bd56a5b4888d5269737315a5a5c45fc10de5ce2da3d63408,all five Mac candidate files are verified equal by hash and parsed rows
