input,special_rows,engine,mac_run1_median_us,mac_run2_median_us,mac_run3_median_us,mac_run4_median_us,mac_run5_median_us,mac_median_of_run_medians_us,mac_worst_run_median_us,mac_spread_pct,source_matched_windows_run1_median_us,source_matched_windows_run2_median_us,source_matched_windows_run3_median_us,source_matched_windows_run4_median_us,source_matched_windows_run5_median_us,source_matched_windows_median_of_run_medians_us,source_matched_windows_worst_run_median_us,source_matched_windows_spread_pct,mac_vs_source_matched_windows_median_pct,comparison_boundary
n,short-explicit,yune,3.041,2.958,3,3.042,3.542,3.041,3.542,19.743069641649763353617308992562542258282623394185,4.4,4.4,4.4,4.3,4.5,4.4,4.5,4.6511627906976744186046511627906976744186046511628,-30.886363636363636363636363636363636363636363636364,absolute latency is platform-specific and diagnostic only
n,short-explicit,librime-1.17.0,18.917,26.917,28.041,27.417,23.125,26.917,28.041,48.231749220278056774329967753872178463815615583866,21.2,21.6,21.4,20.6,21,21.2,21.6,4.8543689320388349514563106796116504854368932038835,26.96698113207547169811320754716981132075471698113,absolute latency is platform-specific and diagnostic only
ni,short-explicit,yune,2.854,2.958,2.833,2.917,3.5,2.917,3.5,23.543946346629015178256265442993293328626897282033,4.4,4.35,4.35,4.4,4.45,4.4,4.45,2.2988505747126436781609195402298850574712643678161,-33.704545454545454545454545454545454545454545454545,absolute latency is platform-specific and diagnostic only
ni,short-explicit,librime-1.17.0,15.584,19.125,20.354,22.584,16.5,19.125,22.584,44.917864476386036960985626283367556468172484599589,17.85,18.1,17.75,17.3,17.65,17.75,18.1,4.6242774566473988439306358381502890173410404624277,7.74647887323943661971830985915492957746478873239,absolute latency is platform-specific and diagnostic only
hao,short-explicit,yune,2.903,2.889,2.917,2.917,3.361,2.917,3.361,16.337833160263066805122879889235029421945309795777,4.467,4.333,4.267,4.467,4.333,4.333,4.467,4.6871338176704944926177642371689711741270213264589,-32.679436879759981537041310870066928225248096007385,absolute latency is platform-specific and diagnostic only
hao,short-explicit,librime-1.17.0,15.389,15.333,16.875,17.583,14.555,15.389,17.583,20.803847475094469254551700446581930608038474750945,15.733,16.033,15.433,15.233,15.233,15.433,16.033,5.2517560559312019956673012538567583535744764655682,-0.28510334996436208125445473984319315751960085531,absolute latency is platform-specific and diagnostic only
zhongguo,,yune,4.422,4.432,4.302,4.438,5.547,4.432,5.547,28.940027894002789400278940027894002789400278940028,6.775,6.688,6.65,6.738,6.663,6.688,6.775,1.8796992481203007518796992481203007518796992481203,-33.732057416267942583732057416267942583732057416268,absolute latency is platform-specific and diagnostic only
zhongguo,,librime-1.17.0,109.542,111.719,124.687,112.109,107.781,111.719,124.687,15.685510433193234429073769959454820422894573255026,173.3,180.325,175.838,174.425,173.225,174.425,180.325,4.0987155433684514359936498773271756386202915283591,-35.95012182886627490325354736992976924179446753619,absolute latency is platform-specific and diagnostic only
ceshiyixiachangjushuruxingnengzenyang,37-character,yune,4.735,4.736,4.678,4.783,4.718,4.735,4.783,2.2445489525438221462163317657118426678067550235143,6.816,6.651,6.646,6.759,6.695,6.695,6.816,2.5579295817032801685224195004513993379476376767981,-29.275578790141896938013442867811799850634802091113,absolute latency is platform-specific and diagnostic only
ceshiyixiachangjushuruxingnengzenyang,37-character,librime-1.17.0,163.105,163.935,180.577,167.131,161.168,163.935,180.577,12.042713193686091531817730566861908071081107912241,298.757,307.322,296.432,297.454,300.616,298.757,307.322,3.6736924488584228423382091002320937010849031143736,-45.127645544706902265051530173351586741063807709945,absolute latency is platform-specific and diagnostic only
zhegeyinqingqishiyinggaizhichichaochangjuzishurucainengyong,59-character,yune,4.796,4.787,4.778,4.801,5.685,4.796,5.685,18.982838007534533277521975722059439095856006697363,6.869,6.734,6.759,6.847,6.724,6.759,6.869,2.1564544913741820345032718619869125520523497917906,-29.042757804408936233170587364994821719189229175914,absolute latency is platform-specific and diagnostic only
zhegeyinqingqishiyinggaizhichichaochangjuzishurucainengyong,59-character,librime-1.17.0,380.417,385.292,404.846,388.023,381.641,385.292,404.846,6.4216373085324788324391391551902254631102185233573,679.192,704.702,676.12,671.858,684.732,679.192,704.702,4.8885329935790003244733262088119811031497727198307,-43.272005559547226704672610984817253442325586873815,absolute latency is platform-specific and diagnostic only
