input,special_rows,engine,mac_run1_median_us,mac_run2_median_us,mac_run3_median_us,mac_run4_median_us,mac_run5_median_us,mac_median_of_run_medians_us,mac_worst_run_median_us,mac_spread_pct,source_matched_windows_run1_median_us,source_matched_windows_run2_median_us,source_matched_windows_run3_median_us,source_matched_windows_run4_median_us,source_matched_windows_run5_median_us,source_matched_windows_median_of_run_medians_us,source_matched_windows_worst_run_median_us,source_matched_windows_spread_pct,mac_vs_source_matched_windows_median_pct,comparison_boundary
cszysmsrsd,,yune,4.446,4.383,4.429,4.392,5.446,4.429,5.446,24.25279488934519735341090577230207620351357517682,6.59,6.44,6.46,6.48,6.43,6.46,6.59,2.488335925349922239502332814930015552099533437014,-31.439628482972136222910216718266253869969040247678,absolute latency is platform-specific and diagnostic only
cszysmsrsd,,librime-1.17.0,787.179,794.054,921.404,794.638,788.767,794.054,921.404,17.051394917801414925957120299194973443143173280791,1212.72,1238.3,1212.56,1212.71,1221.43,1212.72,1238.3,2.1227815530777858415253678168503001913307382727453,-34.522890691998152912461244145392176264925126987268,absolute latency is platform-specific and diagnostic only
zybfshmsru,,yune,4.929,4.458,4.396,4.533,4.546,4.533,4.929,12.124658780709736123748862602365787079162875341219,6.65,6.4,6.48,6.57,6.47,6.48,6.65,3.90625,-30.046296296296296296296296296296296296296296296296,absolute latency is platform-specific and diagnostic only
zybfshmsru,,librime-1.17.0,536.983,538.392,667.163,540.317,534.862,538.392,667.163,24.735539260594321525926313703347779427216740018921,852.07,868.2,847.74,848.84,855.38,852.07,868.2,2.4134758298534928161936442777266614763960648311982,-36.813642071660779043975260248571126785358010492096,absolute latency is platform-specific and diagnostic only
zh,newly-signed,yune,4.646,4.333,4.333,4.375,4.521,4.375,4.646,7.2236325871220863143318716824371105469651511654743,6.55,6.3,6.4,6.4,6.3,6.4,6.55,3.968253968253968253968253968253968253968253968254,-31.640625,absolute latency is platform-specific and diagnostic only
zh,newly-signed,librime-1.17.0,43.48,43.5,56.146,43.666,41.916,43.5,56.146,33.948850081114610172726405191335051054489932245443,65.1,67.3,64.2,64.75,66.3,65.1,67.3,4.8286604361370716510903426791277258566978193146417,-33.179723502304147465437788018433179723502304147465,absolute latency is platform-specific and diagnostic only
j,newly-signed,yune,4.709,4.458,4.5,4.459,4.583,4.5,4.709,5.6303275011215791834903544190219829519964109466128,6.5,6.2,6.4,6.4,6.3,6.4,6.5,4.8387096774193548387096774193548387096774193548387,-29.6875,absolute latency is platform-specific and diagnostic only
j,newly-signed,librime-1.17.0,11.25,10.875,12.125,10.584,10.75,10.875,12.125,14.559712773998488284202569916855631141345427059713,15.5,16.2,16.3,15.3,15.8,15.8,16.3,6.5359477124183006535947712418300653594771241830065,-31.170886075949367088607594936708860759493670886076,absolute latency is platform-specific and diagnostic only
yi,newly-signed,yune,4.875,4.396,4.333,4.479,5.188,4.479,5.188,19.732287099007615970459266097392107085160396953612,6.4,6.25,6.2,6.35,6.25,6.25,6.4,3.2258064516129032258064516129032258064516129032258,-28.336,absolute latency is platform-specific and diagnostic only
yi,newly-signed,librime-1.17.0,10.75,10.458,8.958,9.104,11.021,10.458,11.021,23.029694128153605715561509265461040410805983478455,14.5,15.1,14.3,14.25,14.45,14.45,15.1,5.9649122807017543859649122807017543859649122807018,-27.626297577854671280276816608996539792387543252595,absolute latency is platform-specific and diagnostic only
che,newly-signed,yune,4.458,4.403,4.417,4.32,5.528,4.417,5.528,27.962962962962962962962962962962962962962962962963,6.4,6.267,6.333,6.567,6.267,6.333,6.567,4.7869794159885112494016275730014360938247965533748,-30.254223906521395862940154744986578240960050528975,absolute latency is platform-specific and diagnostic only
che,newly-signed,librime-1.17.0,37.903,37.111,44.472,34.208,40.444,37.903,44.472,30.004677268475210477081384471468662301216089803555,47.067,48.733,47.367,46.833,47.567,47.367,48.733,4.0569683769991245489291738731236521256379048961203,-19.980154960204361686406147739987755188211201891612,absolute latency is platform-specific and diagnostic only
chuang,newly-signed,yune,11.264,4.299,4.361,4.396,4.5,4.396,11.264,162.01442195859502209816236334031170039544080018609,6.433,6.317,6.4,6.383,6.333,6.383,6.433,1.8363147063479499762545512110178882380876998575273,-31.129562901456995143349522168259439135202882657058,absolute latency is platform-specific and diagnostic only
chuang,newly-signed,librime-1.17.0,20.91,27.18,25.465,25.826,25.785,25.785,27.18,29.985652797704447632711621233859397417503586800574,36.5,37.583,37.933,36.167,36.4,36.5,37.933,4.8829043050294467332098321674454613321536207039566,-29.356164383561643835616438356164383561643835616438,absolute latency is platform-specific and diagnostic only
b,newly-signed,yune,5,4.417,4.375,4.417,5.208,4.417,5.208,19.04,6.4,6.4,6.4,6.2,6.3,6.4,6.4,3.2258064516129032258064516129032258064516129032258,-30.984375,absolute latency is platform-specific and diagnostic only
b,newly-signed,librime-1.17.0,10.041,13.125,15.834,13.125,13.167,13.125,15.834,57.693456827009262025694651927098894532417089931282,16.8,17.4,16.7,16.5,16.6,16.7,17.4,5.4545454545454545454545454545454545454545454545455,-21.407185628742514970059880239520958083832335329341,absolute latency is platform-specific and diagnostic only
ceshi,newly-signed,yune,4.342,4.45,4.383,4.433,4.558,4.433,4.558,4.9746660525103638876093965914325195762321510824505,6.5,6.38,6.42,6.4,6.38,6.4,6.5,1.880877742946708463949843260188087774294670846395,-30.734375,absolute latency is platform-specific and diagnostic only
ceshi,newly-signed,librime-1.17.0,33.125,36.958,43.308,33.892,34.475,34.475,43.308,30.741132075471698113207547169811320754716981132075,44.52,45.22,44.92,43.92,44.46,44.52,45.22,2.959927140255009107468123861566484517304189435337,-22.562893081761006289308176100628930817610062893082,absolute latency is platform-specific and diagnostic only
zhongdengchangdu,newly-signed,yune,4.448,4.487,4.404,4.424,4.492,4.448,4.492,1.9981834695731153496821071752951861943687556766576,6.519,6.4,6.444,6.431,6.425,6.431,6.519,1.859375,-30.835017882133416264966568185352200279894262167626,absolute latency is platform-specific and diagnostic only
zhongdengchangdu,newly-signed,librime-1.17.0,199.474,201.818,215.906,198.414,198.44,199.474,215.906,8.8159101676293003517896922596187769008235305976393,344.688,351.425,343.538,342.062,344.062,344.062,351.425,2.7372230765182920055428548040998415491928363863861,-42.023821288023670152472519487766739715516389487941,absolute latency is platform-specific and diagnostic only
dazisudu,newly-signed,yune,4.349,4.385,4.37,4.333,5.104,4.37,5.104,17.793676436648972997922917147472882529425340410801,6.55,6.475,6.425,6.388,6.388,6.425,6.55,2.536005009392611145898559799624295554164057608015,-31.984435797665369649805447470817120622568093385214,absolute latency is platform-specific and diagnostic only
dazisudu,newly-signed,librime-1.17.0,27.135,27.969,29.943,26.812,27.328,27.328,29.943,11.677607041623153811726092794271221840966731314337,44.5,46.2,45.3,43.562,44.5,44.5,46.2,6.0557366512097699830127175060832835957944997933979,-38.588764044943820224719101123595505617977528089888,absolute latency is platform-specific and diagnostic only
