kind,initialized,verdict,steps,failedSteps,maxObservedWasmBytes,url
clean-jyutping,true,pass,1,,936509440,http://127.0.0.1:54366/?benchmark=m46-jyutping-memory&scenario=clean-jyutping
schema-switch,true,candidate-missing,3,jyutping-nei-after-switch,936509440,http://127.0.0.1:54366/?benchmark=m46-jyutping-memory&scenario=schema-switch
