kind,workload,input,metric,unit,run1_observed,run2_observed,run3_observed,run4_observed,run5_observed,median_observed,worst_observed,spread_pct,ceiling,individual_failures,verdict
latency_ratio,key_sequence_process_with_context,n,yune_librime_median_ratio,x,0.198,0.199,0.203,0.205,0.205,0.203,0.205,3.5,3.006,0,pass
latency_ratio,key_sequence_process_with_context,ni,yune_librime_median_ratio,x,0.239,0.245,0.246,0.244,0.242,0.244,0.246,2.9,2.666,0,pass
latency_ratio,key_sequence_process_with_context,hao,yune_librime_median_ratio,x,0.277,0.277,0.286,0.28,0.277,0.277,0.286,3.2,1.844,0,pass
latency_ratio,key_sequence_process_with_context,ceshiyixiachangjushuruxingnengzenyang,yune_librime_median_ratio,x,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0,2.339,0,pass
latency_ratio,key_sequence_process_with_context,zhegeyinqingqishiyinggaizhichichaochangjuzishurucainengyong,yune_librime_median_ratio,x,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0,1.748,0,pass
memory_peak,,,track_a_peak_working_set_bytes,bytes,153849856,153939968,154001408,154157056,153927680,153939968,154157056,0.2,195028378,0,pass
latency_ratio,key_sequence_process_with_context,zhongguo,yune_librime_median_ratio,x,0.034,0.034,0.035,0.034,0.035,0.034,0.035,2.9,0.323,0,pass
latency_ratio,key_sequence_process_with_context,cszysmsrsd,yune_librime_median_ratio,x,0.005,0.005,0.004,0.004,0.005,0.005,0.005,25,0.474,0,pass
latency_ratio,key_sequence_process_with_context,zybfshmsru,yune_librime_median_ratio,x,0.007,0.006,0.006,0.006,0.006,0.006,0.007,16.7,0.695,0,pass
latency_ratio,startup_warm_shared_assets_runtime_ready,,yune_librime_median_ratio,x,0.84,0.877,0.91,0.357,0.877,0.877,0.91,154.9,1.091,0,pass
latency_absolute_us,session_create_select_destroy,,median_us,us,23643.2,23521.1,23249.4,23579.2,23578.1,23578.1,23643.2,1.7,25470.280,0,pass
latency_absolute_us,track-b-product/key_sequence_process_with_context,neigojangingkeisatjinggoiziwunciucoenggeoizisyujapsinhojijung,median_us,us,11.328,11.346,11.539,11.562,11.344,11.346,11.562,2.1,347.975,0,pass
memory_absolute_bytes,track-b-product/key_sequence_process_with_context,neigojangingkeisatjinggoiziwunciucoenggeoizisyujapsinhojijung,median_working_set_bytes,bytes,66723840,66813952,66916352,66564096,64860160,66723840,66916352,3.2,88012390,0,pass
memory_absolute_bytes,track-b-product/key_sequence_process_with_context,neigojangingkeisatjinggoiziwunciucoenggeoizisyujapsinhojijung,max_peak_working_set_bytes,bytes,254169088,254107648,254136320,253546496,254308352,254136320,254308352,0.3,562033050,0,pass
memory_absolute_bytes,track-b-product/key_sequence_process_with_context,neigojangingkeisatjinggoiziwunciucoenggeoizisyujapsinhojijung,median_private_bytes,bytes,30318592,30543872,30445568,30343168,28180480,30343168,30543872,8.4,39460045,0,pass
latency_absolute_us,track-b-product/session_create_select_destroy,,median_us,us,17110.5,16704.8,17142.2,17906.3,16693.8,17110.5,17906.3,7.3,39289.800,0,pass
memory_absolute_bytes,track-b-product/session_create_select_destroy,,median_working_set_bytes,bytes,63655936,63979520,64577536,63627264,64045056,63979520,64577536,1.5,66872115,0,pass
memory_absolute_bytes,track-b-product/session_create_select_destroy,,max_peak_working_set_bytes,bytes,254169088,254107648,254136320,253546496,254308352,254136320,254308352,0.3,562033050,0,pass
memory_absolute_bytes,track-b-product/session_create_select_destroy,,median_private_bytes,bytes,29589504,28508160,31543296,30638080,29589504,29589504,31543296,10.6,32084378,0,pass
latency_absolute_us,track-b-product/startup_warm_shared_assets_runtime_ready,,median_us,us,16929.6,16961.1,17124.9,18239.5,16432.9,16961.1,18239.5,11,38825.050,0,pass
memory_absolute_bytes,track-b-product/startup_warm_shared_assets_runtime_ready,,median_working_set_bytes,bytes,63012864,63635456,63971328,63500288,63291392,63500288,63971328,1.5,86196634,0,pass
memory_absolute_bytes,track-b-product/startup_warm_shared_assets_runtime_ready,,max_peak_working_set_bytes,bytes,254169088,254107648,254136320,253546496,254308352,254136320,254308352,0.3,562033050,0,pass
memory_absolute_bytes,track-b-product/startup_warm_shared_assets_runtime_ready,,median_private_bytes,bytes,29106176,28127232,29818880,30588928,28860416,29106176,30588928,8.8,37865062,0,pass
latency_ratio,key_sequence_process_with_context,zh,yune_librime_median_ratio,x,0.087,0.088,0.086,0.085,0.087,0.087,0.088,3.5,1.047,0,pass
latency_ratio,key_sequence_process_with_context,j,yune_librime_median_ratio,x,0.366,0.368,0.366,0.348,0.366,0.366,0.368,5.7,4.372,0,pass
latency_ratio,key_sequence_process_with_context,yi,yune_librime_median_ratio,x,0.399,0.394,0.392,0.38,0.392,0.392,0.399,5,6.098,0,pass
latency_ratio,key_sequence_process_with_context,che,yune_librime_median_ratio,x,0.121,0.121,0.123,0.117,0.121,0.121,0.123,5.1,1.160,0,pass
