"relative_path","bytes","sha256"
"binaries/rime.dll","3739136","86b4c7357d4c6d293ce5589b234d8859ca2ac30923a03bedfa3926eeaf97fb0b"
"binaries/rime_deployer.exe","459776","3abb72b5bb56fcafcfe925d533ae5f832c68d5a0bc9952fd0eea0682fb1ab071"
"commands.txt","1106","3fc61b083a5e7ffd8cf4737609e4fef5f67b231fc3ebfee562fad2b5fd4e0281"
"finalize-evidence.ps1","2374","6d7eb4918e30aeb70e868897f79e216b98f95d2c1debcd091e5dc4f3f943274e"
"logs/capture.stderr.log","0","e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855"
"logs/capture.stdout.log","31","e606f421ae43344ad0eb6a754aef1ea12b9cae6118acc1e6a0907e158abaaf82"
"logs/decode-prism.log","116","1f83a71607e20d75ccda073555523b22ff47a601e8d4ed22f6f645c629b2ff9c"
"logs/decode-prism-verify.log","118","2218984bd33a1ae53e80145926f878fc4420653d36cfbb9f73a40c1460316250"
"logs/decoder-self-test.log","88","54ceda1c3135fdf9e236eac2d9e46991ce4f0b6edbd03d607df87f22be89f5d0"
"logs/deploy.stderr.log","0","e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855"
"logs/deploy.stdout.log","0","e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855"
"output/capture.json","2724","f5e1cf58cca162c03eadf71473b80376e440c044958ead3ca25e27e36565eee9"
"output/provenance.json","3175","fb54978be7ec16b541d0143aceaf179ea7cb2169a961bd63ae20c449d46e0918"
"prism-observation.json","1678","dbc875f023140847413e9b7b21b33378f2fae988f6061e047d4625d2143f2e1a"
"probe/decode-prism.py","13491","3cc69624efe65d6ab518768d8556fb2d331ea2b2405d6e4120c051757300bdb7"
"probe/oracle-rime-probe.cs","44846","94f7deb7c3632a6c3c918536295b03d88aa8a80bbbbc9d8a26e896fb70bf07e7"
"provenance/m58-phase0-binary-provenance.README.md","2171","639668b170046bb3ef5b79bac5d6828774047858580e413e721e6a31e6f66dda"
"README.md","3646","f2a97aee26b76451acf9f31ff6e5b30bb16efb010e12307ddfc996cb98b41656"
"run-capture.ps1","5892","01f532a1d2c1d471cfab113e752db24cee4a0bbcb770b7da87cbd9b5eb9454eb"
"source/shared/correction_oracle.dict.yaml","113","b9cbf568a907d9044208ddc40b105ba941d274ed1ae9da34eff89dee3b086cab"
"source/shared/correction_oracle.schema.yaml","684","2da970f1b255b5dae8796e95a6707bb83109b08178b8fdd3f851e583b4107e3d"
"source/shared/default.custom.yaml","54","b2ba676d5a84c069c62b0a5e0d52a6f5ca77dd7d3656fb550e1a5fe823c83a97"
"source/shared/default.yaml","43","727cc21d5e32e5019f53822c27300ca0722c5a2ecf78c0c41f20be1b52263745"
"source/user/build/correction_oracle.prism.bin","1408","d563af9c88e983728107cc15e472f1f1fac41571463416c2668a08d7bfc18c8e"
"source/user/build/correction_oracle.reverse.bin","8248","d4a6a3007e45923e99bf95042710a1b46d3af44dbb559a0c6175e593595a79da"
"source/user/build/correction_oracle.schema.yaml","899","ef05ec4b64e258a922369ee1826d22a308e07502a978c412ec71734c86be5073"
"source/user/build/correction_oracle.table.bin","4220","00f918526c4384ed17f3b3fd51031eebd7c1451bcc82e41bcd013793da2c77cf"
"source/user/build/default.yaml","154","644f0ab8b347a6e3c42a49bbce72015b2758ebcc3690358199cce907d33ba0b0"
"source/user/correction_oracle.userdb/000005.ldb","230","f76f9a87b186f1dacc5cb4485fe7da740867af100b12975484936ed510482512"
"source/user/correction_oracle.userdb/000006.log","0","e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855"
"source/user/correction_oracle.userdb/CURRENT","16","0861415cada612ea5834d56e2cf1055d3e63979b69eb71d32ae9ae394d8306cd"
"source/user/correction_oracle.userdb/LOCK","0","e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855"
"source/user/correction_oracle.userdb/LOG","274","027eae3103670d75105d04cf68901ef1dc8ce04ff90e1a2e55f80f6b558fe930"
"source/user/correction_oracle.userdb/LOG.old","179","82823bffb25ea49cf611ce7b50e2a2587cee4efc37af202832b3ab7036aeebad"
"source/user/correction_oracle.userdb/MANIFEST-000004","91","75c20420e28d86f16e07a1f675e4b89e35b8bb86064f6ea1ea92298acbe86a8a"
"source/user/user.yaml","142","f7efe4a0af48af95322f7978183bbb875cf608365ff6b26fd1315e54b7186474"
