"engine","track","schema_id","workload","input","samples","operations","median_us","p95_us","p99_us","max_us","median_working_set_bytes","max_peak_working_set_bytes"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","hao","50","150","12.067","13.333","35.867","35.867","12115968","14217216"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","ni","50","100","14.900","15.750","18.500","18.500","12328960","14098432"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","zhongguo","50","400","185.363","193.000","195.037","195.037","13156352","14241792"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","20","20","24145.200","27405.500","27405.500","27405.500","11018240","14098432"
"librime-1.17.0","track-a-comparison","luna_pinyin","startup_warm_shared_assets_runtime_ready","","9","9","24190.100","43725.300","43725.300","43725.300","11472896","14008320"
"yune","track-a-comparison","luna_pinyin","key_sequence_process_with_context","hao","50","150","4051.933","4236.933","4373.867","4373.867","160260096","171872256"
"yune","track-a-comparison","luna_pinyin","key_sequence_process_with_context","ni","50","100","3315.700","3753.750","3978.950","3978.950","160178176","171872256"
"yune","track-a-comparison","luna_pinyin","key_sequence_process_with_context","zhongguo","50","400","4366.988","4569.387","4592.062","4592.062","160296960","171872256"
"yune","track-a-comparison","luna_pinyin","session_create_select_destroy","","20","20","47310.800","48649.600","48649.600","48649.600","159965184","171872256"
"yune","track-a-comparison","luna_pinyin","startup_warm_shared_assets_runtime_ready","","9","9","47093.900","799387.800","799387.800","799387.800","159850496","171872256"
"yune","track-b-product","jyut6ping3_mobile","key_sequence_process_with_context","hai","50","150","11540.267","12011.333","12071.867","12071.867","859938816","1048989696"
"yune","track-b-product","jyut6ping3_mobile","key_sequence_process_with_context","jigaajiusihaa","50","650","23232.015","24027.054","24309.592","24309.592","861966336","1048989696"
"yune","track-b-product","jyut6ping3_mobile","key_sequence_process_with_context","loengjathau","50","550","10235.318","10756.427","10843.573","10843.573","862494720","1048989696"
"yune","track-b-product","jyut6ping3_mobile","key_sequence_process_with_context","ngohaig","50","350","9284.986","9695.829","10098.686","10098.686","860688384","1048989696"
"yune","track-b-product","jyut6ping3_mobile","session_create_select_destroy","","20","20","236053.200","241730.000","241730.000","241730.000","846770176","1048989696"
"yune","track-b-product","jyut6ping3_mobile","startup_warm_shared_assets_runtime_ready","","9","9","193844.300","5819807.100","5819807.100","5819807.100","859574272","1048989696"
