event_index,phase,working_set_bytes,working_set_mb,private_bytes,private_mb,peak_working_set_bytes,peak_working_set_mb,allocator_live_bytes,allocator_live_mb,allocator_high_water_bytes,allocator_high_water_mb,named_owner_bytes,clean_mmap_file_backed_estimate_bytes,conclusion
0,"m47:phase:baseline_process_start",4714496,4.5,802816,0.8,4714496,4.5,4157,0,9233,0,,,""
1,"m47:phase:after_temp_schema_copy",5885952,5.6,1052672,1,5885952,5.6,5713,0,26423,0,,,""
2,"m47:phase:after_setup",6070272,5.8,1052672,1,6070272,5.8,7249,0,26423,0,,,""
3,"m47:phase:after_initialize",6078464,5.8,1052672,1,6078464,5.8,7327,0,26423,0,,,""
4,"m47:deploy_workspace:start",6107136,5.8,1052672,1,6107136,5.8,7380,0,26423,0,,,""
5,"m47:deploy_workspace:after_installation_update",6569984,6.3,1024000,1,6602752,6.3,8054,0,61366,0.1,,,""
6,"m47:deploy:workspace_update:start",6578176,6.3,1024000,1,6602752,6.3,8087,0,61366,0.1,,,""
7,"m47:deploy:workspace_update:after_default_config",7192576,6.9,1150976,1.1,7340032,7,8135,0,391546,0.4,,,""
8,"m47:deploy:workspace_update:after_prebuilt_link_sync",7204864,6.9,1150976,1.1,7340032,7,8187,0,391546,0.4,,,""
9,"m47:deploy:workspace_update:after_schema_list:schema_count=1",7430144,7.1,1318912,1.3,7528448,7.2,112441,0.1,391546,0.4,,,""
10,"m47:deploy:stroke:after_staging_metadata:table=false:poet=false:prism=false:reverse=false",12513280,11.9,6049792,5.8,12513280,11.9,4250211,4.1,4250301,4.1,,,""
11,"m47:deploy:stroke:after_prebuilt_metadata:table_bytes=4548476:poet_bytes=0:prism_bytes=3501372:reverse_bytes=1498516",12599296,12,6049792,5.8,12599296,12,4250387,4.1,4250531,4.1,,,""
12,"m47:deploy:stroke:after_rebuild_plan:table=Rebuilt:prism=Rebuilt:reverse=Rebuilt",12660736,12.1,6115328,5.8,12701696,12.1,4250493,4.1,4424882,4.2,,,""
13,"m47:deploy:stroke:after_rebuild_execute",201281536,192,221474816,211.2,511193088,487.5,160437691,153,458025334,436.8,,,""
14,"m47:deploy:luna_pinyin:after_staging_metadata:table=false:poet=false:prism=false:reverse=false",13680640,13,5890048,5.6,511193088,487.5,1623016,1.5,458025334,436.8,,,""
15,"m47:deploy:luna_pinyin:after_prebuilt_metadata:table_bytes=4640486:poet_bytes=0:prism_bytes=1642925:reverse_bytes=1263091",13680640,13,5890048,5.6,511193088,487.5,1623192,1.5,458025334,436.8,,,""
16,"m47:deploy:luna_pinyin:after_rebuild_plan:table=Rebuilt:prism=ReusedFresh:reverse=ReusedFresh",13594624,13,5742592,5.5,511193088,487.5,1623298,1.5,458025334,436.8,,,""
17,"m47:deploy:luna_pinyin:after_rebuild_execute",132726784,126.6,152375296,145.3,511193088,487.5,107987132,103,458025334,436.8,,,""
18,"m47:deploy:workspace_update:after_schema:luna_pinyin",12591104,12,6545408,6.2,511193088,487.5,115526,0.1,458025334,436.8,,,""
19,"m47:deploy_workspace:after_workspace_maintenance",12439552,11.9,4825088,4.6,511193088,487.5,12137,0,458025334,436.8,,,""
20,"m47:phase:after_deploy",12439552,11.9,4825088,4.6,511193088,487.5,12189,0,458025334,436.8,,,""
21,"m47:translator:table_translator@custom_phrase:dictionary:<none>:before_dictionary_load",16289792,15.5,7462912,7.1,511193088,487.5,2214155,2.1,458025334,436.8,,,""
22,"m47:translator:script_translator@translator:dictionary:luna_pinyin:before_dictionary_load",16908288,16.1,7819264,7.5,511193088,487.5,2698186,2.6,458025334,436.8,,,""
