"engine","track","schema_id","input","iterations","table_path","prism_path","selected_storage","table_mapping_mode","prism_mapping_mode","raw_prism_median_us","raw_prism_code_count","raw_table_median_us","raw_table_lookup_codes","raw_table_candidate_count","translator_median_us","real_prism_lookup_median_us","candidate_materialization_median_us","candidate_sort_median_us","filter_pipeline_median_us","ranker_pipeline_median_us","context_export_median_us","abi_c_string_allocation_median_us","free_context_median_us","rsmarisa_exact_lookup_calls_per_op","rsmarisa_prefix_lookup_calls_per_op","owned_candidates_per_op","context_page_candidates_per_op","abi_c_string_allocations_per_op","abi_c_string_bytes_per_op"
"yune","track-a-comparison","luna_pinyin","n","80","C:\y4b-perf-work\run1\track-a-yune\user\build\luna_pinyin.table.bin","C:\y4b-perf-work\run1\track-a-yune\user\build\luna_pinyin.prism.bin","rsmarisa_byte_backed","mmap","mmap","0.200","26","150.200","n|na|nai|nan|nang|nao|ne|nei|nen|neng|ni|nia|nian|niang|niao|nie|nin|ning|niu|nong|nou|nu|nuan|nun|nuo|nv|nve","1260","89.100","0.500","0.300","0.000","0.600","0.000","1.400","0.400","0.100","1.000","1.000","7.000","5.000","11.000","38.000"
"yune","track-a-comparison","luna_pinyin","ni","80","C:\y4b-perf-work\run1\track-a-yune\user\build\luna_pinyin.table.bin","C:\y4b-perf-work\run1\track-a-yune\user\build\luna_pinyin.prism.bin","rsmarisa_byte_backed","mmap","mmap","0.000","1","17.700","ni","182","47.650","0.300","0.300","0.050","0.550","0.000","1.400","0.400","0.100","1.000","0.500","7.000","5.000","11.500","40.000"
"yune","track-a-comparison","luna_pinyin","hao","80","C:\y4b-perf-work\run1\track-a-yune\user\build\luna_pinyin.table.bin","C:\y4b-perf-work\run1\track-a-yune\user\build\luna_pinyin.prism.bin","rsmarisa_byte_backed","mmap","mmap","0.100","1","13.800","hao","139","24.900","0.200","0.267","0.033","0.533","0.033","1.433","0.433","0.133","1.000","0.333","7.000","5.000","11.667","42.667"
"yune","track-a-comparison","luna_pinyin","zhongguo","80","C:\y4b-perf-work\run1\track-a-yune\user\build\luna_pinyin.table.bin","C:\y4b-perf-work\run1\track-a-yune\user\build\luna_pinyin.prism.bin","rsmarisa_byte_backed","mmap","mmap","0.000","0","2.200","zhongguo","4","456.850","0.700","0.812","0.025","1.825","0.025","1.675","0.463","0.188","1.000","0.875","20.500","5.000","11.500","77.625"
"yune","track-a-comparison","luna_pinyin","ceshiyixiachangjushuruxingnengzenyang","80","C:\y4b-perf-work\run1\track-a-yune\user\build\luna_pinyin.table.bin","C:\y4b-perf-work\run1\track-a-yune\user\build\luna_pinyin.prism.bin","rsmarisa_byte_backed","mmap","mmap","0.000","0","31.200","ceshiyixiachangjushuruxingnengzenyang","0","57.930","0.049","0.770","0.032","1.465","0.022","1.162","0.332","0.138","1.000","0.973","20.973","5.000","8.108","100.649"
"yune","track-a-comparison","luna_pinyin","zhegeyinqingqishiyinggaizhichichaochangjuzishurucainengyong","80","C:\y4b-perf-work\run1\track-a-yune\user\build\luna_pinyin.table.bin","C:\y4b-perf-work\run1\track-a-yune\user\build\luna_pinyin.prism.bin","rsmarisa_byte_backed","mmap","mmap","0.000","0","38.900","zhegeyinqingqishiyinggaizhichichaochangjuzishurucainengyong","0","82.075","0.071","0.751","0.032","1.429","0.022","1.120","0.308","0.134","1.000","0.983","20.949","5.000","7.492","110.966"
"yune","track-a-comparison","luna_pinyin","cszysmsrsd","80","C:\y4b-perf-work\run1\track-a-yune\user\build\luna_pinyin.table.bin","C:\y4b-perf-work\run1\track-a-yune\user\build\luna_pinyin.prism.bin","rsmarisa_byte_backed","mmap","mmap","0.000","0","0.800","cszysmsrsd","0","17124.110","5.070","1.060","0.160","4.640","0.050","4.470","0.640","0.390","1.000","1.000","20.900","5.000","7.400","87.200"
"yune","track-a-comparison","luna_pinyin","zybfshmsru","80","C:\y4b-perf-work\run1\track-a-yune\user\build\luna_pinyin.table.bin","C:\y4b-perf-work\run1\track-a-yune\user\build\luna_pinyin.prism.bin","rsmarisa_byte_backed","mmap","mmap","0.000","0","0.800","zybfshmsru","0","9409.540","4.670","0.970","0.140","4.040","0.040","3.960","0.600","0.350","1.000","1.000","20.900","5.000","7.400","83.000"
"yune","track-a-comparison","luna_pinyin","zh","80","C:\y4b-perf-work\run1\track-a-yune\user\build\luna_pinyin.table.bin","C:\y4b-perf-work\run1\track-a-yune\user\build\luna_pinyin.prism.bin","rsmarisa_byte_backed","mmap","mmap","0.200","20","297.400","zh|zha|zhai|zhan|zhang|zhao|zhe|zhei|zhen|zheng|zhi|zhong|zhou|zhu|zhua|zhuai|zhuan|zhuang|zhui|zhun|zhuo","2776","370.300","0.950","0.750","0.050","1.600","0.000","1.650","0.400","0.150","1.000","1.000","20.000","5.000","11.000","43.500"
"yune","track-a-comparison","luna_pinyin","j","80","C:\y4b-perf-work\run1\track-a-yune\user\build\luna_pinyin.table.bin","C:\y4b-perf-work\run1\track-a-yune\user\build\luna_pinyin.prism.bin","rsmarisa_byte_backed","mmap","mmap","0.200","14","389.100","j|ji|jia|jian|jiang|jiao|jie|jin|jing|jiong|jiu|ju|juan|jue|jun","3766","77.300","0.400","0.700","0.000","1.300","0.000","1.400","0.400","0.100","1.000","1.000","20.000","5.000","11.000","38.000"
"yune","track-a-comparison","luna_pinyin","yi","80","C:\y4b-perf-work\run1\track-a-yune\user\build\luna_pinyin.table.bin","C:\y4b-perf-work\run1\track-a-yune\user\build\luna_pinyin.prism.bin","rsmarisa_byte_backed","mmap","mmap","0.000","1","82.000","yi","841","42.250","0.250","0.700","0.050","1.300","0.000","1.450","0.400","0.100","1.000","0.500","20.000","5.000","11.500","40.000"
"yune","track-a-comparison","luna_pinyin","che","80","C:\y4b-perf-work\run1\track-a-yune\user\build\luna_pinyin.table.bin","C:\y4b-perf-work\run1\track-a-yune\user\build\luna_pinyin.prism.bin","rsmarisa_byte_backed","mmap","mmap","0.000","1","8.500","che","83","240.467","0.667","0.767","0.033","1.500","0.033","1.533","0.433","0.133","1.000","0.667","20.000","5.000","11.333","43.000"
"yune","track-a-comparison","luna_pinyin","chuang","80","C:\y4b-perf-work\run1\track-a-yune\user\build\luna_pinyin.table.bin","C:\y4b-perf-work\run1\track-a-yune\user\build\luna_pinyin.prism.bin","rsmarisa_byte_backed","mmap","mmap","0.100","1","8.700","chuang","70","133.633","0.400","0.800","0.033","1.467","0.017","1.550","0.450","0.167","1.000","0.500","20.000","5.000","11.667","55.500"
"yune","track-a-comparison","luna_pinyin","b","80","C:\y4b-perf-work\run1\track-a-yune\user\build\luna_pinyin.table.bin","C:\y4b-perf-work\run1\track-a-yune\user\build\luna_pinyin.prism.bin","rsmarisa_byte_backed","mmap","mmap","0.200","17","221.200","b|ba|bai|ban|bang|bao|bei|ben|beng|bi|bian|biang|biao|bie|bin|bing|bo|bu","2078","75.100","0.500","0.700","0.000","1.300","0.000","1.400","0.300","0.100","1.000","1.000","20.000","5.000","11.000","38.000"
"yune","track-a-comparison","luna_pinyin","ceshi","80","C:\y4b-perf-work\run1\track-a-yune\user\build\luna_pinyin.table.bin","C:\y4b-perf-work\run1\track-a-yune\user\build\luna_pinyin.prism.bin","rsmarisa_byte_backed","mmap","mmap","0.000","0","2.100","ceshi","6","46.120","0.180","0.780","0.020","1.440","0.020","1.520","0.460","0.120","1.000","0.800","20.600","5.000","11.800","67.400"
"yune","track-a-comparison","luna_pinyin","zhongdengchangdu","80","C:\y4b-perf-work\run1\track-a-yune\user\build\luna_pinyin.table.bin","C:\y4b-perf-work\run1\track-a-yune\user\build\luna_pinyin.prism.bin","rsmarisa_byte_backed","mmap","mmap","0.000","0","5.700","zhongdengchangdu","0","257.156","0.362","0.838","0.031","1.581","0.025","1.438","0.406","0.169","1.000","0.938","21.062","5.000","9.688","80.812"
"yune","track-a-comparison","luna_pinyin","dazisudu","80","C:\y4b-perf-work\run1\track-a-yune\user\build\luna_pinyin.table.bin","C:\y4b-perf-work\run1\track-a-yune\user\build\luna_pinyin.prism.bin","rsmarisa_byte_backed","mmap","mmap","0.000","0","2.900","dazisudu","1","42.800","0.100","0.762","0.037","1.438","0.025","1.363","0.400","0.125","1.000","0.875","20.750","5.000","10.375","66.500"
