engine,track,schema_id,dictionary_id,prism_id,source_path,table_path,prism_path,reverse_path,source_checksum,table_checksum,checksum_status,table_parse,prism_parse,reverse_parse,compiled_ready,selected_storage,table_format,table_mapping_mode,prism_mapping_mode,source_fallback,byte_source_len,stored_entries,table_heap_mirror_bytes,prism_heap_mirror_bytes,rsmarisa_probe_path,rsmarisa_status,rsmarisa_mapping_mode,rsmarisa_num_tries,rsmarisa_num_keys,rsmarisa_sample_key
yune,track-b-product,jyut6ping3_mobile,jyut6ping3,jyut6ping3_mobile,/Users/laufei/Documents/GitHub/yune/target/macos-performance-verification/native-inprocess/independent-run-3/track-b-yune-product/shared/jyut6ping3.dict.yaml,/Users/laufei/Documents/GitHub/yune/target/macos-performance-verification/native-inprocess/independent-run-3/track-b-yune-product/user/build/jyut6ping3.table.bin,/Users/laufei/Documents/GitHub/yune/target/macos-performance-verification/native-inprocess/independent-run-3/track-b-yune-product/user/build/jyut6ping3_mobile.prism.bin,/Users/laufei/Documents/GitHub/yune/target/macos-performance-verification/native-inprocess/independent-run-3/track-b-yune-product/user/build/jyut6ping3.reverse.bin,0xf6589c0c,0xf6589c0c,fresh,ok,ok,ok,true,byte_backed,yune_no_marisa_compact,mmap,mmap,false,15248382,127143,0,0,missing,missing_string_table,unavailable,unavailable,unavailable,
yune,track-b-product,jyut6ping3_mobile,jyut6ping3_scolar,jyut6ping3_scolar,/Users/laufei/Documents/GitHub/yune/target/macos-performance-verification/native-inprocess/independent-run-3/track-b-yune-product/shared/jyut6ping3_scolar.dict.yaml,/Users/laufei/Documents/GitHub/yune/target/macos-performance-verification/native-inprocess/independent-run-3/track-b-yune-product/user/build/jyut6ping3_scolar.table.bin,/Users/laufei/Documents/GitHub/yune/target/macos-performance-verification/native-inprocess/independent-run-3/track-b-yune-product/user/build/jyut6ping3_scolar.prism.bin,/Users/laufei/Documents/GitHub/yune/target/macos-performance-verification/native-inprocess/independent-run-3/track-b-yune-product/user/build/jyut6ping3_scolar.reverse.bin,0x822bccba,0x822bccba,fresh,ok,ok,ok,true,byte_backed,yune_no_marisa_compact,mmap,mmap,false,12478842,0,0,0,missing,missing_string_table,unavailable,unavailable,unavailable,
