"engine","track","schema_id","workload","input","samples","operations","median_us","p95_us","p99_us","max_us","median_working_set_bytes","max_peak_working_set_bytes"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","hao","50","150","11.867","12.867","34.533","34.533","12337152","14221312"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","ni","50","100","14.600","15.750","31.900","31.900","12324864","14127104"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","zhongguo","50","400","181.375","191.913","261.375","261.375","13291520","14262272"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","20","20","28467.900","80210.400","80210.400","80210.400","11137024","14127104"
"librime-1.17.0","track-a-comparison","luna_pinyin","startup_warm_shared_assets_runtime_ready","","9","9","28613.300","57479.000","57479.000","57479.000","11554816","14045184"
"yune","track-a-comparison","luna_pinyin","key_sequence_process_with_context","hao","50","150","34.333","35.533","36.400","36.400","111493120","161980416"
"yune","track-a-comparison","luna_pinyin","key_sequence_process_with_context","ni","50","100","50.050","51.700","52.200","52.200","111296512","161980416"
"yune","track-a-comparison","luna_pinyin","key_sequence_process_with_context","zhongguo","50","400","57.012","57.750","57.850","57.850","111714304","161980416"
"yune","track-a-comparison","luna_pinyin","session_create_select_destroy","","20","20","23566.100","24160.600","24160.600","24160.600","107368448","161980416"
"yune","track-a-comparison","luna_pinyin","startup_warm_shared_assets_runtime_ready","","9","9","23195.800","1504862.800","1504862.800","1504862.800","110989312","161980416"
"yune","track-b-product","jyut6ping3_mobile","key_sequence_process_with_context","hai","50","150","6812.067","10444.167","11144.667","11144.667","845004800","1049137152"
"yune","track-b-product","jyut6ping3_mobile","key_sequence_process_with_context","jigaajiusihaa","50","650","20068.392","23858.523","24384.846","24384.846","846680064","1049137152"
"yune","track-b-product","jyut6ping3_mobile","key_sequence_process_with_context","loengjathau","50","550","7580.736","9827.727","10456.591","10456.591","847122432","1049137152"
"yune","track-b-product","jyut6ping3_mobile","key_sequence_process_with_context","ngohaig","50","350","7778.129","9721.271","11896.443","11896.443","845328384","1049137152"
"yune","track-b-product","jyut6ping3_mobile","session_create_select_destroy","","20","20","193623.200","239016.700","239016.700","239016.700","830988288","1049137152"
"yune","track-b-product","jyut6ping3_mobile","startup_warm_shared_assets_runtime_ready","","9","9","153803.600","5514099.200","5514099.200","5514099.200","843788288","1049137152"
