"engine","workload","input","sample_index","operation_count","total_us","us_per_operation","before_working_set_bytes","after_ready_working_set_bytes","after_finalize_working_set_bytes","peak_working_set_bytes"
"yune","key_sequence_process_with_context","zhongguo","22","8","31954.500","3994.313","241926144","241926144","0","262823936"
"yune","key_sequence_process_with_context","zhongguo","23","8","30820.100","3852.513","241926144","241926144","0","262823936"
"yune","key_sequence_process_with_context","zhongguo","24","8","30224.000","3778.000","241926144","241926144","0","262823936"
"librime-1.17.0","startup_warm_shared_assets_runtime_ready","","0","1","82572.000","82572.000","14606336","19320832","18681856","21004288"
"librime-1.17.0","startup_warm_shared_assets_runtime_ready","","1","1","33710.800","33710.800","18808832","19734528","18923520","22171648"
"librime-1.17.0","startup_warm_shared_assets_runtime_ready","","2","1","26004.700","26004.700","18923520","19841024","18825216","22208512"
"librime-1.17.0","startup_warm_shared_assets_runtime_ready","","3","1","31341.700","31341.700","18825216","19750912","18817024","22208512"
"librime-1.17.0","startup_warm_shared_assets_runtime_ready","","4","1","25231.400","25231.400","18817024","19812352","18956288","22208512"
"librime-1.17.0","startup_warm_shared_assets_runtime_ready","","5","1","31338.200","31338.200","18964480","19873792","18837504","22208512"
"librime-1.17.0","startup_warm_shared_assets_runtime_ready","","6","1","23840.000","23840.000","18837504","19906560","18837504","22237184"
"librime-1.17.0","startup_warm_shared_assets_runtime_ready","","7","1","26169.700","26169.700","18837504","19824640","18829312","22237184"
"librime-1.17.0","startup_warm_shared_assets_runtime_ready","","8","1","28763.300","28763.300","18829312","19824640","18984960","22249472"
"librime-1.17.0","session_create_select_destroy","","0","1","25139.300","25139.300","19034112","19025920","0","22274048"
"librime-1.17.0","session_create_select_destroy","","1","1","25096.200","25096.200","19025920","18968576","0","22274048"
"librime-1.17.0","session_create_select_destroy","","2","1","23996.700","23996.700","18968576","19050496","0","22315008"
"librime-1.17.0","session_create_select_destroy","","3","1","26479.800","26479.800","19050496","19177472","0","22315008"
"librime-1.17.0","session_create_select_destroy","","4","1","24437.900","24437.900","19177472","19148800","0","22315008"
"librime-1.17.0","session_create_select_destroy","","5","1","22497.600","22497.600","19148800","19210240","0","22315008"
"librime-1.17.0","session_create_select_destroy","","6","1","22500.200","22500.200","19210240","19116032","0","22315008"
"librime-1.17.0","session_create_select_destroy","","7","1","23045.700","23045.700","19116032","19238912","0","22315008"
"librime-1.17.0","session_create_select_destroy","","8","1","23405.000","23405.000","19247104","19116032","0","22315008"
"librime-1.17.0","key_sequence_process_with_context","ni","0","2","29.900","14.950","20283392","20283392","0","22319104"
"librime-1.17.0","key_sequence_process_with_context","ni","1","2","29.700","14.850","20283392","20283392","0","22319104"
"librime-1.17.0","key_sequence_process_with_context","ni","2","2","36.400","18.200","20283392","20283392","0","22319104"
"librime-1.17.0","key_sequence_process_with_context","ni","3","2","29.500","14.750","20283392","20283392","0","22319104"
"librime-1.17.0","key_sequence_process_with_context","ni","4","2","29.300","14.650","20283392","20283392","0","22319104"
"librime-1.17.0","key_sequence_process_with_context","ni","5","2","29.100","14.550","20283392","20283392","0","22319104"
"librime-1.17.0","key_sequence_process_with_context","ni","6","2","29.400","14.700","20283392","20283392","0","22319104"
"librime-1.17.0","key_sequence_process_with_context","ni","7","2","29.000","14.500","20283392","20283392","0","22319104"
"librime-1.17.0","key_sequence_process_with_context","ni","8","2","29.600","14.800","20283392","20283392","0","22319104"
"librime-1.17.0","key_sequence_process_with_context","ni","9","2","29.000","14.500","20283392","20283392","0","22319104"
"librime-1.17.0","key_sequence_process_with_context","ni","10","2","29.200","14.600","20283392","20283392","0","22319104"
"librime-1.17.0","key_sequence_process_with_context","ni","11","2","29.000","14.500","20283392","20283392","0","22319104"
"librime-1.17.0","key_sequence_process_with_context","ni","12","2","29.300","14.650","20283392","20283392","0","22319104"
"librime-1.17.0","key_sequence_process_with_context","ni","13","2","29.200","14.600","20283392","20283392","0","22319104"
"librime-1.17.0","key_sequence_process_with_context","ni","14","2","28.900","14.450","20283392","20283392","0","22319104"
"librime-1.17.0","key_sequence_process_with_context","ni","15","2","29.400","14.700","20283392","20283392","0","22319104"
"librime-1.17.0","key_sequence_process_with_context","ni","16","2","29.000","14.500","20283392","20283392","0","22319104"
"librime-1.17.0","key_sequence_process_with_context","ni","17","2","28.900","14.450","20283392","20283392","0","22319104"
"librime-1.17.0","key_sequence_process_with_context","ni","18","2","29.100","14.550","20283392","20283392","0","22319104"
"librime-1.17.0","key_sequence_process_with_context","ni","19","2","28.900","14.450","20283392","20283392","0","22319104"
"librime-1.17.0","key_sequence_process_with_context","ni","20","2","29.100","14.550","20283392","20283392","0","22319104"
"librime-1.17.0","key_sequence_process_with_context","ni","21","2","29.300","14.650","20283392","20283392","0","22319104"
"librime-1.17.0","key_sequence_process_with_context","ni","22","2","28.900","14.450","20283392","20283392","0","22319104"
"librime-1.17.0","key_sequence_process_with_context","ni","23","2","29.000","14.500","20283392","20283392","0","22319104"
"librime-1.17.0","key_sequence_process_with_context","ni","24","2","29.000","14.500","20283392","20283392","0","22319104"
"librime-1.17.0","key_sequence_process_with_context","hao","0","3","36.200","12.067","20283392","20283392","0","22396928"
"librime-1.17.0","key_sequence_process_with_context","hao","1","3","35.600","11.867","20291584","20291584","0","22396928"
"librime-1.17.0","key_sequence_process_with_context","hao","2","3","35.600","11.867","20291584","20291584","0","22396928"
"librime-1.17.0","key_sequence_process_with_context","hao","3","3","35.800","11.933","20291584","20291584","0","22396928"
"librime-1.17.0","key_sequence_process_with_context","hao","4","3","35.600","11.867","20291584","20291584","0","22396928"
