kind,workload,input,metric,unit,run1_observed,run2_observed,run3_observed,run4_observed,run5_observed,median_observed,worst_observed,spread_pct,ceiling,individual_failures,verdict
latency_ratio,key_sequence_process_with_context,n,yune_librime_median_ratio,x,0.213,0.217,0.212,0.216,0.21,0.213,0.217,3.3,3.006,0,pass
latency_ratio,key_sequence_process_with_context,ni,yune_librime_median_ratio,x,0.251,0.25,0.249,0.255,0.249,0.25,0.255,2.4,2.666,0,pass
latency_ratio,key_sequence_process_with_context,hao,yune_librime_median_ratio,x,0.29,0.284,0.291,0.291,0.29,0.29,0.291,2.5,1.844,0,pass
latency_ratio,key_sequence_process_with_context,ceshiyixiachangjushuruxingnengzenyang,yune_librime_median_ratio,x,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0,2.339,0,pass
latency_ratio,key_sequence_process_with_context,zhegeyinqingqishiyinggaizhichichaochangjuzishurucainengyong,yune_librime_median_ratio,x,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0,1.748,0,pass
memory_peak,,,track_a_peak_working_set_bytes,bytes,154132480,154124288,154161152,154374144,154173440,154161152,154374144,0.2,195028378,0,pass
latency_ratio,key_sequence_process_with_context,zhongguo,yune_librime_median_ratio,x,0.027,0.029,0.027,0.028,0.028,0.028,0.029,7.4,0.323,0,pass
latency_ratio,key_sequence_process_with_context,cszysmsrsd,yune_librime_median_ratio,x,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0,0.474,0,pass
latency_ratio,key_sequence_process_with_context,zybfshmsru,yune_librime_median_ratio,x,0.005,0.005,0.006,0.006,0.005,0.005,0.006,20,0.695,0,pass
latency_ratio,startup_warm_shared_assets_runtime_ready,,yune_librime_median_ratio,x,0.9,0.82,0.52,0.944,0.922,0.9,0.944,81.5,1.091,0,pass
latency_absolute_us,session_create_select_destroy,,median_us,us,23748.8,23229.9,23398.4,23945.1,23709.6,23709.6,23945.1,3.1,25470.280,0,pass
latency_absolute_us,track-b-product/key_sequence_process_with_context,neigojangingkeisatjinggoiziwunciucoenggeoizisyujapsinhojijung,median_us,us,7.392,7.659,7.418,7.405,7.451,7.418,7.659,3.6,347.975,0,pass
memory_absolute_bytes,track-b-product/key_sequence_process_with_context,neigojangingkeisatjinggoiziwunciucoenggeoizisyujapsinhojijung,median_working_set_bytes,bytes,64487424,66920448,67080192,66838528,66736128,66838528,67080192,4,88012390,0,pass
memory_absolute_bytes,track-b-product/key_sequence_process_with_context,neigojangingkeisatjinggoiziwunciucoenggeoizisyujapsinhojijung,max_peak_working_set_bytes,bytes,254623744,253759488,253558784,253427712,254042112,253759488,254623744,0.5,562033050,0,pass
memory_absolute_bytes,track-b-product/key_sequence_process_with_context,neigojangingkeisatjinggoiziwunciucoenggeoizisyujapsinhojijung,median_private_bytes,bytes,27676672,30576640,30384128,30216192,30064640,30216192,30576640,10.5,39460045,0,pass
latency_absolute_us,track-b-product/session_create_select_destroy,,median_us,us,16935.3,17844.8,17400.3,16921.8,18169,17400.3,18169,7.4,39289.800,0,pass
memory_absolute_bytes,track-b-product/session_create_select_destroy,,median_working_set_bytes,bytes,63643648,63959040,64188416,63852544,64118784,63959040,64188416,0.9,66872115,0,pass
memory_absolute_bytes,track-b-product/session_create_select_destroy,,max_peak_working_set_bytes,bytes,254623744,253759488,253558784,253427712,254042112,253759488,254623744,0.5,562033050,0,pass
memory_absolute_bytes,track-b-product/session_create_select_destroy,,median_private_bytes,bytes,28205056,30228480,29908992,28717056,29597696,29597696,30228480,7.2,32084378,0,pass
latency_absolute_us,track-b-product/startup_warm_shared_assets_runtime_ready,,median_us,us,17355.3,17742.5,17661.8,16749.2,18380.8,17661.8,18380.8,9.7,38825.050,0,pass
memory_absolute_bytes,track-b-product/startup_warm_shared_assets_runtime_ready,,median_working_set_bytes,bytes,63217664,63565824,63397888,63119360,63602688,63397888,63602688,0.8,86196634,0,pass
memory_absolute_bytes,track-b-product/startup_warm_shared_assets_runtime_ready,,max_peak_working_set_bytes,bytes,254623744,253759488,253558784,253427712,254042112,253759488,254623744,0.5,562033050,0,pass
memory_absolute_bytes,track-b-product/startup_warm_shared_assets_runtime_ready,,median_private_bytes,bytes,27799552,30076928,29057024,27996160,29208576,29057024,30076928,8.2,37865062,0,pass
latency_ratio,key_sequence_process_with_context,zh,yune_librime_median_ratio,x,0.101,0.096,0.099,0.103,0.103,0.101,0.103,7.3,1.047,0,pass
latency_ratio,key_sequence_process_with_context,j,yune_librime_median_ratio,x,0.41,0.388,0.434,0.421,0.421,0.421,0.434,11.9,4.372,0,pass
latency_ratio,key_sequence_process_with_context,yi,yune_librime_median_ratio,x,0.441,0.423,0.468,0.452,0.449,0.449,0.468,10.6,6.098,0,pass
latency_ratio,key_sequence_process_with_context,che,yune_librime_median_ratio,x,0.119,0.115,0.122,0.123,0.121,0.121,0.123,7,1.160,0,pass
latency_ratio,key_sequence_process_with_context,chuang,yune_librime_median_ratio,x,0.134,0.128,0.136,0.137,0.135,0.135,0.137,7,1.357,0,pass
latency_ratio,key_sequence_process_with_context,b,yune_librime_median_ratio,x,0.38,0.369,0.399,0.384,0.386,0.384,0.399,8.1,3.775,0,pass
latency_ratio,key_sequence_process_with_context,ceshi,yune_librime_median_ratio,x,0.114,0.11,0.115,0.115,0.114,0.114,0.115,4.5,0.966,0,pass
latency_ratio,key_sequence_process_with_context,zhongdengchangdu,yune_librime_median_ratio,x,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0,0.342,0,pass
latency_ratio,key_sequence_process_with_context,dazisudu,yune_librime_median_ratio,x,0.105,0.103,0.111,0.106,0.105,0.105,0.111,7.8,1.098,0,pass
