kind,workload,input,metric,unit,run1_observed,run2_observed,run3_observed,run4_observed,run5_observed,median_observed,worst_observed,spread_pct,ceiling,individual_failures,verdict
latency_ratio,key_sequence_process_with_context,n,yune_librime_median_ratio,x,0.201,0.21,0.207,0.217,0.214,0.21,0.217,8,3.006,0,pass
latency_ratio,key_sequence_process_with_context,ni,yune_librime_median_ratio,x,0.242,0.25,0.248,0.254,0.251,0.25,0.254,5,2.666,0,pass
latency_ratio,key_sequence_process_with_context,hao,yune_librime_median_ratio,x,0.278,0.28,0.281,0.289,0.289,0.281,0.289,4,1.844,0,pass
latency_ratio,key_sequence_process_with_context,ceshiyixiachangjushuruxingnengzenyang,yune_librime_median_ratio,x,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0,2.339,0,pass
latency_ratio,key_sequence_process_with_context,zhegeyinqingqishiyinggaizhichichaochangjuzishurucainengyong,yune_librime_median_ratio,x,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0,1.748,0,pass
memory_peak,,,track_a_peak_working_set_bytes,bytes,154218496,153890816,154030080,154189824,153989120,154030080,154218496,0.2,195028378,0,pass
latency_ratio,key_sequence_process_with_context,zhongguo,yune_librime_median_ratio,x,0.027,0.027,0.028,0.028,0.028,0.028,0.028,3.7,0.323,0,pass
latency_ratio,key_sequence_process_with_context,cszysmsrsd,yune_librime_median_ratio,x,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0,0.474,0,pass
latency_ratio,key_sequence_process_with_context,zybfshmsru,yune_librime_median_ratio,x,0.005,0.005,0.005,0.005,0.006,0.005,0.006,20,0.695,0,pass
latency_ratio,startup_warm_shared_assets_runtime_ready,,yune_librime_median_ratio,x,0.723,0.935,0.838,0.94,0.984,0.935,0.984,36.1,1.091,0,pass
latency_absolute_us,session_create_select_destroy,,median_us,us,23148.7,23320,22867.3,23471.6,23709.6,23320,23709.6,3.7,25470.280,0,pass
latency_absolute_us,track-b-product/key_sequence_process_with_context,neigojangingkeisatjinggoiziwunciucoenggeoizisyujapsinhojijung,median_us,us,7.536,7.39,7.398,7.462,7.466,7.462,7.536,2,347.975,0,pass
memory_absolute_bytes,track-b-product/key_sequence_process_with_context,neigojangingkeisatjinggoiziwunciucoenggeoizisyujapsinhojijung,median_working_set_bytes,bytes,59191296,62365696,59473920,62062592,59428864,59473920,62365696,5.4,88012390,0,pass
memory_absolute_bytes,track-b-product/key_sequence_process_with_context,neigojangingkeisatjinggoiziwunciucoenggeoizisyujapsinhojijung,max_peak_working_set_bytes,bytes,254033920,253792256,254287872,254570496,253186048,254033920,254570496,0.5,562033050,0,pass
memory_absolute_bytes,track-b-product/key_sequence_process_with_context,neigojangingkeisatjinggoiziwunciucoenggeoizisyujapsinhojijung,median_private_bytes,bytes,21925888,25341952,22175744,25849856,22069248,22175744,25849856,17.9,39460045,0,pass
