result,source_commit,source_tree,verdict,exact_inputs,yune_dll_sha256,benchmark_executable_sha256,benchmark_receipt_sha256,comparator_sha256,snapshot_sha256,verdict_sha256,oracle_dll_sha256,oracle_shared_tree_sha256,oracle_build_tree_sha256,product_schema_tree_sha256,track_a_source_checksum,track_a_table_checksum
preserved-red,7805882d93428db0a3791b0631290ab319b524f0,c198d23fc6777ad8b119e30552980243a6acdbb6,fail,16/17,c6fc3b1594ae98771a39c784953236c3ba0e9873602c056dfcb4c9d9631e329d,a4e6f9ccb1b090bfeb3756090e44ffb84b6fd15e235b2d0f9021b1acc1abae87,e7a0355e523c4b88c3aceccafd838eb5a194d7a5c3a31238123b7a34101d830a,f51a732834e8b388195040444bab33cb74cf1ab9770475263d4ef134fad1c1b9,2c81291baeab4ab8f03946b44b74c6ef37dd31e1e115a82ebb59b13af6f5a16e,e5aa1adfa4de4ee51b11f5f085f76208b8710b700cd59fd78f88da214314ce23,86b4c7357d4c6d293ce5589b234d8859ca2ac30923a03bedfa3926eeaf97fb0b,3801c4c83ba919e531b80ac27e2c06d116d08b19af2034fcb86e6e17ae1eecf6,446c90b2f4ffd76b4ec1f4ecca4f534c986e72e3d8803c6998926d0b1cebbf17,0bc042c0ab09c732419cf6ba5ce008390e87894c7d374c0d1b44efeac10a9bf0,0xb3d4e98e,0x29d56c89
corrected-pass,a39c4d868820063dc3deaa42f7fdc9b3aee5e7a6,76089019f142a7f76c05bcd745ab30a10af280a6,pass,17/17,d972664a530c9c59fd44fdf08d6232bde2980275a6d127cd800e0110661ab79f,1ece035afbe9e1663a705e7bb8e555868d537f4e20e2de80dfc7afd7c5ef409c,1aaf8b3609e57e42c28692296f614695361a0b29a967b7b188ff516295eb1461,c68bb3366281ff1e1f769fedc0aea4dab432534684b3c1e8d10d16e33a709260,1c8d4a589706004bb9caef1be57d9063fd321d4e0fc7ba837742be729354516e,95e0b570734ae900227b90ead9fb717a062fb7131761a533bb0020ae66c3b66c,86b4c7357d4c6d293ce5589b234d8859ca2ac30923a03bedfa3926eeaf97fb0b,3801c4c83ba919e531b80ac27e2c06d116d08b19af2034fcb86e6e17ae1eecf6,446c90b2f4ffd76b4ec1f4ecca4f534c986e72e3d8803c6998926d0b1cebbf17,0bc042c0ab09c732419cf6ba5ce008390e87894c7d374c0d1b44efeac10a9bf0,0xb3d4e98e,0x29d56c89
