name,exit_code,start_utc,end_utc,duration_seconds
01-upstream-luna-parity,0,2026-07-17T03:34:54.6079434Z,2026-07-17T03:34:58.1883606Z,3.58
02-surface-segmentation,0,2026-07-17T03:34:58.1963591Z,2026-07-17T03:35:12.8404358Z,14.644
03-poet,0,2026-07-17T03:35:12.8474363Z,2026-07-17T03:35:19.9391114Z,7.092
04-packed-syllabary-owner,0,2026-07-17T03:35:19.9461115Z,2026-07-17T03:35:20.1161115Z,0.17
05-dictionary-data,0,2026-07-17T03:35:20.1231114Z,2026-07-17T03:35:32.4647658Z,12.342
06-deployment,0,2026-07-17T03:35:32.4707648Z,2026-07-17T03:45:23.4144033Z,590.944
07-m61-luna-page-zero,0,2026-07-17T03:45:23.4214043Z,2026-07-17T03:45:26.1457324Z,2.724
08-m59-luna,0,2026-07-17T03:45:26.1527313Z,2026-07-17T03:45:43.2674256Z,17.115
09-m59-reachability-matrix,0,2026-07-17T03:45:43.2744248Z,2026-07-17T03:55:15.4376826Z,572.163
10-schema-manifest,0,2026-07-17T03:55:15.4456829Z,2026-07-17T03:56:33.9939430Z,78.548
11-native-candidate-parity-unit,0,2026-07-17T03:56:34.0019434Z,2026-07-17T03:56:37.4956858Z,3.494
12-native-benchmark-script-unit,0,2026-07-17T03:56:37.5026869Z,2026-07-17T03:56:44.7969502Z,7.294
13-m59-evidence-tools-unit,0,2026-07-17T03:56:44.8039512Z,2026-07-17T03:57:07.4995460Z,22.696
14-m61-native-mode-contract-unit,0,2026-07-17T03:57:07.5065460Z,2026-07-17T03:57:09.4564870Z,1.95
15-m61-luna-poet-rebind-unit,0,2026-07-17T03:57:09.4674872Z,2026-07-17T03:57:15.5106913Z,6.043
16-m61-supplemental-ratchet-unit,0,2026-07-17T03:57:15.5176941Z,2026-07-17T03:57:18.1203930Z,2.603
17-public-evidence-privacy-unit,0,2026-07-17T03:57:18.1273911Z,2026-07-17T03:57:18.4045250Z,0.277
18-cargo-fmt,0,2026-07-17T03:57:18.4115292Z,2026-07-17T03:57:19.3176917Z,0.906
19-cargo-clippy-workspace,0,2026-07-17T03:57:19.3186921Z,2026-07-17T03:57:22.5931326Z,3.274
20-cargo-test-workspace,101,2026-07-17T03:57:22.6001334Z,2026-07-17T03:59:48.6200917Z,146.02
