path,bytes,sha256
README.md,7508,f430a0dfc0f74f61f0cb783ea8ee1fdbe5224fda8ea17e4cc1d83d025de701a5
binary-hashes.csv,3974,f9b2aa4a7a535271fb9af5a05bf9a7557bd97f446149a499f4190159c530952c
branch-disposition-d.md,1218,6bb30bd2a374dbfed438ca5b90e0c4e2a705ecefd594e6dc90cfe74a353fd684
byte-backed-gate-provenance.json,15369,cb429ee7459f7961d027e9b19b00b15a696d56e456067d273b644ec64f80bd1b
byte-backed-gate-verdict.csv,5492,e7d4127f74b722cb22150591d413a17b56fba1070db68a17f7383a73b8b238b0
byte-backed-supplemental-projection-provenance.json,15403,4445a037785db89f6c849d77c54763141110857787a262ec3d1f6615bfb3f91b
byte-backed-supplemental-projection.csv,322,e266e25edb1ff49b12b17a4421459fd37a30ff08b297216c4f71ff541c63bd41
candidate-parity-review-isolation.md,2552,02e0f6f3c9985c5a006b56a37e8c28d4899982eb17e1d5cf9a193c0215034e83
candidate-parity-review-requirements.md,2953,c11d8928144c86929b69d4798cbe067ef7a3241efbc58328ef2fd6c3f4922187
closeout-gate-status.csv,1876,cd84a7e4d56b7d2f70e160dd0aeb22e2e0b42c03118a8a2298633daa603593ce
commands.md,4410,ff8e718e96f81929a4c0c5df46923ed6febaadcbdd2534892939d5fbb0e36edf
corrected-candidate-parity-preflight.txt,1195,95e0b570734ae900227b90ead9fb717a062fb7131761a533bb0020ae66c3b66c
current-doc-links.txt,412,b0767c6b5f92928d30cc1c2f66817767b9519e56eee95fd6f81881274c571be6
diagnostic-round-receipts.csv,12254,5e083e3ea385673bc8267fcb774b7e3dbda23c853cdac54a6b35d9c93173d4f8
diff-check.txt,300,21cafef7638fb0cc0c18fcfba2fe73df77757e0936c32631e65c613055c6c12b
disposition-d-revert-proof.txt,644,f1d627b0c7f7e84bb1e6bd9cde6d9180d1f39f4cd257cc8728197f72dab18865
environment.txt,549,6b34c06868f8cc3dfc4f3faa4e972392f772509d7be4c904a58fda4f69f807d2
evidence-growth.txt,350,1a4ccfbbe2ac6284065304a8160ce5b310f6aca71b1fd10e6419b18941aaa955
evidence-integrity.txt,424,15ddfa1f250baff2c10227aa2a0ff6a70be29374d87394e173dfa03bd6344471
failure-disposition.txt,209,56878d8da1dd7dd0508c3f36f388be5994ffdd720de05b83755a49800d1b64af
initial-exploratory-owner-red.csv,1840,860aff0f2821ee855a8a8b6317c7e970ebf9c5b28e6d86f72ae7d5b5b06ae8f8
owned-gate-provenance.json,14311,36cb76b47c45213b855eb8c8889aacbe65ea1890bdcea7d7e22cdff03c085432
owned-gate-verdict.csv,5462,5747ddfb72909c684c008f74adb23a2489ed93df6fe4b65337741e3207e26476
owner-budget.csv,65956,f9370e6246e2e610fbf8f075bd2606c93ee2f1a9bf113499b74a904603a1ef5a
owner-delta.csv,381,2b1482ca5c4938502dc69115b4381f0ef1d03cb4cc7dfce06ea2dfaf4a20958d
