"engine","track","schema_id","workload","input","samples","operations","median_us","p95_us","p99_us","max_us","median_working_set_bytes","max_peak_working_set_bytes"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","hao","50","150","11.533","11.800","13.433","13.433","12197888","14192640"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","ni","50","100","14.600","16.600","37.200","37.200","12115968","14082048"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","zhongguo","50","400","180.875","185.825","192.412","192.412","13139968","14290944"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","20","20","25157.500","28081.700","28081.700","28081.700","10964992","14082048"
"librime-1.17.0","track-a-comparison","luna_pinyin","startup_warm_shared_assets_runtime_ready","","9","9","24892.800","46199.500","46199.500","46199.500","11554816","14028800"
"yune","track-a-comparison","luna_pinyin","key_sequence_process_with_context","hao","50","150","3862.167","4080.100","4189.833","4189.833","161525760","172036096"
"yune","track-a-comparison","luna_pinyin","key_sequence_process_with_context","ni","50","100","2907.500","3037.850","3058.150","3058.150","161267712","172036096"
"yune","track-a-comparison","luna_pinyin","key_sequence_process_with_context","zhongguo","50","400","4611.150","4870.325","5140.475","5140.475","161624064","172036096"
"yune","track-a-comparison","luna_pinyin","session_create_select_destroy","","20","20","47289.300","48955.100","48955.100","48955.100","159117312","172036096"
"yune","track-a-comparison","luna_pinyin","startup_warm_shared_assets_runtime_ready","","9","9","47521.800","811975.200","811975.200","811975.200","160325632","172036096"
"yune","track-b-product","jyut6ping3_mobile","key_sequence_process_with_context","hai","50","150","11248.200","12566.800","13139.333","13139.333","850653184","1049329664"
"yune","track-b-product","jyut6ping3_mobile","key_sequence_process_with_context","jigaajiusihaa","50","650","23259.208","24044.262","24694.700","24694.700","854974464","1049329664"
"yune","track-b-product","jyut6ping3_mobile","key_sequence_process_with_context","loengjathau","50","550","10148.373","10814.800","11013.555","11013.555","855654400","1049329664"
"yune","track-b-product","jyut6ping3_mobile","key_sequence_process_with_context","ngohaig","50","350","9262.257","9753.600","9875.400","9875.400","851193856","1049329664"
"yune","track-b-product","jyut6ping3_mobile","session_create_select_destroy","","20","20","237466.400","242559.400","242559.400","242559.400","836190208","1049329664"
"yune","track-b-product","jyut6ping3_mobile","startup_warm_shared_assets_runtime_ready","","9","9","191425.400","5765772.800","5765772.800","5765772.800","849006592","1049329664"
