event_index,phase,working_set_bytes,working_set_mb,private_bytes,private_mb,peak_working_set_bytes,peak_working_set_mb,allocator_live_bytes,allocator_live_mb,allocator_high_water_bytes,allocator_high_water_mb,named_owner_bytes,clean_mmap_file_backed_estimate_bytes,conclusion
0,"m47:phase:baseline_process_start",5287936,5,794624,0.8,5287936,5,4030,0,8900,0,,,""
1,"m47:phase:after_temp_schema_copy",6422528,6.1,1024000,1,6422528,6.1,5616,0,26356,0,,,""
2,"m47:phase:after_setup",6631424,6.3,1024000,1,6631424,6.3,7194,0,26356,0,,,""
3,"m47:phase:after_initialize",6639616,6.3,1024000,1,6639616,6.3,7272,0,26356,0,,,""
4,"m47:deploy_workspace:start",6643712,6.3,1024000,1,6643712,6.3,7325,0,26356,0,,,""
5,"m47:deploy_workspace:after_installation_update",7147520,6.8,1060864,1,7147520,6.8,8011,0,61335,0.1,,,""
6,"m47:deploy:workspace_update:start",7155712,6.8,1060864,1,7155712,6.8,8044,0,61335,0.1,,,""
7,"m47:deploy:workspace_update:after_default_config",7786496,7.4,1265664,1.2,7929856,7.6,8092,0,391593,0.4,,,""
8,"m47:deploy:workspace_update:after_prebuilt_link_sync",7806976,7.4,1269760,1.2,7929856,7.6,8144,0,391593,0.4,,,""
9,"m47:deploy:workspace_update:after_schema_list:schema_count=1",8003584,7.6,1318912,1.3,8134656,7.8,112410,0.1,391593,0.4,,,""
10,"m47:deploy:luna_pinyin:after_staging_metadata:table=false:prism=false:reverse=false",10833920,10.3,3825664,3.6,10833920,10.3,1750109,1.7,1786373,1.7,,,""
11,"m47:deploy:luna_pinyin:after_prebuilt_metadata:table_bytes=4640486:prism_bytes=1642925:reverse_bytes=1263091",10899456,10.4,3825664,3.6,10899456,10.4,1750261,1.7,1786373,1.7,,,""
12,"m47:deploy:luna_pinyin:after_rebuild_plan:table=ReusedFresh:prism=ReusedFresh:reverse=ReusedFresh",10694656,10.2,3571712,3.4,11206656,10.7,1750367,1.7,2336735,2.2,,,""
13,"m47:deploy:jyut6ping3_scolar:after_staging_metadata:table=false:prism=false:reverse=false",16543744,15.8,9703424,9.3,16543744,15.8,7370886,7,7371022,7,,,""
14,"m47:deploy:jyut6ping3_scolar:after_prebuilt_metadata:table_bytes=12478842:prism_bytes=325:reverse_bytes=89",16609280,15.8,9703424,9.3,16609280,15.8,7371038,7,7371531,7,,,""
15,"m47:deploy:jyut6ping3_scolar:after_rebuild_plan:table=ReusedFresh:prism=Rebuilt:reverse=ReusedFresh",16617472,15.8,9375744,8.9,16736256,16,7371144,7,7551442,7.2,,,""
16,"m47:deploy:jyut6ping3_scolar:after_rebuild_execute",83845120,80,76763136,73.2,83845120,80,59902922,57.1,62835268,59.9,,,""
17,"m47:deploy:luna_pinyin_yune_reverse:after_staging_metadata:table=false:prism=false:reverse=false",11833344,11.3,3108864,3,83865600,80,245544,0.2,62835268,59.9,,,""
18,"m47:deploy:luna_pinyin_yune_reverse:after_prebuilt_metadata:table_bytes=4640555:prism_bytes=1497453:reverse_bytes=1263091",11833344,11.3,3108864,3,83865600,80,245696,0.2,62835268,59.9,,,""
19,"m47:deploy:luna_pinyin_yune_reverse:after_rebuild_plan:table=ReusedFresh:prism=ReusedFresh:reverse=ReusedFresh",11808768,11.3,4046848,3.9,83865600,80,245908,0.2,62835268,59.9,,,""
20,"m47:deploy:jyut6ping3:after_staging_metadata:table=false:prism=false:reverse=false",15278080,14.6,7524352,7.2,83865600,80,3712865,3.5,62835268,59.9,,,""
21,"m47:deploy:jyut6ping3:after_prebuilt_metadata:table_bytes=15248382:prism_bytes=19354757:reverse_bytes=3592525",15278080,14.6,7524352,7.2,83865600,80,3713017,3.5,62835268,59.9,,,""
22,"m47:deploy:jyut6ping3:after_rebuild_plan:table=ReusedFresh:prism=ReusedFresh:reverse=ReusedFresh",15192064,14.5,6504448,6.2,83865600,80,3713123,3.5,62835268,59.9,,,""
23,"m47:deploy:workspace_update:after_schema:jyut6ping3_mobile",11636736,11.1,3018752,2.9,83865600,80,116308,0.1,62835268,59.9,,,""
24,"m47:deploy_workspace:after_workspace_maintenance",11448320,10.9,2699264,2.6,83865600,80,12896,0,62835268,59.9,,,""
25,"m47:phase:after_deploy",11448320,10.9,2699264,2.6,83865600,80,12948,0,62835268,59.9,,,""
26,"m47:translator:script_translator@translator:dictionary:jyut6ping3:before_dictionary_load",12595200,12,3264512,3.1,83865600,80,412817,0.4,62835268,59.9,,,""
27,"m47:compiled_dictionary:jyut6ping3:after_table_byte_source_open:table_bytes=15248382",16080896,15.3,6774784,6.5,83865600,80,3880714,3.7,62835268,59.9,,,""
28,"m47:compiled_dictionary:jyut6ping3:after_prism_byte_source_open:prism_bytes=19354757",16080896,15.3,6811648,6.5,83865600,80,3880918,3.7,62835268,59.9,,,""
29,"m47:compiled_dictionary:jyut6ping3:after_reverse_bytes_read:reverse_bytes=3592525",19677184,18.8,10407936,9.9,83865600,80,7473391,7.1,62835268,59.9,,,""
30,"m47:compiled_dictionary:jyut6ping3:after_reverse_dictionary_parse:lookup_texts=0:lookup_records=0",44466176,42.4,24707072,23.6,83865600,80,17214752,16.4,62835268,59.9,,,""
31,"m47:compiled_dictionary:jyut6ping3:after_reverse_advanced_merge_drop",27422720,26.2,8572928,8.2,83865600,80,3881152,3.7,62835268,59.9,,,""
32,"m47:compact_table:after_lookup_record_payload_skip:lookup_texts=125487:lookup_records=127144",38883328,37.1,8572928,8.2,83865600,80,3881312,3.7,62835268,59.9,,,""
33,"m47:compiled_dictionary:jyut6ping3:after_table_advanced_payload_parse:lookup_texts=125487:lookup_records=127144",43933696,41.9,13606912,13,83865600,80,8904346,8.5,62835268,59.9,,,""
34,"m47:compiled_dictionary:jyut6ping3:after_compact_table_store_parse",60821504,58,27734016,26.4,83865600,80,20695164,19.7,62835268,59.9,,,""
35,"m47:translator:script_translator@translator:dictionary:jyut6ping3:after_dictionary_load",57356288,54.7,24256512,23.1,83865600,80,17227759,16.4,62835268,59.9,,,""
36,"m47:compact_table:after_all_codes_normal_codes_hashset:normal_codes=114653",64421888,61.4,30052352,28.7,83865600,80,21942689,20.9,62835268,59.9,,,""
37,"m47:translator:script_translator@translator:dictionary:jyut6ping3:after_translator_index_build",64966656,62,30130176,28.7,83865600,80,21995134,21,62835268,59.9,,,""
38,"m47:translator:script_translator@luna_pinyin:dictionary:luna_pinyin_yune_reverse:before_dictionary_load",65081344,62.1,30130176,28.7,83865600,80,21996459,21,62835268,59.9,,,""
39,"m47:compiled_dictionary:luna_pinyin_yune_reverse:after_table_byte_source_open:table_bytes=4640555",65081344,62.1,30138368,28.7,83865600,80,21997562,21,62835268,59.9,,,""
40,"m47:compiled_dictionary:luna_pinyin_yune_reverse:after_prism_byte_source_open:prism_bytes=1497453",65081344,62.1,30138368,28.7,83865600,80,21997766,21,62835268,59.9,,,""
