input_id,input,storage,key_index,prefix,key,candidates,model_calls,model_ns,graph_rebuild_calls,graph_rebuild_ns,incremental_reuse_hits,incremental_extend_ns,discarded_rebuild_chars,candidate_state_buckets,candidate_states_ranked,candidate_path_ns,candidate_merge_ns,index_probes,prefix_hits,prefix_misses,entry_ranges_emitted,table_entries_considered,vocabulary_index_probes,vocabulary_rows_examined,vocabulary_rows_accepted,graph_entries_inserted,graph_entry_text_bytes,code_span_rederivations,dp_states_created,dp_beam_evictions
m55_37,ceshiyixiachangjushuruxingnengzenyang,owned,11,ceshiyixiac,c,5,1,22300,1,6600,1,6700,0,5,53,200,13500,5,1,4,4,0,4,10,0,0,0,0,0,0
m55_37,ceshiyixiachangjushuruxingnengzenyang,owned,12,ceshiyixiach,h,5,1,20900,1,5600,1,5600,0,5,53,100,13000,5,1,4,4,0,4,10,0,0,0,0,0,0
m55_37,ceshiyixiachangjushuruxingnengzenyang,owned,13,ceshiyixiacha,a,5,1,21700,1,5900,1,5900,0,5,53,100,13500,5,1,4,4,0,4,10,0,0,0,0,0,0
m55_37,ceshiyixiachangjushuruxingnengzenyang,owned,14,ceshiyixiachan,n,5,1,20600,1,5700,1,5700,0,5,53,200,12500,5,1,4,4,0,4,10,0,0,0,0,0,0
m55_37,ceshiyixiachangjushuruxingnengzenyang,owned,15,ceshiyixiachang,g,5,1,47000,1,13300,1,13300,0,6,68,2000,28800,5,1,4,5,7,5,10,0,7,21,0,15,0
m55_37,ceshiyixiachangjushuruxingnengzenyang,owned,16,ceshiyixiachangj,j,5,1,28300,1,7100,1,7100,0,6,68,200,16400,6,1,5,5,0,5,10,0,0,0,0,0,0
m55_37,ceshiyixiachangjushuruxingnengzenyang,owned,17,ceshiyixiachangju,u,5,1,46400,1,16900,1,16900,0,7,83,2100,24400,6,1,5,6,7,6,10,0,7,21,0,22,7
m55_37,ceshiyixiachangjushuruxingnengzenyang,owned,18,ceshiyixiachangjus,s,5,1,32500,1,7000,1,7000,0,7,83,100,22600,7,1,6,6,0,6,10,0,0,0,0,0,0
m55_37,ceshiyixiachangjushuruxingnengzenyang,owned,19,ceshiyixiachangjush,h,5,1,32700,1,6900,1,7000,0,7,83,200,23000,7,1,6,6,0,6,10,0,0,0,0,0,0
m55_37,ceshiyixiachangjushuruxingnengzenyang,owned,20,ceshiyixiachangjushu,u,5,1,56600,1,19900,1,19900,0,8,98,2000,31700,7,1,6,7,7,7,10,0,7,21,0,28,13
m55_37,ceshiyixiachangjushuruxingnengzenyang,owned,21,ceshiyixiachangjushur,r,5,1,41900,1,7400,1,7400,0,8,98,200,31600,8,1,7,7,0,7,10,0,0,0,0,0,0
m55_37,ceshiyixiachangjushuruxingnengzenyang,owned,22,ceshiyixiachangjushuru,u,5,1,59300,1,22800,1,22800,0,9,113,2100,31300,8,1,7,8,7,8,10,0,7,21,0,34,19
m55_37,ceshiyixiachangjushuruxingnengzenyang,owned,23,ceshiyixiachangjushurux,x,5,1,41400,1,8900,1,8900,0,9,113,100,29700,9,1,8,8,0,8,10,0,0,0,0,0,0
m55_37,ceshiyixiachangjushuruxingnengzenyang,owned,24,ceshiyixiachangjushuruxi,i,5,1,40200,1,8500,1,8600,0,9,113,100,28700,9,1,8,8,0,8,10,0,0,0,0,0,0
m55_37,ceshiyixiachangjushuruxingnengzenyang,owned,25,ceshiyixiachangjushuruxin,n,5,1,39000,1,8600,1,8600,0,9,113,200,27500,9,1,8,8,0,8,10,0,0,0,0,0,0
m55_37,ceshiyixiachangjushuruxingnengzenyang,owned,26,ceshiyixiachangjushuruxing,g,5,1,60900,1,22400,1,22500,0,10,128,2200,33100,9,1,8,9,7,9,10,0,7,21,0,31,16
m55_37,ceshiyixiachangjushuruxingnengzenyang,owned,27,ceshiyixiachangjushuruxingn,n,5,1,43400,1,9400,1,9400,0,10,128,100,30900,10,1,9,9,0,9,10,0,0,0,0,0,0
m55_37,ceshiyixiachangjushuruxingnengzenyang,owned,28,ceshiyixiachangjushuruxingne,e,5,1,43100,1,9400,1,9400,0,10,128,200,30500,10,1,9,9,0,9,10,0,0,0,0,0,0
m55_37,ceshiyixiachangjushuruxingnengzenyang,owned,29,ceshiyixiachangjushuruxingnen,n,5,1,42900,1,9100,1,9200,0,10,128,100,30600,10,1,9,9,0,9,10,0,0,0,0,0,0
m55_37,ceshiyixiachangjushuruxingnengzenyang,owned,30,ceshiyixiachangjushuruxingneng,g,5,1,64400,1,23800,1,23800,0,11,143,2100,35000,10,1,9,10,7,10,10,0,7,21,0,32,17
m55_37,ceshiyixiachangjushuruxingnengzenyang,owned,31,ceshiyixiachangjushuruxingnengz,z,5,1,47200,1,9900,1,9900,0,11,143,100,34000,11,1,10,10,0,10,10,0,0,0,0,0,0
m55_37,ceshiyixiachangjushuruxingnengzenyang,owned,32,ceshiyixiachangjushuruxingnengze,e,5,1,47200,1,9800,1,9800,0,11,143,100,33800,11,1,10,10,0,10,10,0,0,0,0,0,0
m55_37,ceshiyixiachangjushuruxingnengzenyang,owned,33,ceshiyixiachangjushuruxingnengzen,n,5,1,74300,1,25800,1,25800,0,12,158,2000,42900,11,1,10,11,7,11,10,0,7,21,0,34,19
m55_37,ceshiyixiachangjushuruxingnengzenyang,owned,34,ceshiyixiachangjushuruxingnengzeny,y,5,1,51500,1,10700,1,10700,0,12,158,200,37200,12,1,11,11,0,11,10,0,0,0,0,0,0
m55_37,ceshiyixiachangjushuruxingnengzenyang,owned,35,ceshiyixiachangjushuruxingnengzenya,a,5,1,51000,1,10300,1,10400,0,12,158,200,37100,12,1,11,11,0,11,10,0,0,0,0,0,0
m55_37,ceshiyixiachangjushuruxingnengzenyang,owned,36,ceshiyixiachangjushuruxingnengzenyan,n,5,1,82400,1,21400,1,21400,0,13,173,2300,54800,12,1,11,12,7,12,10,0,7,21,0,24,9
m55_37,ceshiyixiachangjushuruxingnengzenyang,owned,37,ceshiyixiachangjushuruxingnengzenyang,g,5,1,89800,1,23600,1,23600,0,14,188,2000,60400,13,2,11,13,7,13,10,0,7,21,0,27,12
m55_37,ceshiyixiachangjushuruxingnengzenyang,byte_backed,1,c,c,0,4,38100,2,18100,0,0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0
m55_37,ceshiyixiachangjushuruxingnengzenyang,byte_backed,2,ce,e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
m55_37,ceshiyixiachangjushuruxingnengzenyang,byte_backed,3,ces,s,5,1,73900,1,45400,0,0,3,0,0,0,0,4,3,1,1,7,1,5,0,7,21,0,7,0
m55_37,ceshiyixiachangjushuruxingnengzenyang,byte_backed,4,cesh,h,5,1,28100,1,18900,0,0,4,0,0,0,0,5,4,1,1,7,1,5,0,7,21,0,7,0
m55_37,ceshiyixiachangjushuruxingnengzenyang,byte_backed,5,ceshi,i,5,1,60800,1,35500,0,0,5,0,0,0,0,6,5,1,2,14,2,10,3,17,60,0,31,8
m55_37,ceshiyixiachangjushuruxingnengzenyang,byte_backed,6,ceshiy,y,5,1,65800,1,42200,0,0,6,0,0,0,0,8,6,2,2,14,2,10,3,17,60,0,31,8
m55_37,ceshiyixiachangjushuruxingnengzenyang,byte_backed,7,ceshiyi,i,5,1,81400,1,46500,0,0,7,0,0,0,0,9,7,2,3,21,3,10,4,25,90,0,49,11
m55_37,ceshiyixiachangjushuruxingnengzenyang,byte_backed,8,ceshiyix,x,5,1,84200,1,49700,0,0,8,0,0,0,0,11,8,3,3,21,3,10,4,25,90,0,49,11
m55_37,ceshiyixiachangjushuruxingnengzenyang,byte_backed,9,ceshiyixi,i,5,1,84700,1,50700,0,0,9,0,0,0,0,12,9,3,3,21,3,10,4,25,90,0,49,11
m55_37,ceshiyixiachangjushuruxingnengzenyang,byte_backed,10,ceshiyixia,a,5,1,108200,1,60500,0,0,10,0,0,0,0,13,10,3,4,28,4,10,5,33,123,0,72,18
m55_37,ceshiyixiachangjushuruxingnengzenyang,byte_backed,11,ceshiyixiac,c,5,1,108700,1,61500,0,0,11,0,0,0,0,15,11,4,4,28,4,10,5,33,123,0,72,18
m55_37,ceshiyixiachangjushuruxingnengzenyang,byte_backed,12,ceshiyixiach,h,5,1,109400,1,62900,0,0,12,0,0,0,0,16,12,4,4,28,4,10,5,33,123,0,72,18
m55_37,ceshiyixiachangjushuruxingnengzenyang,byte_backed,13,ceshiyixiacha,a,5,1,110300,1,64100,0,0,13,0,0,0,0,17,13,4,4,28,4,10,5,33,123,0,72,18
m55_37,ceshiyixiachangjushuruxingnengzenyang,byte_backed,14,ceshiyixiachan,n,5,1,111700,1,65300,0,0,14,0,0,0,0,18,14,4,4,28,4,10,5,33,123,0,72,18
m55_37,ceshiyixiachangjushuruxingnengzenyang,byte_backed,15,ceshiyixiachang,g,5,1,132600,1,71400,0,0,15,0,0,0,0,19,15,4,5,35,5,10,5,40,144,0,87,18
m55_37,ceshiyixiachangjushuruxingnengzenyang,byte_backed,16,ceshiyixiachangj,j,5,1,132400,1,74800,0,0,16,0,0,0,0,21,16,5,5,35,5,10,5,40,144,0,87,18
m55_37,ceshiyixiachangjushuruxingnengzenyang,byte_backed,17,ceshiyixiachangju,u,5,1,155000,1,81000,0,0,17,0,0,0,0,22,17,5,6,42,6,10,5,47,165,0,109,25
m55_37,ceshiyixiachangjushuruxingnengzenyang,byte_backed,18,ceshiyixiachangjus,s,5,1,159600,1,83900,0,0,18,0,0,0,0,24,18,6,6,42,6,10,5,47,165,0,109,25
m55_37,ceshiyixiachangjushuruxingnengzenyang,byte_backed,19,ceshiyixiachangjush,h,5,1,165900,1,91300,0,0,19,0,0,0,0,25,19,6,6,42,6,10,5,47,165,0,109,25
m55_37,ceshiyixiachangjushuruxingnengzenyang,byte_backed,20,ceshiyixiachangjushu,u,5,1,182100,1,92500,0,0,20,0,0,0,0,26,20,6,7,49,7,10,5,54,186,0,137,38
m55_37,ceshiyixiachangjushuruxingnengzenyang,byte_backed,21,ceshiyixiachangjushur,r,5,1,181900,1,92600,0,0,21,0,0,0,0,28,21,7,7,49,7,10,5,54,186,0,137,38
m55_37,ceshiyixiachangjushuruxingnengzenyang,byte_backed,22,ceshiyixiachangjushuru,u,5,1,207400,1,99100,0,0,22,0,0,0,0,29,22,7,8,56,8,10,5,61,207,0,171,57
