"engine","track","schema_id","workload","input","sample_index","operation_count","process_key_calls","process_key_ns","translator_calls","translator_ns","lookup_views_visited","owned_candidates_materialized","candidates_sorted","candidate_sort_ns","userdb_merge_ns","filter_pipeline_ns","ranker_pipeline_ns","ai_merge_ns","candidates_stored","context_full_snapshot_candidates_cloned","context_page_snapshot_candidates_cloned","abi_get_context_calls","abi_get_context_ns","abi_candidates_exported","abi_free_context_calls","abi_free_context_ns","candidate_request_bounded_calls","candidate_request_unbounded_calls","candidate_request_page_limit_total","candidate_request_surplus_total","bounded_iterator_calls","bounded_iterator_limit_total","bounded_iterator_selected_total","bounded_iterator_full_count_total","full_list_translation_calls","full_list_fallback_count","exact_lookup_calls","exact_lookup_ns","exact_lookup_candidates","prefix_lookup_calls","prefix_lookup_ns","prefix_lookup_candidates","heap_exact_lookup_calls","heap_prefix_lookup_calls","no_marisa_compact_exact_lookup_calls","no_marisa_compact_prefix_lookup_calls","rsmarisa_exact_lookup_calls","rsmarisa_prefix_lookup_calls","abi_c_string_allocations","abi_c_string_bytes"
"yune","track-a-comparison","luna_pinyin","key_sequence_process_with_context","ni","0","2","2","57500","6","51400","1912","40","40","100","200","2400","200","500","40","0","5","1","1100","5","1","200","2","0","10","30","2","40","40","40","0","0","2","5500","40","0","0","0","2","0","0","0","0","0","12","42"
"yune","track-a-comparison","luna_pinyin","key_sequence_process_with_context","ni","1","2","2","58900","6","52400","1912","40","40","100","400","2500","100","400","40","0","5","1","1100","5","1","200","2","0","10","30","2","40","40","40","0","0","2","5100","40","0","0","0","2","0","0","0","0","0","12","42"
"yune","track-a-comparison","luna_pinyin","key_sequence_process_with_context","ni","2","2","2","56800","6","50300","1912","40","40","100","300","2500","100","500","40","0","5","1","1100","5","1","100","2","0","10","30","2","40","40","40","0","0","2","4800","40","0","0","0","2","0","0","0","0","0","12","42"
"yune","track-a-comparison","luna_pinyin","key_sequence_process_with_context","ni","3","2","2","54500","6","48100","1912","40","40","100","400","2500","100","400","40","0","5","1","900","5","1","100","2","0","10","30","2","40","40","40","0","0","2","4900","40","0","0","0","2","0","0","0","0","0","12","42"
"yune","track-a-comparison","luna_pinyin","key_sequence_process_with_context","ni","4","2","2","54200","6","47800","1912","40","40","100","400","2400","0","500","40","0","5","1","1200","5","1","100","2","0","10","30","2","40","40","40","0","0","2","4900","40","0","0","0","2","0","0","0","0","0","12","42"
"yune","track-a-comparison","luna_pinyin","key_sequence_process_with_context","ni","5","2","2","53200","6","47000","1912","40","40","0","400","2400","100","500","40","0","5","1","1200","5","1","100","2","0","10","30","2","40","40","40","0","0","2","4500","40","0","0","0","2","0","0","0","0","0","12","42"
"yune","track-a-comparison","luna_pinyin","key_sequence_process_with_context","ni","6","2","2","52400","6","46300","1912","40","40","100","300","2300","100","400","40","0","5","1","1100","5","1","200","2","0","10","30","2","40","40","40","0","0","2","4500","40","0","0","0","2","0","0","0","0","0","12","42"
"yune","track-a-comparison","luna_pinyin","key_sequence_process_with_context","ni","7","2","2","52000","6","45900","1912","40","40","100","200","2200","0","500","40","0","5","1","1000","5","1","200","2","0","10","30","2","40","40","40","0","0","2","4400","40","0","0","0","2","0","0","0","0","0","12","42"
"yune","track-a-comparison","luna_pinyin","key_sequence_process_with_context","ni","8","2","2","52700","6","46600","1912","40","40","0","300","2400","200","500","40","0","5","1","1100","5","1","100","2","0","10","30","2","40","40","40","0","0","2","4600","40","0","0","0","2","0","0","0","0","0","12","42"
"yune","track-a-comparison","luna_pinyin","key_sequence_process_with_context","ni","9","2","2","52500","6","46500","1912","40","40","100","200","2500","0","400","40","0","5","1","1200","5","1","200","2","0","10","30","2","40","40","40","0","0","2","4400","40","0","0","0","2","0","0","0","0","0","12","42"
