input,special_rows,newly_signed,mac_run1_ratio,mac_run2_ratio,mac_run3_ratio,mac_run4_ratio,mac_run5_ratio,mac_median_ratio,mac_pooled_worst_ratio,mac_spread_pct,final_m59_windows_443_median_ratio,mac_vs_final_m59_windows_443_pct,mac_vs_final_m59_windows_443_class,signed_i0_windows_median_ratio,signed_windows_ceiling,mac_vs_signed_i0_windows_pct,mac_vs_signed_i0_windows_class,mac_median_vs_signed_ceiling_pct,mac_pooled_worst_vs_signed_ceiling_pct,signed_ceiling_diagnostic,comparison_boundary
n,short-explicit,False,0.14,0.122,0.127,0.183,0.157,0.14,0.183,50.0,0.212,-33.96226415094339,material,2.82,3.006,-95.0354609929078,material,-95.34264803725881,-93.91217564870259,at_or_below,"diagnostic only; Mac 0111cf47, final Windows 443cc636, signed I0 Windows 45775182"
ni,short-explicit,False,0.175,0.151,0.173,0.216,0.184,0.175,0.216,43.046357615894046,0.254,-31.10236220472441,material,2.599,2.666,-93.26664101577529,material,-93.43585896474119,-91.89797449362341,at_or_below,"diagnostic only; Mac 0111cf47, final Windows 443cc636, signed I0 Windows 45775182"
hao,short-explicit,False,0.22,0.169,0.215,0.287,0.132,0.215,0.287,117.42424242424238,0.289,-25.605536332179923,material,1.72,1.844,-87.5,material,-88.34056399132321,-84.43600867678958,at_or_below,"diagnostic only; Mac 0111cf47, final Windows 443cc636, signed I0 Windows 45775182"
zhongguo,,False,0.029,0.029,0.03,0.034,0.031,0.03,0.034,17.24137931034483,0.038,-21.052631578947366,notable,0.293,0.323,-89.76109215017065,material,-90.71207430340557,-89.47368421052632,at_or_below,"diagnostic only; Mac 0111cf47, final Windows 443cc636, signed I0 Windows 45775182"
ceshiyixiachangjushuruxingnengzenyang,37-character,False,0.018,0.019,0.019,0.022,0.018,0.019,0.022,22.222222222222225,0.022,-13.636363636363635,notable,2.132,2.339,-99.10881801125704,material,-99.18768704574605,-99.05942710560069,at_or_below,"diagnostic only; Mac 0111cf47, final Windows 443cc636, signed I0 Windows 45775182"
zhegeyinqingqishiyinggaizhichichaochangjuzishurucainengyong,59-character,False,0.008,0.008,0.008,0.009,0.007,0.008,0.009,28.57142857142856,0.01,-19.999999999999996,notable,1.681,1.748,-99.52409280190363,material,-99.54233409610984,-99.48512585812357,at_or_below,"diagnostic only; Mac 0111cf47, final Windows 443cc636, signed I0 Windows 45775182"
cszysmsrsd,,False,0.004,0.004,0.004,0.004,0.002,0.004,0.004,100.0,0.005,-19.999999999999996,notable,0.396,0.474,-98.98989898989899,material,-99.15611814345992,-99.15611814345992,at_or_below,"diagnostic only; Mac 0111cf47, final Windows 443cc636, signed I0 Windows 45775182"
zybfshmsru,,False,0.006,0.006,0.006,0.008,0.004,0.006,0.008,100.0,0.008,-25.0,notable,0.569,0.695,-98.94551845342706,material,-99.13669064748201,-98.84892086330936,at_or_below,"diagnostic only; Mac 0111cf47, final Windows 443cc636, signed I0 Windows 45775182"
zh,newly-signed,True,0.101,0.099,0.104,0.133,0.079,0.101,0.133,68.35443037974684,0.097,4.123711340206193,close,0.986,1.047,-89.75659229208925,material,-90.35339063992359,-87.29703915950334,at_or_below,"diagnostic only; Mac 0111cf47, final Windows 443cc636, signed I0 Windows 45775182"
j,newly-signed,True,0.423,0.394,0.421,0.553,0.435,0.423,0.553,40.35532994923858,0.406,4.187192118226601,close,4.0,4.372,-89.425,material,-90.32479414455626,-87.35132662397072,at_or_below,"diagnostic only; Mac 0111cf47, final Windows 443cc636, signed I0 Windows 45775182"
