engine,track,schema_id,input,current_candidate_count,m57_candidate_count,text_order_match,page_geometry_match,comments_match,current_texts,m57_texts
librime-1.17.0,track-a-comparison,luna_pinyin,ceshiyixiachangjushuruxingnengzenyang,5,5,True,True,True,測試一下長句輸入性能怎樣 | 測試一下 | 測試儀 | 測試 | 側室,測試一下長句輸入性能怎樣 | 測試一下 | 測試儀 | 測試 | 側室
librime-1.17.0,track-a-comparison,luna_pinyin,cszysmsrsd,5,5,True,True,True,重商主義什麼是認識到 | 重商主義 | 催生作用 | 產生爭議 | 測試資源,重商主義什麼是認識到 | 重商主義 | 催生作用 | 產生爭議 | 測試資源
librime-1.17.0,track-a-comparison,luna_pinyin,hao,5,5,True,True,True,好 | 號 | 浩 | 豪 | 耗,好 | 號 | 浩 | 豪 | 耗
librime-1.17.0,track-a-comparison,luna_pinyin,n,5,5,True,True,True,你 | 那 | 呢 | 能 | 年,你 | 那 | 呢 | 能 | 年
librime-1.17.0,track-a-comparison,luna_pinyin,ni,5,5,True,True,True,你 | 擬 | 尼 | 泥 | 呢,你 | 擬 | 尼 | 泥 | 呢
librime-1.17.0,track-a-comparison,luna_pinyin,zhegeyinqingqishiyinggaizhichichaochangjuzishurucainengyong,5,5,True,True,True,這個引擎其實應該支持超長句子輸入才能用 | 這個 | 這歌 | 這格 | 這,這個引擎其實應該支持超長句子輸入才能用 | 這個 | 這歌 | 這格 | 這
librime-1.17.0,track-a-comparison,luna_pinyin,zhongguo,5,5,True,True,True,中國 | 種過 | 種果 | 忠果 | 中古,中國 | 種過 | 種果 | 忠果 | 中古
librime-1.17.0,track-a-comparison,luna_pinyin,zybfshmsru,5,5,True,True,True,自有辦法什麼收入 | 自有辦法 | 重要部分 | 晝夜不分 | 主要部分,自有辦法什麼收入 | 自有辦法 | 重要部分 | 晝夜不分 | 主要部分
yune,track-a-comparison,luna_pinyin,ceshiyixiachangjushuruxingnengzenyang,5,5,False,False,True,測試一下長句輸入性能怎樣 | 測試一下 | 測試儀 | 測試 | 側室,測試一下長足輸入性能怎樣 | 測試一下長句輸入性能怎樣 | 測試一下敞車輸入性能怎樣 | 測試一下長局輸入性能怎樣 | 測試一下長居輸入性能怎樣
yune,track-a-comparison,luna_pinyin,cszysmsrsd,5,5,True,True,True,重商主義什麼是認識到 | 重商主義 | 催生作用 | 產生爭議 | 測試資源,重商主義什麼是認識到 | 重商主義 | 催生作用 | 產生爭議 | 測試資源
yune,track-a-comparison,luna_pinyin,hao,5,5,True,True,False,好 | 號 | 浩 | 豪 | 耗,好 | 號 | 浩 | 豪 | 耗
yune,track-a-comparison,luna_pinyin,n,5,5,False,True,False,你 | 那 | 呢 | 能 | 年,那 | 拿 | 哪 | 納 | 娜
yune,track-a-comparison,luna_pinyin,ni,5,5,True,True,False,你 | 擬 | 尼 | 泥 | 呢,你 | 擬 | 尼 | 泥 | 呢
yune,track-a-comparison,luna_pinyin,zhegeyinqingqishiyinggaizhichichaochangjuzishurucainengyong,5,5,False,False,True,這個引擎其實應該支持超長句子輸入才能用 | 這個 | 這歌 | 這格 | 這,這個引擎其實應該支持超長橘子樹肉菜能用 | 這個引擎其實應該支持超常橘子樹肉菜能用 | 這個言情其實應該支持超長橘子樹肉菜能用 | 這個言情其實應該支持超常橘子樹肉菜能用 | 這個陰晴其實應該支持超長橘子樹肉菜能用
yune,track-a-comparison,luna_pinyin,zhongguo,5,5,False,False,False,中國 | 種過 | 種果 | 忠果 | 中古,中國 | 中國版 | 中國北方 | 中國菜 | 種過
yune,track-a-comparison,luna_pinyin,zybfshmsru,5,5,True,True,True,自有辦法什麼收入 | 自有辦法 | 重要部分 | 晝夜不分 | 主要部分,自有辦法什麼收入 | 自有辦法 | 重要部分 | 晝夜不分 | 主要部分
yune,track-b-product,jyut6ping3_mobile,neigojangingkeisatjinggoiziwunciucoenggeoizisyujapsinhojijung,5,5,True,True,True,你個人經其實應該支援超場句子輸入先可以用 | 你個 | 你 | 呢 | 尼,你個人經其實應該支援超場句子輸入先可以用 | 你個 | 你 | 呢 | 尼
