"engine","track","schema_id","workload","input","samples","operations","median_us","p95_us","p99_us","max_us","median_working_set_bytes","max_peak_working_set_bytes"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","zhegeyinqingqishiyinggaizhichichaochangjuzishurucainengyong","1","59","702.212","702.212","702.212","702.212","15884288","16154624"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","1","1","34014.400","34014.400","34014.400","34014.400","10747904","13905920"
"librime-1.17.0","track-a-comparison","luna_pinyin","startup_warm_shared_assets_runtime_ready","","1","1","63807.700","63807.700","63807.700","63807.700","11104256","12206080"
"yune","track-a-comparison","luna_pinyin","key_sequence_process_with_context","zhegeyinqingqishiyinggaizhichichaochangjuzishurucainengyong","1","59","1202404.588","1202404.588","1202404.588","1202404.588","114728960","163119104"
"yune","track-a-comparison","luna_pinyin","session_create_select_destroy","","1","1","24363.500","24363.500","24363.500","24363.500","107843584","163119104"
"yune","track-a-comparison","luna_pinyin","startup_warm_shared_assets_runtime_ready","","1","1","2938660.800","2938660.800","2938660.800","2938660.800","112291840","163119104"
"yune","track-b-product","jyut6ping3_mobile","key_sequence_process_with_context","hai","1","3","8006.800","8006.800","8006.800","8006.800","434782208","504680448"
"yune","track-b-product","jyut6ping3_mobile","key_sequence_process_with_context","jigaajiusihaa","1","13","3164.638","3164.638","3164.638","3164.638","437620736","504680448"
"yune","track-b-product","jyut6ping3_mobile","key_sequence_process_with_context","loengjathau","1","11","1936.127","1936.127","1936.127","1936.127","438382592","504680448"
"yune","track-b-product","jyut6ping3_mobile","key_sequence_process_with_context","ngohaig","1","7","1715.400","1715.400","1715.400","1715.400","436224000","504680448"
"yune","track-b-product","jyut6ping3_mobile","session_create_select_destroy","","1","1","227527.900","227527.900","227527.900","227527.900","419127296","504680448"
"yune","track-b-product","jyut6ping3_mobile","startup_warm_shared_assets_runtime_ready","","1","1","1270692.400","1270692.400","1270692.400","1270692.400","428691456","504680448"
