input_id,characters,owned_candidates,byte_backed_candidates,owned_table_entries_considered,byte_backed_table_entries_considered,byte_vs_owned_table_entries_ratio,owned_graph_entries_inserted,byte_backed_graph_entries_inserted,byte_vs_owned_graph_entries_ratio,owned_dp_states_created,byte_backed_dp_states_created,byte_vs_owned_dp_states_ratio,scope
m55_37,37,5,5,7,91,13.0,7,99,14.143,1,19,19.0,fixture logical counts; debug nanoseconds excluded
m55_59,59,5,5,7,161,23.0,8,174,21.75,2,34,17.0,fixture logical counts; debug nanoseconds excluded
