engine,track,schema_id,workload,input,sample_index,operation_count,process_key_calls,process_key_ns,translator_calls,translator_ns,lookup_views_visited,owned_candidates_materialized,candidates_sorted,candidate_sort_ns,userdb_merge_ns,filter_pipeline_ns,ranker_pipeline_ns,ai_merge_ns,candidates_stored,context_full_snapshot_candidates_cloned,context_page_snapshot_candidates_cloned,abi_get_context_calls,abi_get_context_ns,abi_candidates_exported,abi_free_context_calls,abi_free_context_ns
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,hao,8,3,3,14840000,9,10600300,18870,11240,4852,88000,4500,367300,200,211400,4852,0,5,1,2194700,5,1,500
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,hao,9,3,3,16620300,9,11620600,18870,11240,4852,93800,5500,431500,0,342800,4852,0,5,1,1743500,5,1,500
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,hao,10,3,3,17191500,9,11167400,18870,11240,4852,88800,4600,373300,200,317900,4852,0,5,1,1704600,5,1,300
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,hao,11,3,3,16285600,9,10934800,18870,11240,4852,89900,6000,333900,100,508700,4852,0,5,1,1553200,5,1,400
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,hao,12,3,3,14588400,9,9980700,18870,11240,4852,89900,4500,396500,100,267400,4852,0,5,1,1882000,5,1,300
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,hao,13,3,3,16053700,9,10698300,18870,11240,4852,88100,6900,719100,200,302200,4852,0,5,1,2373600,5,1,300
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,hao,14,3,3,15760600,9,11053200,18870,11240,4852,93900,5500,618700,100,212600,4852,0,5,1,1936500,5,1,400
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,hao,15,3,3,15044600,9,9800000,18870,11240,4852,92600,5300,694000,0,363100,4852,0,5,1,2502200,5,1,500
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,hao,16,3,3,15061600,9,9560900,18870,11240,4852,88700,4800,304800,200,451500,4852,0,5,1,2774900,5,1,500
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,hao,17,3,3,18455900,9,13096400,18870,11240,4852,177500,5100,475900,100,342900,4852,0,5,1,2224600,5,1,400
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,hao,18,3,3,17824800,9,13744300,18870,11240,4852,90000,4800,418500,200,239300,4852,0,5,1,1658400,5,1,500
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,hao,19,3,3,17556300,9,11898400,18870,11240,4852,91100,5900,384800,100,285200,4852,0,5,1,2372300,5,1,300
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,zhongguo,0,8,8,48813200,24,33886000,52945,31611,11037,208800,11500,1254200,200,788200,11037,0,4,1,2648500,4,1,500
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,zhongguo,1,8,8,56555900,24,36594400,52945,31611,11037,331100,13600,2003000,200,872800,11037,0,4,1,1970400,4,1,700
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,zhongguo,2,8,8,55783600,24,37057700,52945,31611,11037,218100,13200,1946200,200,1008200,11037,0,4,1,1546300,4,1,300
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,zhongguo,3,8,8,48255900,24,32834100,52945,31611,11037,206900,11600,1245800,100,816200,11037,0,4,1,1354000,4,1,300
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,zhongguo,4,8,8,46918200,24,31748600,52945,31611,11037,294700,13800,1198700,300,634500,11037,0,4,1,1378200,4,1,300
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,zhongguo,5,8,8,50127500,24,33000100,52945,31611,11037,219800,15000,1117700,100,1010500,11037,0,4,1,2384100,4,1,400
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,zhongguo,6,8,8,50535200,24,33410900,52945,31611,11037,217900,13500,1239800,300,798400,11037,0,4,1,1571600,4,1,400
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,zhongguo,7,8,8,48450300,24,32407800,52945,31611,11037,280800,14200,1244300,100,883000,11037,0,4,1,2414300,4,1,400
