"kind","workload","input","metric","observed","ceiling","unit","status","notes"
"latency_ratio","key_sequence_process_with_context","n","yune_librime_median_ratio","1.794","2.000","x","pass","M55 Tier M short-key ceiling; final same-run evidence must stay <=2.00x."
"latency_ratio","key_sequence_process_with_context","ni","yune_librime_median_ratio","1.039","2.000","x","pass","M55 Tier M short-key ceiling; final same-run evidence must stay <=2.00x."
"latency_ratio","key_sequence_process_with_context","hao","yune_librime_median_ratio","0.815","1.750","x","pass","M55 Tier M short-key ceiling; final same-run evidence must stay <=1.75x."
"latency_ratio","key_sequence_process_with_context","ceshiyixiachangjushuruxingnengzenyang","yune_librime_median_ratio","0.237","1.500","x","pass","M55 Tier M 37-character Luna ceiling; final same-run evidence must stay <=1.50x."
"latency_ratio","key_sequence_process_with_context","zhegeyinqingqishiyinggaizhichichaochangjuzishurucainengyong","yune_librime_median_ratio","0.086","1.500","x","pass","M55 Tier M 59-character Luna ceiling; final same-run evidence must stay <=1.50x."
"memory_peak","","","track_a_peak_working_set_bytes","113397760","118831104","bytes","pass","M55 byte-backed default-flip ceiling: worst of two green flag-on runs x 1.05; below the 125 MB Tier M bar."
"latency_ratio","key_sequence_process_with_context","zhongguo","yune_librime_median_ratio","0.038","0.325","x","pass","M55 Phase 0 win-row ceiling after null-grammar fast-path fix: min(0.95x, worst-of-3 fixed baseline x 1.20); must remain <1.00x."
"latency_ratio","key_sequence_process_with_context","cszysmsrsd","yune_librime_median_ratio","0.090","0.532","x","pass","M55 Phase 0 win-row ceiling after null-grammar fast-path fix: min(0.95x, worst-of-3 fixed baseline x 1.20); must remain <1.00x."
"latency_ratio","key_sequence_process_with_context","zybfshmsru","yune_librime_median_ratio","0.123","0.770","x","pass","M55 Phase 0 win-row ceiling after null-grammar fast-path fix: min(0.95x, worst-of-3 fixed baseline x 1.20); must remain <1.00x."
"latency_ratio","startup_warm_shared_assets_runtime_ready","","yune_librime_median_ratio","0.286","1.101","x","pass","M55 Phase 0 startup/session ratio ceiling after null-grammar fast-path fix: worst-of-3 fixed baseline x 1.10; ratio spread <=10%."
"latency_absolute_us","session_create_select_destroy","","median_us","6679.500","25533.310","us","pass","M55 Phase 0 startup/session absolute ceiling after null-grammar fast-path fix: ratio spread 12.2% exceeded 10%; worst-of-3 Yune median x 1.10."
"latency_absolute_us","track-b-product/key_sequence_process_with_context","neigojangingkeisatjinggoiziwunciucoenggeoizisyujapsinhojijung","median_us","316.282","375.253","us","pass","M55 Phase 0 Track B product absolute ceiling after null-grammar fast-path fix: worst-of-3 fixed baseline x 1.10; regression guard only, no TypeDuck speed claim."
"memory_absolute_bytes","track-b-product/key_sequence_process_with_context","neigojangingkeisatjinggoiziwunciucoenggeoizisyujapsinhojijung","median_working_set_bytes","80150528","280518656","bytes","pass","M55 Phase 0 Track B product absolute ceiling after null-grammar fast-path fix: worst-of-3 fixed baseline x 1.10; regression guard only, no TypeDuck speed claim."
"memory_absolute_bytes","track-b-product/key_sequence_process_with_context","neigojangingkeisatjinggoiziwunciucoenggeoizisyujapsinhojijung","max_peak_working_set_bytes","511053824","564065075","bytes","pass","M55 Phase 0 Track B product absolute ceiling after null-grammar fast-path fix: worst-of-3 fixed baseline x 1.10; regression guard only, no TypeDuck speed claim."
"memory_absolute_bytes","track-b-product/key_sequence_process_with_context","neigojangingkeisatjinggoiziwunciucoenggeoizisyujapsinhojijung","median_private_bytes","36982784","200620851","bytes","pass","M55 Phase 0 Track B product absolute ceiling after null-grammar fast-path fix: worst-of-3 fixed baseline x 1.10; regression guard only, no TypeDuck speed claim."
"latency_absolute_us","track-b-product/session_create_select_destroy","","median_us","31279.700","109795.290","us","pass","M55 Phase 0 Track B product absolute ceiling after null-grammar fast-path fix: worst-of-3 fixed baseline x 1.10; regression guard only, no TypeDuck speed claim."
"memory_absolute_bytes","track-b-product/session_create_select_destroy","","median_working_set_bytes","61550592","248524390","bytes","pass","M55 Phase 0 Track B product absolute ceiling after null-grammar fast-path fix: worst-of-3 fixed baseline x 1.10; regression guard only, no TypeDuck speed claim."
"memory_absolute_bytes","track-b-product/session_create_select_destroy","","max_peak_working_set_bytes","511053824","564065075","bytes","pass","M55 Phase 0 Track B product absolute ceiling after null-grammar fast-path fix: worst-of-3 fixed baseline x 1.10; regression guard only, no TypeDuck speed claim."
"memory_absolute_bytes","track-b-product/session_create_select_destroy","","median_private_bytes","31408128","195078963","bytes","pass","M55 Phase 0 Track B product absolute ceiling after null-grammar fast-path fix: worst-of-3 fixed baseline x 1.10; regression guard only, no TypeDuck speed claim."
"latency_absolute_us","track-b-product/startup_warm_shared_assets_runtime_ready","","median_us","30114.800","107085.000","us","pass","M55 Phase 0 Track B product absolute ceiling after null-grammar fast-path fix: worst-of-3 fixed baseline x 1.10; regression guard only, no TypeDuck speed claim."
"memory_absolute_bytes","track-b-product/startup_warm_shared_assets_runtime_ready","","median_working_set_bytes","78422016","279919411","bytes","pass","M55 Phase 0 Track B product absolute ceiling after null-grammar fast-path fix: worst-of-3 fixed baseline x 1.10; regression guard only, no TypeDuck speed claim."
"memory_absolute_bytes","track-b-product/startup_warm_shared_assets_runtime_ready","","max_peak_working_set_bytes","511053824","564065075","bytes","pass","M55 Phase 0 Track B product absolute ceiling after null-grammar fast-path fix: worst-of-3 fixed baseline x 1.10; regression guard only, no TypeDuck speed claim."
"memory_absolute_bytes","track-b-product/startup_warm_shared_assets_runtime_ready","","median_private_bytes","35782656","200571290","bytes","pass","M55 Phase 0 Track B product absolute ceiling after null-grammar fast-path fix: worst-of-3 fixed baseline x 1.10; regression guard only, no TypeDuck speed claim."
