run,artifact,kind,path,sha256,normalized_sha256,variance_note,bytes,file_count
1,track_a_yune_dylib,file,/Users/laufei/Documents/GitHub/yune-m59-post-fix-root-cause/target/macos-performance-verification/native-inprocess/run-1/track-a-yune/libyune_rime_api.dylib,3dd5a414c68f7884884c5dc172b3f0b088d1f5ae19cb983eb0eeb2f95bc6c710,3dd5a414c68f7884884c5dc172b3f0b088d1f5ae19cb983eb0eeb2f95bc6c710,,3506816,1
1,track_a_librime_dylib,file,/Users/laufei/Documents/GitHub/yune-m59-post-fix-root-cause/target/macos-performance-verification/native-inprocess/run-1/track-a-librime-1.17.0/librime.1.17.0.dylib,743acf3e3a0b64f94680a2f822b00ae42d35ce1e2ab3c8994441bc305adaf8f6,743acf3e3a0b64f94680a2f822b00ae42d35ce1e2ab3c8994441bc305adaf8f6,,3506560,1
1,track_b_yune_dylib,file,/Users/laufei/Documents/GitHub/yune-m59-post-fix-root-cause/target/macos-performance-verification/native-inprocess/run-1/track-b-yune-product/libyune_rime_api.dylib,3dd5a414c68f7884884c5dc172b3f0b088d1f5ae19cb983eb0eeb2f95bc6c710,3dd5a414c68f7884884c5dc172b3f0b088d1f5ae19cb983eb0eeb2f95bc6c710,,3506816,1
1,track_a_yune_table,file,/Users/laufei/Documents/GitHub/yune-m59-post-fix-root-cause/target/macos-performance-verification/native-inprocess/run-1/track-a-yune/user/build/luna_pinyin.table.bin,f02167fd4b3abe4277e0723cf8f3f3a5bfb040583662f73b1056caeedb0a0edd,f02167fd4b3abe4277e0723cf8f3f3a5bfb040583662f73b1056caeedb0a0edd,,13013460,1
1,track_a_yune_prism,file,/Users/laufei/Documents/GitHub/yune-m59-post-fix-root-cause/target/macos-performance-verification/native-inprocess/run-1/track-a-yune/user/build/luna_pinyin.prism.bin,e6e3223b9c9820a807282a41a395bce5dbf47a9984af5b4ed7e0cb720490ecb3,d804724b7dbc4e03c6a968e28fe60eb21af6be4dc550f45d540dc4c16068ecac,schema_file_checksum uint32 at byte offsets 36..39 zeroed in normalized hash,31728,1
1,track_a_yune_reverse,file,/Users/laufei/Documents/GitHub/yune-m59-post-fix-root-cause/target/macos-performance-verification/native-inprocess/run-1/track-a-yune/user/build/luna_pinyin.reverse.bin,793ac07b0f3bfd559d7b641c3f2fad617de25829c457b24fce7170f4394806e8,793ac07b0f3bfd559d7b641c3f2fad617de25829c457b24fce7170f4394806e8,,252756,1
1,track_a_yune_poet,file,/Users/laufei/Documents/GitHub/yune-m59-post-fix-root-cause/target/macos-performance-verification/native-inprocess/run-1/track-a-yune/user/build/luna_pinyin.poet.bin,de2720500f6d6c5cb4a7df9128253ef3fa3edf830b1355804a5403f382e12ca6,de2720500f6d6c5cb4a7df9128253ef3fa3edf830b1355804a5403f382e12ca6,,28619173,1
1,track_a_yune_staged_table,file,/Users/laufei/Documents/GitHub/yune-m59-post-fix-root-cause/target/macos-performance-verification/native-inprocess/run-1/track-a-yune-original-build/luna_pinyin.table.bin,f02167fd4b3abe4277e0723cf8f3f3a5bfb040583662f73b1056caeedb0a0edd,f02167fd4b3abe4277e0723cf8f3f3a5bfb040583662f73b1056caeedb0a0edd,,13013460,1
1,track_a_yune_staged_prism,file,/Users/laufei/Documents/GitHub/yune-m59-post-fix-root-cause/target/macos-performance-verification/native-inprocess/run-1/track-a-yune-original-build/luna_pinyin.prism.bin,e6e3223b9c9820a807282a41a395bce5dbf47a9984af5b4ed7e0cb720490ecb3,d804724b7dbc4e03c6a968e28fe60eb21af6be4dc550f45d540dc4c16068ecac,schema_file_checksum uint32 at byte offsets 36..39 zeroed in normalized hash,31728,1
1,track_a_yune_staged_reverse,file,/Users/laufei/Documents/GitHub/yune-m59-post-fix-root-cause/target/macos-performance-verification/native-inprocess/run-1/track-a-yune-original-build/luna_pinyin.reverse.bin,793ac07b0f3bfd559d7b641c3f2fad617de25829c457b24fce7170f4394806e8,793ac07b0f3bfd559d7b641c3f2fad617de25829c457b24fce7170f4394806e8,,252756,1
1,track_a_yune_staged_poet,file,/Users/laufei/Documents/GitHub/yune-m59-post-fix-root-cause/target/macos-performance-verification/native-inprocess/run-1/track-a-yune-luna_pinyin.poet.bin,de2720500f6d6c5cb4a7df9128253ef3fa3edf830b1355804a5403f382e12ca6,de2720500f6d6c5cb4a7df9128253ef3fa3edf830b1355804a5403f382e12ca6,,28619173,1
1,track_a_librime_table,file,/Users/laufei/Documents/GitHub/yune-m59-post-fix-root-cause/target/macos-performance-verification/native-inprocess/run-1/track-a-librime-1.17.0/user/build/luna_pinyin.table.bin,f02167fd4b3abe4277e0723cf8f3f3a5bfb040583662f73b1056caeedb0a0edd,f02167fd4b3abe4277e0723cf8f3f3a5bfb040583662f73b1056caeedb0a0edd,,13013460,1
1,track_a_librime_prism,file,/Users/laufei/Documents/GitHub/yune-m59-post-fix-root-cause/target/macos-performance-verification/native-inprocess/run-1/track-a-librime-1.17.0/user/build/luna_pinyin.prism.bin,e6e3223b9c9820a807282a41a395bce5dbf47a9984af5b4ed7e0cb720490ecb3,d804724b7dbc4e03c6a968e28fe60eb21af6be4dc550f45d540dc4c16068ecac,schema_file_checksum uint32 at byte offsets 36..39 zeroed in normalized hash,31728,1
1,track_a_librime_reverse,file,/Users/laufei/Documents/GitHub/yune-m59-post-fix-root-cause/target/macos-performance-verification/native-inprocess/run-1/track-a-librime-1.17.0/user/build/luna_pinyin.reverse.bin,793ac07b0f3bfd559d7b641c3f2fad617de25829c457b24fce7170f4394806e8,793ac07b0f3bfd559d7b641c3f2fad617de25829c457b24fce7170f4394806e8,,252756,1
1,track_b_jyut6ping3_table,file,/Users/laufei/Documents/GitHub/yune-m59-post-fix-root-cause/target/macos-performance-verification/native-inprocess/run-1/track-b-yune-product/user/build/jyut6ping3.table.bin,f68034879840f5e3b4877f44a2f5c13decf9ed2d58c6129726e2589b1c8102a9,f68034879840f5e3b4877f44a2f5c13decf9ed2d58c6129726e2589b1c8102a9,,15248410,1
1,track_b_jyut6ping3_prism,file,/Users/laufei/Documents/GitHub/yune-m59-post-fix-root-cause/target/macos-performance-verification/native-inprocess/run-1/track-b-yune-product/user/build/jyut6ping3_mobile.prism.bin,26d30c52ea35c6d72e63f0e8261f2ca4a6b6e43a82e1572b0a3c803ec29fe6b2,26d30c52ea35c6d72e63f0e8261f2ca4a6b6e43a82e1572b0a3c803ec29fe6b2,,32140173,1
1,track_b_jyut6ping3_reverse,file,/Users/laufei/Documents/GitHub/yune-m59-post-fix-root-cause/target/macos-performance-verification/native-inprocess/run-1/track-b-yune-product/user/build/jyut6ping3.reverse.bin,081085514b906a8e8d7d809468afa8226636b1e3d1a3c14fe70c58a987c9cba5,081085514b906a8e8d7d809468afa8226636b1e3d1a3c14fe70c58a987c9cba5,,3592525,1
