scenarioId,sampleIndex,schema,appSchema,mode,publicDemo,readyToInputMs,startupCompleteMs,cacheHits,cacheMisses,cacheErrors,transferBytes,encodedBytes,wasmHeapBytes,peakWasmHeapBytes,wasmMemoryMarkerCount,firstKeyMedianMs,firstKeyP95Ms,firstKeyPeakWasmHeapBytes
tracked-luna-cold,0,luna_pinyin,luna_pinyin,real-worker-cold,false,3939,565,0,0,0,36594991,36593791,167772160,167772160,12,33,90,167772160
tracked-luna-cold,1,luna_pinyin,luna_pinyin,real-worker-cold,false,1213,563,0,0,0,36594991,36593791,167772160,167772160,12,36,146,167772160
tracked-luna-cold,2,luna_pinyin,luna_pinyin,real-worker-cold,false,1216,592,0,0,0,36594991,36593791,167772160,167772160,12,26,96,167772160
tracked-luna-warm-reload,0,luna_pinyin,luna_pinyin,real-worker-warm-reload,false,602,537,0,0,0,0,36875347,167772160,167772160,12,38,117,167772160
tracked-luna-warm-reload,1,luna_pinyin,luna_pinyin,real-worker-warm-reload,false,603,544,0,0,0,0,36875347,167772160,167772160,12,38,134,167772160
tracked-luna-warm-reload,2,luna_pinyin,luna_pinyin,real-worker-warm-reload,false,599,534,0,0,0,0,36875335,167772160,167772160,12,39,117,167772160
tracked-luna-warm-new-page,0,luna_pinyin,luna_pinyin,real-worker-warm-new-page,false,651,535,0,0,0,0,36593791,167772160,167772160,12,38,132,167772160
tracked-luna-warm-new-page,1,luna_pinyin,luna_pinyin,real-worker-warm-new-page,false,667,555,0,0,0,0,36593791,167772160,167772160,12,39,117,167772160
tracked-luna-warm-new-page,2,luna_pinyin,luna_pinyin,real-worker-warm-new-page,false,650,547,0,0,0,0,36593791,167772160,167772160,12,37,116,167772160
tracked-jyut-cold,0,jyut6ping3_mobile,jyut6ping3,real-worker-cold,false,6218,5579,0,0,0,33359106,33357906,936509440,936509440,12,51,76,936509440
tracked-jyut-cold,1,jyut6ping3_mobile,jyut6ping3,real-worker-cold,false,5876,5243,0,0,0,33359106,33357906,936509440,936509440,12,45,86,936509440
tracked-jyut-cold,2,jyut6ping3_mobile,jyut6ping3,real-worker-cold,false,5890,5282,0,0,0,33359106,33357906,936509440,936509440,12,41,53,936509440
tracked-jyut-warm-reload,0,jyut6ping3_mobile,jyut6ping3,real-worker-warm-reload,false,4882,4824,0,0,0,0,36666793,936509440,936509440,12,49,94,936509440
tracked-jyut-warm-reload,1,jyut6ping3_mobile,jyut6ping3,real-worker-warm-reload,false,5234,5164,0,0,0,0,36666793,936509440,936509440,12,44,113,936509440
tracked-jyut-warm-reload,2,jyut6ping3_mobile,jyut6ping3,real-worker-warm-reload,false,5168,5102,0,0,0,0,36666793,936509440,936509440,12,47,86,936509440
tracked-jyut-warm-new-page,0,jyut6ping3_mobile,jyut6ping3,real-worker-warm-new-page,false,4837,4728,0,0,0,0,33357906,936509440,936509440,12,42,99,936509440
tracked-jyut-warm-new-page,1,jyut6ping3_mobile,jyut6ping3,real-worker-warm-new-page,false,4854,4755,0,0,0,0,33357906,936509440,936509440,12,47,141,936509440
tracked-jyut-warm-new-page,2,jyut6ping3_mobile,jyut6ping3,real-worker-warm-new-page,false,5336,5233,0,0,0,0,33357906,936509440,936509440,12,40,53,936509440
tracked-mock-cold,0,luna_pinyin,luna_pinyin,mock-worker-cold,false,625,0,0,0,0,747840,746640,0,0,0,26,26,0
tracked-mock-cold,1,luna_pinyin,luna_pinyin,mock-worker-cold,false,604,0,0,0,0,747840,746640,0,0,0,26,26,0
tracked-mock-cold,2,luna_pinyin,luna_pinyin,mock-worker-cold,false,629,0,0,0,0,747840,746640,0,0,0,26,26,0
tracked-mock-warm,0,luna_pinyin,luna_pinyin,mock-worker-warm,false,415,0,0,0,0,747840,746640,0,0,0,13,13,0
tracked-mock-warm,1,luna_pinyin,luna_pinyin,mock-worker-warm,false,422,0,0,0,0,747840,746640,0,0,0,26,26,0
tracked-mock-warm,2,luna_pinyin,luna_pinyin,mock-worker-warm,false,402,0,0,0,0,747840,746640,0,0,0,29,29,0
public-luna-cold,0,luna_pinyin,luna_pinyin,real-worker-cold,true,1227,608,2,24,0,36594931,36593731,167772160,167772160,12,29,89,167772160
public-luna-cold,1,luna_pinyin,luna_pinyin,real-worker-cold,true,1207,598,2,24,0,36594931,36593731,167772160,167772160,12,41,103,167772160
public-luna-cold,2,luna_pinyin,luna_pinyin,real-worker-cold,true,1180,588,2,24,0,36594931,36593731,167772160,167772160,12,24,120,167772160
public-jyut-cold,0,jyut6ping3_mobile,jyut6ping3,real-worker-cold,true,5789,5185,1,35,0,33359046,33357846,936509440,936509440,12,46,155,936509440
public-jyut-cold,1,jyut6ping3_mobile,jyut6ping3,real-worker-cold,true,5608,4989,1,35,0,33359046,33357846,936509440,936509440,12,40,100,936509440
public-jyut-cold,2,jyut6ping3_mobile,jyut6ping3,real-worker-cold,true,5421,4832,1,35,0,33359046,33357846,936509440,936509440,12,44,99,936509440
