"engine","track","schema_id","workload","input","samples","operations","median_us","p95_us","p99_us","max_us","median_working_set_bytes","max_peak_working_set_bytes"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","hao","20","60","11.867","14.733","14.733","14.733","12386304","14225408"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","ni","20","40","14.600","17.450","17.450","17.450","12201984","14098432"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","zhongguo","20","160","183.438","191.725","191.725","191.725","13258752","14233600"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","20","20","26483.400","31961.900","31961.900","31961.900","10977280","14098432"
"librime-1.17.0","track-a-comparison","luna_pinyin","startup_warm_shared_assets_runtime_ready","","5","5","26280.300","51270.400","51270.400","51270.400","11444224","13918208"
"yune","track-a-comparison","luna_pinyin","key_sequence_process_with_context","hao","20","60","4372.233","5112.200","5112.200","5112.200","161812480","171839488"
"yune","track-a-comparison","luna_pinyin","key_sequence_process_with_context","ni","20","40","3103.600","3624.600","3624.600","3624.600","161550336","171839488"
"yune","track-a-comparison","luna_pinyin","key_sequence_process_with_context","zhongguo","20","160","4964.700","5560.350","5560.350","5560.350","161685504","171839488"
"yune","track-a-comparison","luna_pinyin","session_create_select_destroy","","20","20","48847.600","53824.700","53824.700","53824.700","160665600","171839488"
"yune","track-a-comparison","luna_pinyin","startup_warm_shared_assets_runtime_ready","","5","5","53746.400","824171.600","824171.600","824171.600","160501760","171839488"
"yune","track-b-product","jyut6ping3_mobile","key_sequence_process_with_context","hai","20","60","21422.767","24175.600","24175.600","24175.600","778993664","928235520"
"yune","track-b-product","jyut6ping3_mobile","key_sequence_process_with_context","jigaajiusihaa","20","260","7846.092","8525.162","8525.162","8525.162","779010048","928235520"
"yune","track-b-product","jyut6ping3_mobile","key_sequence_process_with_context","loengjathau","20","220","5367.282","6199.827","6199.827","6199.827","779014144","928235520"
"yune","track-b-product","jyut6ping3_mobile","key_sequence_process_with_context","ngohaig","20","140","5024.800","5794.671","5794.671","5794.671","779010048","928235520"
"yune","track-b-product","jyut6ping3_mobile","session_create_select_destroy","","20","20","239550.900","251082.700","251082.700","251082.700","762359808","928235520"
"yune","track-b-product","jyut6ping3_mobile","startup_warm_shared_assets_runtime_ready","","5","5","194962.200","25017267.600","25017267.600","25017267.600","775208960","928235520"
