"engine","track","schema_id","workload","input","samples","operations","median_us","p95_us","p99_us","max_us","median_working_set_bytes","max_peak_working_set_bytes"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","hao","20","60","11.933","13.100","13.100","13.100","12263424","14233600"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","ni","20","40","15.000","15.650","15.650","15.650","12144640","14110720"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","zhongguo","20","160","230.650","351.113","351.113","351.113","13082624","14233600"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","20","20","33151.200","42401.000","42401.000","42401.000","10985472","14106624"
"librime-1.17.0","track-a-comparison","luna_pinyin","startup_warm_shared_assets_runtime_ready","","5","5","35745.300","63067.100","63067.100","63067.100","11468800","13959168"
"yune","track-a-comparison","luna_pinyin","key_sequence_process_with_context","hao","20","60","6046.700","7089.900","7089.900","7089.900","161640448","171786240"
"yune","track-a-comparison","luna_pinyin","key_sequence_process_with_context","ni","20","40","4877.400","5567.200","5567.200","5567.200","161538048","171786240"
"yune","track-a-comparison","luna_pinyin","key_sequence_process_with_context","zhongguo","20","160","6637.188","7012.188","7012.188","7012.188","161685504","171786240"
"yune","track-a-comparison","luna_pinyin","session_create_select_destroy","","20","20","66757.000","79202.300","79202.300","79202.300","161173504","171786240"
"yune","track-a-comparison","luna_pinyin","startup_warm_shared_assets_runtime_ready","","5","5","75890.900","1182538.000","1182538.000","1182538.000","161116160","171786240"
"yune","track-b-product","jyut6ping3_mobile","key_sequence_process_with_context","hai","20","60","7469.667","8613.100","8613.100","8613.100","775593984","928051200"
"yune","track-b-product","jyut6ping3_mobile","key_sequence_process_with_context","jigaajiusihaa","20","260","2954.900","3487.408","3487.408","3487.408","775630848","928051200"
"yune","track-b-product","jyut6ping3_mobile","key_sequence_process_with_context","loengjathau","20","220","2008.391","2121.445","2121.445","2121.445","775651328","928051200"
"yune","track-b-product","jyut6ping3_mobile","key_sequence_process_with_context","ngohaig","20","140","1743.971","1858.843","1858.843","1858.843","775618560","928051200"
"yune","track-b-product","jyut6ping3_mobile","session_create_select_destroy","","20","20","228470.900","249268.700","249268.700","249268.700","762568704","928051200"
"yune","track-b-product","jyut6ping3_mobile","startup_warm_shared_assets_runtime_ready","","5","5","194988.500","28377661.400","28377661.400","28377661.400","775417856","928051200"
