engine,workload,input,sample_index,operation_count,total_us,us_per_operation,before_working_set_bytes,after_ready_working_set_bytes,after_finalize_working_set_bytes,peak_working_set_bytes
yune,key_sequence_process_with_context,hao,15,3,13524.700,4508.233,171618304,171618304,0,182775808
yune,key_sequence_process_with_context,hao,16,3,12715.600,4238.533,171618304,171618304,0,182775808
yune,key_sequence_process_with_context,hao,17,3,12476.900,4158.967,171618304,171618304,0,182775808
yune,key_sequence_process_with_context,hao,18,3,12388.100,4129.367,171618304,171618304,0,182775808
yune,key_sequence_process_with_context,hao,19,3,12290.800,4096.933,171618304,171618304,0,182775808
yune,key_sequence_process_with_context,hao,20,3,12237.100,4079.033,171618304,171618304,0,182775808
yune,key_sequence_process_with_context,hao,21,3,12965.500,4321.833,171618304,171618304,0,182775808
yune,key_sequence_process_with_context,hao,22,3,12303.500,4101.167,171618304,171618304,0,182775808
yune,key_sequence_process_with_context,hao,23,3,12428.700,4142.900,171618304,171618304,0,182775808
yune,key_sequence_process_with_context,hao,24,3,12773.100,4257.700,171618304,171618304,0,182775808
yune,key_sequence_process_with_context,zhongguo,0,8,36856.000,4607.000,171638784,171638784,0,182775808
yune,key_sequence_process_with_context,zhongguo,1,8,37026.100,4628.263,171638784,171638784,0,182775808
yune,key_sequence_process_with_context,zhongguo,2,8,35067.700,4383.463,171638784,171638784,0,182775808
yune,key_sequence_process_with_context,zhongguo,3,8,34422.300,4302.788,171638784,171638784,0,182775808
yune,key_sequence_process_with_context,zhongguo,4,8,34531.600,4316.450,171638784,171638784,0,182775808
yune,key_sequence_process_with_context,zhongguo,5,8,34249.400,4281.175,171638784,171638784,0,182775808
yune,key_sequence_process_with_context,zhongguo,6,8,33651.000,4206.375,171638784,171638784,0,182775808
yune,key_sequence_process_with_context,zhongguo,7,8,33400.700,4175.088,171638784,171638784,0,182775808
yune,key_sequence_process_with_context,zhongguo,8,8,35277.400,4409.675,171638784,171638784,0,182775808
yune,key_sequence_process_with_context,zhongguo,9,8,41429.800,5178.725,171638784,171638784,0,182775808
yune,key_sequence_process_with_context,zhongguo,10,8,37656.800,4707.100,171638784,171638784,0,182775808
yune,key_sequence_process_with_context,zhongguo,11,8,37572.300,4696.538,171638784,171638784,0,182775808
yune,key_sequence_process_with_context,zhongguo,12,8,38511.700,4813.963,171638784,171638784,0,182775808
yune,key_sequence_process_with_context,zhongguo,13,8,38029.900,4753.738,171638784,171638784,0,182775808
yune,key_sequence_process_with_context,zhongguo,14,8,37566.500,4695.813,171638784,171638784,0,182775808
yune,key_sequence_process_with_context,zhongguo,15,8,38566.500,4820.813,171638784,171638784,0,182775808
yune,key_sequence_process_with_context,zhongguo,16,8,37766.500,4720.813,171638784,171638784,0,182775808
yune,key_sequence_process_with_context,zhongguo,17,8,36041.600,4505.200,171638784,171638784,0,182775808
yune,key_sequence_process_with_context,zhongguo,18,8,35696.300,4462.038,171638784,171638784,0,182775808
yune,key_sequence_process_with_context,zhongguo,19,8,39333.800,4916.725,171638784,171638784,0,182775808
yune,key_sequence_process_with_context,zhongguo,20,8,37705.900,4713.238,171638784,171638784,0,182775808
yune,key_sequence_process_with_context,zhongguo,21,8,38311.300,4788.913,171638784,171638784,0,182775808
yune,key_sequence_process_with_context,zhongguo,22,8,42548.500,5318.563,171646976,171646976,0,182775808
yune,key_sequence_process_with_context,zhongguo,23,8,41262.800,5157.850,171646976,171646976,0,182775808
yune,key_sequence_process_with_context,zhongguo,24,8,40692.300,5086.538,171646976,171646976,0,182775808
