build,publicDemo,family,schema,samples,initialized,medianReadyToInputMs,p95ReadyToInputMs,medianInputToCandidateMs,medianCommitMs,medianWasmReadyBytes,medianWasmPeakBytes,maxWasmPeakBytes,medianSteadyStateBytes,medianLoadedSharedAssetBytes,medianRequestedFamilyBytes,medianUniqueEncodedResourceBytes,medianJSHeapUsedBytes,medianStorageUsageBytes,loadedAssetCount,loadedAssets,consoleErrors
tracked-dist,false,luna-core,luna_pinyin,1,1,1003,1003,79,17,67108864,67108864,67108864,67108864,27380264,27380264,30870592,4722164,15881,23,"[""default.custom.yaml"",""pinyin.yaml"",""key_bindings.yaml"",""punctuation.yaml"",""symbols.yaml"",""essay.txt"",""luna_pinyin.schema.yaml"",""luna_pinyin.dict.yaml"",""luna_pinyin.table.bin"",""luna_pinyin.reverse.bin"",""luna_pinyin.prism.bin"",""stroke.schema.yaml"",""stroke.dict.yaml"",""stroke.table.bin"",""stroke.reverse.bin"",""stroke.prism.bin"",""opencc/t2hk.json"",""opencc/t2s.json"",""opencc/t2tw.json"",""opencc/HKVariants.ocd2"",""opencc/TSCharacters.ocd2"",""opencc/TSPhrases.ocd2"",""opencc/TWVariants.ocd2""]",[]
public-demo-dist,true,luna-core,luna_pinyin,1,1,989,989,79,122,67108864,67108864,67108864,67108864,27380264,27380264,30882773,4727244,27427857,23,"[""default.custom.yaml"",""pinyin.yaml"",""key_bindings.yaml"",""punctuation.yaml"",""symbols.yaml"",""essay.txt"",""luna_pinyin.schema.yaml"",""luna_pinyin.dict.yaml"",""luna_pinyin.table.bin"",""luna_pinyin.reverse.bin"",""luna_pinyin.prism.bin"",""stroke.schema.yaml"",""stroke.dict.yaml"",""stroke.table.bin"",""stroke.reverse.bin"",""stroke.prism.bin"",""opencc/t2hk.json"",""opencc/t2s.json"",""opencc/t2tw.json"",""opencc/HKVariants.ocd2"",""opencc/TSCharacters.ocd2"",""opencc/TSPhrases.ocd2"",""opencc/TWVariants.ocd2""]",[]
tracked-dist,false,jyutping-core,jyut6ping3_mobile,1,1,1003,1003,69,121,167772160,167772160,167772160,167772160,38165332,38165332,45140189,4905400,23926,10,"[""default.custom.yaml"",""common.yaml"",""common.custom.yaml"",""include.yaml"",""template.yaml"",""jyut6ping3.schema.yaml"",""jyut6ping3_mobile.schema.yaml"",""jyut6ping3.table.bin"",""jyut6ping3.reverse.bin"",""jyut6ping3_mobile.prism.bin""]",[]
public-demo-dist,true,jyutping-core,jyut6ping3_mobile,1,1,1096,1096,80,110,167772160,167772160,167772160,167772160,38165332,38165332,45152370,4916176,41695614,10,"[""default.custom.yaml"",""common.yaml"",""common.custom.yaml"",""include.yaml"",""template.yaml"",""jyut6ping3.schema.yaml"",""jyut6ping3_mobile.schema.yaml"",""jyut6ping3.table.bin"",""jyut6ping3.reverse.bin"",""jyut6ping3_mobile.prism.bin""]",[]
tracked-dist,false,jyutping-scolar,jyut6ping3_mobile,1,1,1123,1123,104,107,167772160,167772160,167772160,167772160,57772609,57772609,64747466,4952448,23930,15,"[""default.custom.yaml"",""common.yaml"",""common.custom.yaml"",""include.yaml"",""template.yaml"",""jyut6ping3.schema.yaml"",""jyut6ping3_mobile.schema.yaml"",""jyut6ping3.table.bin"",""jyut6ping3.reverse.bin"",""jyut6ping3_mobile.prism.bin"",""jyut6ping3_scolar.schema.yaml"",""jyut6ping3_scolar.dict.yaml"",""jyut6ping3_scolar.table.bin"",""jyut6ping3_scolar.reverse.bin"",""jyut6ping3_scolar.prism.bin""]",[]
public-demo-dist,true,jyutping-scolar,jyut6ping3_mobile,1,1,1289,1289,89,117,167772160,167772160,167772160,167772160,57772609,57772609,64759647,4952056,61308802,15,"[""default.custom.yaml"",""common.yaml"",""common.custom.yaml"",""include.yaml"",""template.yaml"",""jyut6ping3.schema.yaml"",""jyut6ping3_mobile.schema.yaml"",""jyut6ping3.table.bin"",""jyut6ping3.reverse.bin"",""jyut6ping3_mobile.prism.bin"",""jyut6ping3_scolar.schema.yaml"",""jyut6ping3_scolar.dict.yaml"",""jyut6ping3_scolar.table.bin"",""jyut6ping3_scolar.reverse.bin"",""jyut6ping3_scolar.prism.bin""]",[]
tracked-dist,false,reverse-lookup,jyut6ping3_mobile,1,1,1214,1214,93,106,167772160,167772160,167772160,167772160,41630571,53343254,48605428,4900300,23928,18,"[""default.custom.yaml"",""common.yaml"",""common.custom.yaml"",""include.yaml"",""template.yaml"",""jyut6ping3.schema.yaml"",""jyut6ping3_mobile.schema.yaml"",""jyut6ping3.table.bin"",""jyut6ping3.reverse.bin"",""jyut6ping3_mobile.prism.bin"",""loengfan.schema.yaml"",""loengfan.dict.yaml"",""cangjie3.schema.yaml"",""cangjie3.dict.yaml"",""cangjie5.schema.yaml"",""cangjie5.dict.yaml"",""luna_pinyin.dict.yaml"",""luna_pinyin_yune_reverse.dict.yaml""]",[]
public-demo-dist,true,reverse-lookup,jyut6ping3_mobile,1,1,3432,3432,71,106,167772160,167772160,167772160,167772160,41630571,53343254,48617609,4929040,45169536,18,"[""default.custom.yaml"",""common.yaml"",""common.custom.yaml"",""include.yaml"",""template.yaml"",""jyut6ping3.schema.yaml"",""jyut6ping3_mobile.schema.yaml"",""jyut6ping3.table.bin"",""jyut6ping3.reverse.bin"",""jyut6ping3_mobile.prism.bin"",""loengfan.schema.yaml"",""loengfan.dict.yaml"",""cangjie3.schema.yaml"",""cangjie3.dict.yaml"",""cangjie5.schema.yaml"",""cangjie5.dict.yaml"",""luna_pinyin.dict.yaml"",""luna_pinyin_yune_reverse.dict.yaml""]",[]
tracked-dist,false,opencc,jyut6ping3_mobile,1,1,1209,1209,69,111,167772160,167772160,167772160,167772160,38235649,38235649,45210506,4900316,23912,19,"[""default.custom.yaml"",""common.yaml"",""common.custom.yaml"",""include.yaml"",""template.yaml"",""jyut6ping3.schema.yaml"",""jyut6ping3_mobile.schema.yaml"",""jyut6ping3.table.bin"",""jyut6ping3.reverse.bin"",""jyut6ping3_mobile.prism.bin"",""opencc/t2hkf.json"",""opencc/HKVariantsFull.txt"",""opencc/t2s.json"",""opencc/t2tw.json"",""opencc/hk2s.json"",""opencc/HKVariantsRev.ocd2"",""opencc/HKVariantsRevPhrases.ocd2"",""opencc/TSCharacters.ocd2"",""opencc/TSPhrases.ocd2""]",[]
public-demo-dist,true,opencc,jyut6ping3_mobile,1,1,1541,1541,87,108,167772160,167772160,167772160,167772160,38235649,38235649,45222687,4931060,41775216,19,"[""default.custom.yaml"",""common.yaml"",""common.custom.yaml"",""include.yaml"",""template.yaml"",""jyut6ping3.schema.yaml"",""jyut6ping3_mobile.schema.yaml"",""jyut6ping3.table.bin"",""jyut6ping3.reverse.bin"",""jyut6ping3_mobile.prism.bin"",""opencc/t2hkf.json"",""opencc/HKVariantsFull.txt"",""opencc/t2s.json"",""opencc/t2tw.json"",""opencc/hk2s.json"",""opencc/HKVariantsRev.ocd2"",""opencc/HKVariantsRevPhrases.ocd2"",""opencc/TSCharacters.ocd2"",""opencc/TSPhrases.ocd2""]",[]
tracked-dist,false,extras,jyut6ping3_mobile,1,1,5232,5232,79,109,936509440,936509440,936509440,936509440,0,0,6976624,4968120,23912,0,[],[]
public-demo-dist,true,extras,jyut6ping3_mobile,1,1,5178,5178,72,117,936509440,936509440,936509440,936509440,0,0,6988805,5010672,3522416,0,[],[]
tracked-dist,false,full-jyutping,jyut6ping3_mobile,1,1,1205,1205,87,120,167772160,167772160,167772160,167772160,68725648,67834271,75700505,4989820,23926,35,"[""default.custom.yaml"",""common.yaml"",""common.custom.yaml"",""include.yaml"",""template.yaml"",""jyut6ping3.schema.yaml"",""jyut6ping3_mobile.schema.yaml"",""jyut6ping3_scolar.schema.yaml"",""jyut6ping3_scolar.dict.yaml"",""loengfan.schema.yaml"",""loengfan.dict.yaml"",""cangjie3.schema.yaml"",""cangjie3.dict.yaml"",""cangjie5.schema.yaml"",""cangjie5.dict.yaml"",""luna_pinyin.dict.yaml"",""luna_pinyin_yune_reverse.dict.yaml"",""luna_pinyin_yune_reverse.table.bin"",""luna_pinyin_yune_reverse.reverse.bin"",""luna_pinyin_yune_reverse.prism.bin"",""opencc/t2hkf.json"",""opencc/HKVariantsFull.txt"",""opencc/t2s.json"",""opencc/t2tw.json"",""opencc/hk2s.json"",""opencc/HKVariantsRev.ocd2"",""opencc/HKVariantsRevPhrases.ocd2"",""opencc/TSCharacters.ocd2"",""opencc/TSPhrases.ocd2"",""jyut6ping3.table.bin"",""jyut6ping3.reverse.bin"",""jyut6ping3_mobile.prism.bin"",""jyut6ping3_scolar.table.bin"",""jyut6ping3_scolar.reverse.bin"",""jyut6ping3_scolar.prism.bin""]",[]
public-demo-dist,true,full-jyutping,jyut6ping3_mobile,1,1,1306,1306,100,110,167772160,167772160,167772160,167772160,68725648,67834271,75712686,4951916,72283262,35,"[""default.custom.yaml"",""common.yaml"",""common.custom.yaml"",""include.yaml"",""template.yaml"",""jyut6ping3.schema.yaml"",""jyut6ping3_mobile.schema.yaml"",""jyut6ping3_scolar.schema.yaml"",""jyut6ping3_scolar.dict.yaml"",""loengfan.schema.yaml"",""loengfan.dict.yaml"",""cangjie3.schema.yaml"",""cangjie3.dict.yaml"",""cangjie5.schema.yaml"",""cangjie5.dict.yaml"",""luna_pinyin.dict.yaml"",""luna_pinyin_yune_reverse.dict.yaml"",""luna_pinyin_yune_reverse.table.bin"",""luna_pinyin_yune_reverse.reverse.bin"",""luna_pinyin_yune_reverse.prism.bin"",""opencc/t2hkf.json"",""opencc/HKVariantsFull.txt"",""opencc/t2s.json"",""opencc/t2tw.json"",""opencc/hk2s.json"",""opencc/HKVariantsRev.ocd2"",""opencc/HKVariantsRevPhrases.ocd2"",""opencc/TSCharacters.ocd2"",""opencc/TSPhrases.ocd2"",""jyut6ping3.table.bin"",""jyut6ping3.reverse.bin"",""jyut6ping3_mobile.prism.bin"",""jyut6ping3_scolar.table.bin"",""jyut6ping3_scolar.reverse.bin"",""jyut6ping3_scolar.prism.bin""]",[]
