input,driver_median_us_per_key_yune_librime_ratio,whole_process_real_us_per_measured_key_yune_librime_ratio,whole_process_cpu_us_per_measured_key_yune_librime_ratio,whole_process_instructions_per_measured_key_yune_librime_ratio,whole_process_cycles_per_measured_key_yune_librime_ratio,whole_process_cpi_yune_librime_ratio,maximum_resident_set_bytes_yune_librime_ratio,peak_memory_footprint_bytes_yune_librime_ratio,classification,caveat
n,7.686,9.092,10.704,8.682,10.730,1.236,18.283,23.451,verified,instruction/cycle/CPU counters include startup and warmups; high iteration counts amortize but do not subtract them
zh,3.811,4.714,5.048,4.092,5.061,1.237,17.441,24.421,verified,instruction/cycle/CPU counters include startup and warmups; high iteration counts amortize but do not subtract them
ceshiyixiachangjushuruxingnengzenyang,0.448,0.592,0.586,0.417,0.585,1.405,13.483,26.445,verified,instruction/cycle/CPU counters include startup and warmups; high iteration counts amortize but do not subtract them
zhegeyinqingqishiyinggaizhichichaochangjuzishurucainengyong,0.232,0.294,0.291,0.212,0.293,1.383,11.461,23.613,verified,instruction/cycle/CPU counters include startup and warmups; high iteration counts amortize but do not subtract them
