event_index,phase,working_set_bytes,working_set_mb,private_bytes,private_mb,peak_working_set_bytes,peak_working_set_mb,allocator_live_bytes,allocator_live_mb,allocator_high_water_bytes,allocator_high_water_mb,named_owner_bytes,clean_mmap_file_backed_estimate_bytes,conclusion
0,"m47:phase:baseline_process_start",5357568,5.1,794624,0.8,5357568,5.1,4163,0,9233,0,,,""
1,"m47:phase:after_temp_schema_copy",6696960,6.4,1036288,1,6696960,6.4,5749,0,26489,0,,,""
2,"m47:phase:after_setup",6885376,6.6,1036288,1,6885376,6.6,7327,0,26489,0,,,""
3,"m47:phase:after_initialize",6893568,6.6,1036288,1,6893568,6.6,7405,0,26489,0,,,""
4,"m47:phase:after_deploy",12341248,11.8,2490368,2.4,84979712,81,8056,0,62833086,59.9,,,""
5,"m47:translator:script_translator@translator:dictionary:jyut6ping3:before_dictionary_load",13647872,13,3190784,3,84979712,81,408485,0.4,62833086,59.9,,,""
6,"m47:compiled_dictionary:jyut6ping3:after_table_byte_source_open:table_bytes=15248382",17137664,16.3,6696960,6.4,84979712,81,3876382,3.7,62833086,59.9,,,""
7,"m47:compiled_dictionary:jyut6ping3:after_prism_byte_source_open:prism_bytes=19354757",17137664,16.3,6737920,6.4,84979712,81,3876586,3.7,62833086,59.9,,,""
8,"m47:compiled_dictionary:jyut6ping3:after_reverse_bytes_read:reverse_bytes=3592525",20733952,19.8,10338304,9.9,84979712,81,7469059,7.1,62833086,59.9,,,""
9,"m47:compiled_dictionary:jyut6ping3:after_reverse_dictionary_parse:lookup_texts=0:lookup_records=0",45625344,43.5,24965120,23.8,84979712,81,17211252,16.4,62833086,59.9,,,""
10,"m47:compact_table:after_lookup_record_payload_skip:lookup_texts=125487:lookup_records=127144",57126912,54.5,24965120,23.8,84979712,81,17211412,16.4,62833086,59.9,,,""
11,"m47:compiled_dictionary:jyut6ping3:after_table_advanced_payload_parse:lookup_texts=0:lookup_records=0",57126912,54.5,24965120,23.8,84979712,81,17211590,16.4,62833086,59.9,,,""
12,"m47:compiled_dictionary:jyut6ping3:after_compact_table_store_parse",74272768,70.8,39616512,37.8,84979712,81,29002408,27.7,62833086,59.9,,,""
13,"m47:translator:script_translator@translator:dictionary:jyut6ping3:after_dictionary_load",53686272,51.2,18751488,17.9,84979712,81,12201287,11.6,62833086,59.9,,,""
14,"m47:compact_table:after_all_codes_normal_codes_hashset:normal_codes=114653",59916288,57.1,24399872,23.3,84979712,81,16916217,16.1,62833086,59.9,,,""
15,"m47:translator:script_translator@translator:dictionary:jyut6ping3:after_translator_index_build",60743680,57.9,25047040,23.9,84979712,81,16968606,16.2,62833086,59.9,,,""
16,"m47:translator:script_translator@luna_pinyin:skip_translator_load:load_translator=false",60846080,58,25047040,23.9,84979712,81,16968253,16.2,62833086,59.9,,,""
17,"m47:filter:dictionary_lookup_filter@dictionary_lookup_filter:dictionary:jyut6ping3_scolar:skip_dictionary_load:load_lookup_records=false",60993536,58.2,25047040,23.9,84979712,81,16970141,16.2,62833086,59.9,,,""
18,"m47:phase:after_create_session",60321792,57.5,23756800,22.7,84979712,81,16745512,16,62833086,59.9,,,""
19,"m47:phase:after_select_schema",60657664,57.8,24178688,23.1,84979712,81,16745639,16,62833086,59.9,,,""
20,"m47:phase:after_typing_neihoumaa",61296640,58.5,24477696,23.3,84979712,81,16796233,16,62833086,59.9,,,""
21,"m47:phase:steady_after_esc",61296640,58.5,24477696,23.3,84979712,81,16795347,16,62833086,59.9,,,""
