engine,track,schema_id,workload,input,sample_index,operation_count,process_key_calls,process_key_ns,translator_calls,translator_ns,lookup_views_visited,owned_candidates_materialized,owned_candidate_materialization_ns,candidates_sorted,candidate_sort_ns,userdb_merge_ns,filter_pipeline_ns,ranker_pipeline_ns,ai_merge_ns,candidates_stored,context_full_snapshot_candidates_cloned,context_page_snapshot_candidates_cloned,abi_get_context_calls,abi_get_context_ns,abi_candidates_exported,abi_free_context_calls,abi_free_context_ns,candidate_request_bounded_calls,candidate_request_unbounded_calls,candidate_request_page_limit_total,candidate_request_surplus_total,bounded_iterator_calls,bounded_iterator_limit_total,bounded_iterator_selected_total,bounded_iterator_full_count_total,full_list_translation_calls,full_list_fallback_count,exact_lookup_calls,exact_lookup_ns,exact_lookup_candidates,prefix_lookup_calls,prefix_lookup_ns,prefix_lookup_candidates,heap_exact_lookup_calls,heap_prefix_lookup_calls,no_marisa_compact_exact_lookup_calls,no_marisa_compact_prefix_lookup_calls,rsmarisa_exact_lookup_calls,rsmarisa_prefix_lookup_calls,prism_lookup_calls,prism_lookup_ns,prism_lookup_codes,abi_c_string_allocations,abi_c_string_bytes,abi_c_string_allocation_ns,sentence_candidate_calls,sentence_candidate_ns,sentence_substrings_considered,sentence_exact_lookup_calls,sentence_exact_lookup_ns,sentence_exact_lookup_candidates,sentence_prefix_lookup_calls,sentence_prefix_lookup_ns,sentence_prefix_lookup_candidates,sentence_entry_matches_collected,sentence_path_clones,sentence_path_replacements,sentence_paths_pruned,sentence_max_live_paths,sentence_result_candidates,upstream_sentence_model_calls,upstream_sentence_model_ns,upstream_sentence_model_candidates,upstream_sentence_model_code_prefix_checks,upstream_sentence_model_table_entries_considered,upstream_sentence_model_vocabulary_entries_considered,upstream_sentence_model_graph_edges,upstream_sentence_model_index_build_calls,upstream_sentence_model_index_build_ns,upstream_sentence_model_exact_range_index_hits,upstream_sentence_model_exact_range_index_misses,upstream_sentence_model_prefix_filter_hits,upstream_sentence_model_prefix_filter_misses,upstream_sentence_model_prefix_filter_early_breaks,upstream_sentence_model_reachable_starts_visited,upstream_sentence_model_unreachable_starts_skipped,upstream_sentence_model_phrase_index_walk_calls,upstream_sentence_model_phrase_index_nodes_visited,upstream_sentence_model_phrase_index_entry_ranges_emitted,upstream_sentence_model_partition_point_fallback_calls,upstream_sentence_model_graph_rebuild_calls,upstream_sentence_model_graph_rebuild_ns,upstream_sentence_model_incremental_reuse_hits,upstream_sentence_model_incremental_extend_ns,upstream_sentence_model_incremental_discarded_rebuild_chars,prefix_fallback_calls,prefix_fallback_ns,prefix_fallback_views_visited,prefix_fallback_candidates,dynamic_correction_calls,dynamic_correction_ns,dynamic_correction_codes_considered,dynamic_correction_candidates
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,ngo,57,3,3,6043800,9,6011500,94496,60,3700,60,100,600,22500,100,1400,60,0,6,1,2200,6,1,100,3,0,15,45,3,60,60,7035,0,0,3,1291300,7033,3,4501400,5231,3,3,0,0,0,0,0,0,0,14,412,700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,ngo,58,3,3,6058200,9,6026100,94496,60,3700,60,200,600,22500,100,1400,60,0,6,1,2100,6,1,100,3,0,15,45,3,60,60,7035,0,0,3,1287500,7033,3,4519500,5231,3,3,0,0,0,0,0,0,0,14,412,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,ngo,59,3,3,6020800,9,5988400,94496,60,2800,60,100,800,22400,100,1400,60,0,6,1,2300,6,1,200,3,0,15,45,3,60,60,7035,0,0,3,1297400,7033,3,4471800,5231,3,3,0,0,0,0,0,0,0,14,412,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,ngo,60,3,3,6017100,9,5984800,94496,60,3500,60,100,600,22300,0,1300,60,0,6,1,2300,6,1,200,3,0,15,45,3,60,60,7035,0,0,3,1293000,7033,3,4471700,5231,3,3,0,0,0,0,0,0,0,14,412,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,ngo,61,3,3,6158100,9,6119400,94496,60,3700,60,100,600,27900,0,1900,60,0,6,1,2200,6,1,200,3,0,15,45,3,60,60,7035,0,0,3,1332000,7033,3,4566900,5231,3,3,0,0,0,0,0,0,0,14,412,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,ngo,62,3,3,6052500,9,6020000,94496,60,3000,60,100,600,22700,0,1300,60,0,6,1,2300,6,1,200,3,0,15,45,3,60,60,7035,0,0,3,1294900,7033,3,4504300,5231,3,3,0,0,0,0,0,0,0,14,412,700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,ngo,63,3,3,6071600,9,6038900,94496,60,3100,60,200,600,22600,0,1400,60,0,6,1,2500,6,1,200,3,0,15,45,3,60,60,7035,0,0,3,1304900,7033,3,4513700,5231,3,3,0,0,0,0,0,0,0,14,412,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,ngo,64,3,3,6042900,9,6010400,94496,60,3300,60,100,700,22900,0,1400,60,0,6,1,2200,6,1,200,3,0,15,45,3,60,60,7035,0,0,3,1300500,7033,3,4491400,5231,3,3,0,0,0,0,0,0,0,14,412,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,ngo,65,3,3,6042500,9,6009900,94496,60,3300,60,0,600,23000,0,1500,60,0,6,1,2100,6,1,200,3,0,15,45,3,60,60,7035,0,0,3,1298400,7033,3,4492500,5231,3,3,0,0,0,0,0,0,0,14,412,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,ngo,66,3,3,6069700,9,6037100,94496,60,3800,60,0,600,22800,100,1500,60,0,6,1,2100,6,1,200,3,0,15,45,3,60,60,7035,0,0,3,1296000,7033,3,4522100,5231,3,3,0,0,0,0,0,0,0,14,412,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,ngo,67,3,3,6100900,9,6068200,94496,60,3100,60,100,800,22600,0,1300,60,0,6,1,2400,6,1,200,3,0,15,45,3,60,60,7035,0,0,3,1324800,7033,3,4523700,5231,3,3,0,0,0,0,0,0,0,14,412,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,ngo,68,3,3,6077300,9,6044700,94496,60,4000,60,100,600,22600,200,1200,60,0,6,1,2200,6,1,200,3,0,15,45,3,60,60,7035,0,0,3,1289700,7033,3,4535900,5231,3,3,0,0,0,0,0,0,0,14,412,700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
