event_index,phase,working_set_bytes,working_set_mb,private_bytes,private_mb,peak_working_set_bytes,peak_working_set_mb,allocator_live_bytes,allocator_live_mb,allocator_high_water_bytes,allocator_high_water_mb,named_owner_bytes,clean_mmap_file_backed_estimate_bytes,conclusion
0,"m47:phase:baseline_process_start",5279744,5,786432,0.8,5279744,5,4163,0,9233,0,,,""
1,"m47:phase:after_temp_schema_copy",6426624,6.1,1032192,1,6426624,6.1,5749,0,26489,0,,,""
2,"m47:phase:after_setup",6631424,6.3,1032192,1,6631424,6.3,7327,0,26489,0,,,""
3,"m47:phase:after_initialize",6639616,6.3,1032192,1,6639616,6.3,7405,0,26489,0,,,""
4,"m47:deploy_workspace:start",6643712,6.3,1032192,1,6643712,6.3,7458,0,26489,0,,,""
5,"m47:deploy_workspace:after_installation_update",7122944,6.8,1007616,1,7151616,6.8,8142,0,61467,0.1,,,""
6,"m47:deploy:workspace_update:start",7131136,6.8,1007616,1,7151616,6.8,8175,0,61467,0.1,,,""
7,"m47:deploy:workspace_update:after_default_config",7815168,7.5,1277952,1.2,7942144,7.6,8223,0,391724,0.4,,,""
8,"m47:deploy:workspace_update:after_prebuilt_link_sync",7847936,7.5,1286144,1.2,7942144,7.6,8275,0,391724,0.4,,,""
9,"m47:deploy:workspace_update:after_schema_list:schema_count=1",8019968,7.6,1327104,1.3,8114176,7.7,112541,0.1,391724,0.4,,,""
10,"m47:deploy:luna_pinyin:after_staging_metadata:table=false:prism=false:reverse=false",10665984,10.2,4026368,3.8,10665984,10.2,1750240,1.7,1786504,1.7,,,""
11,"m47:deploy:luna_pinyin:after_prebuilt_metadata:table_bytes=4640486:prism_bytes=1642925:reverse_bytes=1263091",10727424,10.2,4026368,3.8,10727424,10.2,1750392,1.7,1786504,1.7,,,""
12,"m47:deploy:luna_pinyin:after_rebuild_plan:table=ReusedFresh:prism=ReusedFresh:reverse=ReusedFresh",10600448,10.1,3477504,3.3,11087872,10.6,1750498,1.7,2336866,2.2,,,""
13,"m47:deploy:jyut6ping3_scolar:after_staging_metadata:table=false:prism=false:reverse=false",16465920,15.7,9863168,9.4,16465920,15.7,7371017,7,7371153,7,,,""
14,"m47:deploy:jyut6ping3_scolar:after_prebuilt_metadata:table_bytes=12478842:prism_bytes=325:reverse_bytes=89",16531456,15.8,9863168,9.4,16531456,15.8,7371169,7,7371662,7,,,""
15,"m47:deploy:jyut6ping3_scolar:after_rebuild_plan:table=ReusedFresh:prism=Rebuilt:reverse=ReusedFresh",16531456,15.8,9306112,8.9,16642048,15.9,7371275,7,7551573,7.2,,,""
16,"m47:deploy:jyut6ping3_scolar:after_rebuild_execute",83804160,79.9,77045760,73.5,83804160,79.9,59903053,57.1,62835399,59.9,,,""
17,"m47:deploy:luna_pinyin_yune_reverse:after_staging_metadata:table=false:prism=false:reverse=false",11735040,11.2,3256320,3.1,83820544,79.9,245675,0.2,62835399,59.9,,,""
18,"m47:deploy:luna_pinyin_yune_reverse:after_prebuilt_metadata:table_bytes=4640555:prism_bytes=1497453:reverse_bytes=1263091",11735040,11.2,3256320,3.1,83820544,79.9,245827,0.2,62835399,59.9,,,""
19,"m47:deploy:luna_pinyin_yune_reverse:after_rebuild_plan:table=ReusedFresh:prism=ReusedFresh:reverse=ReusedFresh",11829248,11.3,3399680,3.2,83820544,79.9,246039,0.2,62835399,59.9,,,""
20,"m47:deploy:jyut6ping3:after_staging_metadata:table=false:prism=false:reverse=false",15298560,14.6,6877184,6.6,83820544,79.9,3712996,3.5,62835399,59.9,,,""
