"engine","track","schema_id","workload","input","samples","operations","median_us","p95_us","p99_us","max_us","median_working_set_bytes","max_peak_working_set_bytes"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","hao","20","60","12.000","21.800","21.800","21.800","12161024","14151680"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","ni","20","40","14.850","15.400","15.400","15.400","11956224","14082048"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","zhongguo","20","160","186.963","201.913","201.913","201.913","13029376","14159872"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","10","10","22539.500","53466.000","53466.000","53466.000","10911744","14082048"
"librime-1.17.0","track-a-comparison","luna_pinyin","startup_warm_shared_assets_runtime_ready","","5","5","24665.900","45882.300","45882.300","45882.300","11456512","13930496"
"yune","track-a-comparison","luna_pinyin","key_sequence_process_with_context","hao","20","60","26.233","27.833","27.833","27.833","38748160","40796160"
"yune","track-a-comparison","luna_pinyin","key_sequence_process_with_context","ni","20","40","36.150","38.450","38.450","38.450","38625280","40796160"
"yune","track-a-comparison","luna_pinyin","key_sequence_process_with_context","zhongguo","20","160","108.663","109.800","109.800","109.800","39219200","40796160"
"yune","track-a-comparison","luna_pinyin","session_create_select_destroy","","10","10","29359.800","29822.200","29822.200","29822.200","35434496","40796160"
"yune","track-a-comparison","luna_pinyin","startup_warm_shared_assets_runtime_ready","","5","5","29569.200","90543.700","90543.700","90543.700","36765696","40796160"
"yune","track-b-product","jyut6ping3_mobile","key_sequence_process_with_context","hai","20","60","6656.167","11021.567","11021.567","11021.567","850702336","1048936448"
"yune","track-b-product","jyut6ping3_mobile","key_sequence_process_with_context","jigaajiusihaa","20","260","18043.269","20378.323","20378.323","20378.323","854986752","1048936448"
"yune","track-b-product","jyut6ping3_mobile","key_sequence_process_with_context","loengjathau","20","220","7098.200","7830.727","7830.727","7830.727","855625728","1048936448"
"yune","track-b-product","jyut6ping3_mobile","key_sequence_process_with_context","ngohaig","20","140","5872.043","8378.257","8378.257","8378.257","851988480","1048936448"
"yune","track-b-product","jyut6ping3_mobile","session_create_select_destroy","","10","10","181215.400","212794.800","212794.800","212794.800","837201920","1048936448"
"yune","track-b-product","jyut6ping3_mobile","startup_warm_shared_assets_runtime_ready","","5","5","153204.400","5509647.000","5509647.000","5509647.000","849395712","1048936448"
