scenarioId,sampleIndex,schema,appSchema,mode,publicDemo,readyToInputMs,startupCompleteMs,cacheHits,cacheMisses,cacheErrors,transferBytes,encodedBytes,wasmHeapBytes,peakWasmHeapBytes,wasmMemoryMarkerCount,firstKeyMedianMs,firstKeyP95Ms,firstKeyPeakWasmHeapBytes
tracked-luna-cold,0,luna_pinyin,luna_pinyin,real-worker-cold,false,928,333,2,20,0,5693804,5692604,134217728,134217728,12,49,68,134217728
tracked-luna-warm-reload,0,luna_pinyin,luna_pinyin,real-worker-warm-reload,false,253,208,22,0,0,0,9001155,134217728,134217728,12,31,56,134217728
tracked-luna-warm-new-page,0,luna_pinyin,luna_pinyin,real-worker-warm-new-page,false,311,203,22,0,0,0,5692604,134217728,134217728,12,36,66,134217728
tracked-jyut-cold,0,jyut6ping3_mobile,jyut6ping3,real-worker-cold,false,1360,851,1,36,0,35104958,35103758,134217728,134217728,12,16,26,134217728
tracked-jyut-warm-reload,0,jyut6ping3_mobile,jyut6ping3,real-worker-warm-reload,false,662,616,37,0,0,0,38412315,134217728,134217728,12,13,19,134217728
tracked-jyut-warm-new-page,0,jyut6ping3_mobile,jyut6ping3,real-worker-warm-new-page,false,928,799,37,0,0,0,35103764,134217728,134217728,12,14,27,134217728
tracked-mock-cold,0,luna_pinyin,luna_pinyin,mock-worker-cold,false,508,0,0,0,0,747891,746691,0,0,0,14,14,0
tracked-mock-warm,0,luna_pinyin,luna_pinyin,mock-worker-warm,false,312,0,0,0,0,747906,746706,0,0,0,11,11,0
public-luna-cold,0,luna_pinyin,luna_pinyin,real-worker-cold,true,836,334,2,20,0,5693804,5692604,134217728,134217728,12,33,70,134217728
public-jyut-cold,0,jyut6ping3_mobile,jyut6ping3,real-worker-cold,true,1378,879,1,36,0,35104964,35103764,134217728,134217728,12,14,19,134217728
