scenarioId,schema,mode,publicDemo,samples,medianReadyToInputMs,p95ReadyToInputMs,medianStartupCompleteMs,p95StartupCompleteMs,medianFirstKeyToPaintMs,p95FirstKeyToPaintMs,transferBytes,encodedBytes,medianWasmHeapBytes,p95WasmHeapBytes,medianPeakWasmHeapBytes,p95PeakWasmHeapBytes,maxPeakWasmHeapBytes,cacheHits,cacheMisses,cacheErrors,topOwner,topOwnerMedianMs
tracked-luna-cold,luna_pinyin,real-worker-cold,false,1,928,928,333,333,49,68,5693804,5692604,134217728,134217728,134217728,134217728,134217728,2,20,0,React/browser ready residual,595
tracked-luna-warm-reload,luna_pinyin,real-worker-warm-reload,false,1,253,253,208,208,31,56,0,9001155,134217728,134217728,134217728,134217728,134217728,22,0,0,worker total to initialized,208
tracked-luna-warm-new-page,luna_pinyin,real-worker-warm-new-page,false,1,311,311,203,203,36,66,0,5692604,134217728,134217728,134217728,134217728,134217728,22,0,0,worker total to initialized,203
tracked-jyut-cold,jyut6ping3_mobile,real-worker-cold,false,1,1360,1360,851,851,16,26,35104958,35103758,134217728,134217728,134217728,134217728,134217728,1,36,0,worker total to initialized,851
tracked-jyut-warm-reload,jyut6ping3_mobile,real-worker-warm-reload,false,1,662,662,616,616,13,19,0,38412315,134217728,134217728,134217728,134217728,134217728,37,0,0,worker total to initialized,616
tracked-jyut-warm-new-page,jyut6ping3_mobile,real-worker-warm-new-page,false,1,928,928,799,799,14,27,0,35103764,134217728,134217728,134217728,134217728,134217728,37,0,0,worker total to initialized,799
tracked-mock-cold,luna_pinyin,mock-worker-cold,false,1,508,508,0,0,14,14,747891,746691,0,0,0,0,0,0,0,0,React/browser ready residual,508
tracked-mock-warm,luna_pinyin,mock-worker-warm,false,1,312,312,0,0,11,11,747906,746706,0,0,0,0,0,0,0,0,React/browser ready residual,312
public-luna-cold,luna_pinyin,real-worker-cold,true,1,836,836,334,334,33,70,5693804,5692604,134217728,134217728,134217728,134217728,134217728,2,20,0,React/browser ready residual,501
public-jyut-cold,jyut6ping3_mobile,real-worker-cold,true,1,1378,1378,879,879,14,19,35104964,35103764,134217728,134217728,134217728,134217728,134217728,1,36,0,worker total to initialized,879
